"('date', '')","('open', 'ARQ')","('high', 'ARQ')","('low', 'ARQ')","('close', 'ARQ')","('volume', 'ARQ')"
2024-01-02 00:00:00+00:00,2.990000009536743,3.0,2.819999933242798,2.8499999046325684,67400
2024-01-03 00:00:00+00:00,2.8499999046325684,2.8499999046325684,2.630000114440918,2.7699999809265137,155800
2024-01-04 00:00:00+00:00,2.6500000953674316,2.890000104904175,2.5899999141693115,2.5899999141693115,217900
2024-01-05 00:00:00+00:00,2.549999952316284,2.9200000762939453,2.509999990463257,2.809999942779541,273900
2024-01-08 00:00:00+00:00,2.8299999237060547,2.8399999141693115,2.5999999046325684,2.799999952316284,54600
2024-01-09 00:00:00+00:00,2.630000114440918,2.7799999713897705,2.630000114440918,2.7100000381469727,69500
2024-01-10 00:00:00+00:00,2.75,2.799999952316284,2.630000114440918,2.680000066757202,42700
2024-01-11 00:00:00+00:00,2.5999999046325684,2.7300000190734863,2.5,2.6500000953674316,69700
2024-01-12 00:00:00+00:00,2.6500000953674316,2.700000047683716,2.5199999809265137,2.680000066757202,49700
2024-01-16 00:00:00+00:00,2.6600000858306885,2.7300000190734863,2.609999895095825,2.640000104904175,16700
2024-01-17 00:00:00+00:00,2.5999999046325684,2.680000066757202,2.559999942779541,2.640000104904175,74000
2024-01-18 00:00:00+00:00,2.6700000762939453,2.759999990463257,2.640000104904175,2.7300000190734863,95700
2024-01-19 00:00:00+00:00,2.869999885559082,3.0799999237060547,2.7300000190734863,2.9100000858306885,314000
2024-01-22 00:00:00+00:00,2.930000066757202,3.190000057220459,2.930000066757202,3.069999933242798,196800
2024-01-23 00:00:00+00:00,3.0799999237060547,3.109999895095825,2.9600000381469727,2.990000009536743,83900
2024-01-24 00:00:00+00:00,3.0,3.0799999237060547,2.990000009536743,3.0199999809265137,73700
2024-01-25 00:00:00+00:00,3.0199999809265137,3.25,3.0199999809265137,3.2100000381469727,76000
2024-01-26 00:00:00+00:00,3.2200000286102295,3.380000114440918,3.119999885559082,3.1700000762939453,143600
2024-01-29 00:00:00+00:00,3.200000047683716,3.630000114440918,3.200000047683716,3.5999999046325684,297600
2024-01-30 00:00:00+00:00,3.5399999618530273,3.549999952316284,3.2200000286102295,3.259999990463257,71400
2024-01-31 00:00:00+00:00,3.2799999713897705,3.549999952316284,3.2100000381469727,3.359999895095825,101000
2024-02-01 00:00:00+00:00,3.440000057220459,3.630000114440918,3.309999942779541,3.309999942779541,31000
2024-02-02 00:00:00+00:00,3.2799999713897705,3.3399999141693115,3.0,3.1500000953674316,137200
2024-02-05 00:00:00+00:00,3.0,3.109999895095825,2.700000047683716,2.9700000286102295,156100
2024-02-06 00:00:00+00:00,3.119999885559082,3.390000104904175,3.009999990463257,3.0999999046325684,50300
2024-02-07 00:00:00+00:00,3.059999942779541,3.130000114440918,3.0299999713897705,3.0899999141693115,44300
2024-02-08 00:00:00+00:00,3.0799999237060547,3.259999990463257,3.0,3.2300000190734863,43700
2024-02-09 00:00:00+00:00,3.2300000190734863,3.380000114440918,3.1700000762939453,3.3299999237060547,31200
2024-02-12 00:00:00+00:00,3.319999933242798,3.450000047683716,3.25,3.2699999809265137,65100
2024-02-13 00:00:00+00:00,3.190000057220459,3.3299999237060547,3.0999999046325684,3.119999885559082,55900
2024-02-14 00:00:00+00:00,3.1700000762939453,3.309999942779541,3.109999895095825,3.259999990463257,30200
