"('date', '')","('open', 'BALY')","('high', 'BALY')","('low', 'BALY')","('close', 'BALY')","('volume', 'BALY')"
2024-12-06 00:00:00+00:00,17.610000610351562,17.610000610351562,17.610000610351562,17.610000610351562,0
2024-12-09 00:00:00+00:00,17.610000610351562,17.610000610351562,17.610000610351562,17.610000610351562,0
2024-12-10 00:00:00+00:00,17.610000610351562,17.610000610351562,17.610000610351562,17.610000610351562,0
2024-12-11 00:00:00+00:00,17.610000610351562,17.610000610351562,17.610000610351562,17.610000610351562,0
2024-12-12 00:00:00+00:00,17.610000610351562,17.610000610351562,17.610000610351562,17.610000610351562,0
2024-12-13 00:00:00+00:00,17.610000610351562,17.610000610351562,17.610000610351562,17.610000610351562,0
2024-12-16 00:00:00+00:00,17.510000228881836,17.573999404907227,17.5,17.5,1700
2024-12-17 00:00:00+00:00,17.43000030517578,17.43000030517578,16.25,16.25,14500
2024-12-18 00:00:00+00:00,16.25,16.25,16.25,16.25,0
2024-12-19 00:00:00+00:00,16.18000030517578,16.229999542236328,16.18000030517578,16.200000762939453,700
2024-12-20 00:00:00+00:00,16.200000762939453,16.200000762939453,16.200000762939453,16.200000762939453,0
2024-12-23 00:00:00+00:00,16.40999984741211,16.610000610351562,16.40999984741211,16.610000610351562,1000
2024-12-24 00:00:00+00:00,16.040000915527344,16.979999542236328,16.040000915527344,16.674999237060547,2000
2024-12-26 00:00:00+00:00,16.957000732421875,17.450000762939453,16.143999099731445,17.450000762939453,1700
2024-12-27 00:00:00+00:00,18.0,18.0,17.850000381469727,17.850000381469727,5700
2024-12-30 00:00:00+00:00,18.040000915527344,18.040000915527344,17.5,17.979999542236328,1400
2024-12-31 00:00:00+00:00,18.100000381469727,18.479999542236328,18.100000381469727,18.469999313354492,3800
2025-01-02 00:00:00+00:00,19.299999237060547,19.450000762939453,18.75,19.450000762939453,4000
2025-01-03 00:00:00+00:00,19.639999389648438,20.0,17.649999618530273,18.489999771118164,6000
2025-01-06 00:00:00+00:00,18.200000762939453,19.84000015258789,18.200000762939453,19.700000762939453,8000
2025-01-07 00:00:00+00:00,19.309999465942383,22.0,19.0,20.0,12100
2025-01-08 00:00:00+00:00,19.75,20.950000762939453,17.950000762939453,19.200000762939453,15100
2025-01-10 00:00:00+00:00,19.610000610351562,20.020000457763672,17.950000762939453,18.5,1700
2025-01-13 00:00:00+00:00,18.850000381469727,18.979999542236328,18.850000381469727,18.979999542236328,200
