"('date', '')","('open', 'BH')","('high', 'BH')","('low', 'BH')","('close', 'BH')","('volume', 'BH')"
2024-01-02 00:00:00+00:00,163.74000549316406,163.74000549316406,157.6699981689453,159.1300048828125,3200
2024-01-03 00:00:00+00:00,159.4499969482422,162.94000244140625,158.19000244140625,161.0,6400
2024-01-04 00:00:00+00:00,161.0,162.00999450683594,160.99000549316406,160.99000549316406,7100
2024-01-05 00:00:00+00:00,162.7899932861328,170.0,161.8699951171875,164.0500030517578,6400
2024-01-08 00:00:00+00:00,164.0,169.4499969482422,164.0,167.3300018310547,1300
2024-01-09 00:00:00+00:00,166.16000366210938,169.75,164.49000549316406,166.74000549316406,2100
2024-01-10 00:00:00+00:00,167.30999755859375,168.10000610351562,160.9600067138672,163.5,4500
2024-01-11 00:00:00+00:00,162.9199981689453,165.8800048828125,161.50999450683594,162.3300018310547,1500
2024-01-12 00:00:00+00:00,163.67999267578125,164.0800018310547,159.02000427246094,160.44000244140625,2200
2024-01-16 00:00:00+00:00,159.00999450683594,159.99000549316406,156.1199951171875,156.1199951171875,1800
2024-01-17 00:00:00+00:00,154.2899932861328,156.97999572753906,154.14999389648438,154.9600067138672,2600
2024-01-18 00:00:00+00:00,154.6300048828125,156.57000732421875,150.5,152.33999633789062,1900
2024-01-19 00:00:00+00:00,152.3699951171875,154.6699981689453,150.52000427246094,151.39999389648438,1500
2024-01-22 00:00:00+00:00,153.0800018310547,156.47000122070312,153.0800018310547,156.0500030517578,1700
2024-01-23 00:00:00+00:00,157.8800048828125,157.8800048828125,152.50999450683594,153.0399932861328,2200
2024-01-24 00:00:00+00:00,154.0,158.00999450683594,153.3000030517578,154.11000061035156,1200
2024-01-25 00:00:00+00:00,156.25,158.3300018310547,155.7899932861328,157.30999755859375,1200
2024-01-26 00:00:00+00:00,157.97999572753906,157.97999572753906,154.97999572753906,157.88999938964844,600
2024-01-29 00:00:00+00:00,156.75999450683594,158.02999877929688,155.25,156.97999572753906,500
2024-01-30 00:00:00+00:00,158.25,158.25,154.0399932861328,157.27999877929688,1000
2024-01-31 00:00:00+00:00,157.9199981689453,158.50999450683594,154.0,154.6699981689453,1200
2024-02-01 00:00:00+00:00,154.0,158.77999877929688,154.0,157.49000549316406,2600
2024-02-02 00:00:00+00:00,155.47000122070312,157.9199981689453,154.6999969482422,155.6699981689453,900
2024-02-05 00:00:00+00:00,154.7100067138672,157.2100067138672,153.69000244140625,153.69000244140625,3400
2024-02-06 00:00:00+00:00,153.14999389648438,154.99000549316406,153.14999389648438,154.60000610351562,1200
2024-02-07 00:00:00+00:00,154.3000030517578,155.69000244140625,152.0399932861328,152.0399932861328,800
2024-02-08 00:00:00+00:00,152.05999755859375,154.00999450683594,151.1199951171875,151.72999572753906,2400
2024-02-09 00:00:00+00:00,151.3000030517578,153.44000244140625,151.3000030517578,152.8699951171875,1100
2024-02-12 00:00:00+00:00,154.97999572753906,156.10000610351562,151.25,152.1300048828125,1900
2024-02-13 00:00:00+00:00,151.00999450683594,151.10000610351562,145.9499969482422,147.4199981689453,4100
2024-02-14 00:00:00+00:00,149.0,158.3699951171875,147.63999938964844,153.05999755859375,2300
2024-02-15 00:00:00+00:00,153.10000610351562,155.25,149.9199981689453,153.99000549316406,1600
