"('date', '')","('open', 'BSTZ')","('high', 'BSTZ')","('low', 'BSTZ')","('close', 'BSTZ')","('volume', 'BSTZ')"
2019-06-26 00:00:00+00:00,11.25978012887092,11.361118321841367,11.25978012887092,11.349858283996582,1759100
2019-06-27 00:00:00+00:00,11.34423189927058,11.34423189927058,11.265413756739814,11.27104377746582,721400
2019-06-28 00:00:00+00:00,11.304819064757755,11.8171389682955,11.28230006316671,11.70960807800293,471100
2019-07-01 00:00:00+00:00,11.71017496418705,12.357613405104377,11.71017496418705,12.256275177001953,472000
2019-07-02 00:00:00+00:00,12.430796697349075,12.520874848692337,12.081743055531735,12.245010375976562,367300
2019-07-03 00:00:00+00:00,12.290053659896493,12.290053659896493,12.02263358673402,12.216865539550781,180200
2019-07-05 00:00:00+00:00,12.368875937189816,13.010684542173307,12.329466853531102,12.408286094665527,350800
2019-07-08 00:00:00+00:00,12.447691015632083,12.447691015632083,11.546908119945318,12.216865539550781,355800
2019-07-09 00:00:00+00:00,12.290050225664896,12.858669262965536,12.188712030567467,12.639103889465332,293400
2019-07-10 00:00:00+00:00,12.622216738021674,12.808003113863514,12.357612225100441,12.397021293640137,300600
2019-07-11 00:00:00+00:00,12.526504418030896,12.610952547658869,12.39701721434692,12.470205307006836,176400
2019-07-12 00:00:00+00:00,12.577180710141892,12.808006231037663,12.577180710141892,12.740447044372559,236800
2019-07-15 00:00:00+00:00,12.650368899596307,12.808006286621094,12.616589843025585,12.808006286621094,247000
2019-07-16 00:00:00+00:00,12.808004228985373,12.808004228985373,12.571548723343746,12.695405960083008,208200
2019-07-17 00:00:00+00:00,12.80800172843221,12.80800172843221,12.442059036668867,12.447689056396484,154500
2019-07-18 00:00:00+00:00,12.498354497773526,12.622211674038198,12.104261822851889,12.284418106079102,142600
2019-07-19 00:00:00+00:00,12.487100956657054,12.667257333590781,12.430801820411086,12.563104629516602,242300
2019-07-22 00:00:00+00:00,12.808012618107574,12.836161666862177,12.301322223803057,12.54903793334961,165600
2019-07-23 00:00:00+00:00,12.610957145690918,12.657122669802447,12.453320865927877,12.610957145690918,113500
2019-07-24 00:00:00+00:00,12.610955151395487,12.610955151395487,12.27879150897081,12.554656028747559,113000
