"('date', '')","('open', 'AX')","('high', 'AX')","('low', 'AX')","('close', 'AX')","('volume', 'AX')"
2024-01-02 00:00:00+00:00,53.83000183105469,55.41999816894531,53.83000183105469,55.02000045776367,636000
2024-01-03 00:00:00+00:00,53.970001220703125,54.619998931884766,52.720001220703125,53.040000915527344,811700
2024-01-04 00:00:00+00:00,53.09000015258789,53.63999938964844,52.4900016784668,52.70000076293945,424300
2024-01-05 00:00:00+00:00,52.15999984741211,53.619998931884766,52.0,52.47999954223633,492000
2024-01-08 00:00:00+00:00,52.31999969482422,53.95000076293945,52.04999923706055,53.79999923706055,323500
2024-01-09 00:00:00+00:00,52.619998931884766,54.16999816894531,52.13999938964844,54.06999969482422,672000
2024-01-10 00:00:00+00:00,53.86000061035156,54.43000030517578,53.459999084472656,54.130001068115234,542800
2024-01-11 00:00:00+00:00,53.77000045776367,53.88999938964844,51.88999938964844,52.970001220703125,791500
2024-01-12 00:00:00+00:00,53.630001068115234,54.15999984741211,52.099998474121094,52.970001220703125,810400
2024-01-16 00:00:00+00:00,51.95000076293945,52.63999938964844,51.58000183105469,51.86000061035156,573800
2024-01-17 00:00:00+00:00,50.720001220703125,51.650001525878906,50.470001220703125,51.36000061035156,587800
2024-01-18 00:00:00+00:00,51.779998779296875,52.5,51.18000030517578,52.2599983215332,437000
2024-01-19 00:00:00+00:00,52.41999816894531,53.61000061035156,51.81999969482422,53.2400016784668,426700
2024-01-22 00:00:00+00:00,53.939998626708984,55.5099983215332,53.790000915527344,55.4900016784668,564200
2024-01-23 00:00:00+00:00,55.939998626708984,56.09000015258789,54.310001373291016,54.59000015258789,560400
2024-01-24 00:00:00+00:00,55.20000076293945,56.13999938964844,54.900001525878906,55.220001220703125,607300
2024-01-25 00:00:00+00:00,55.9900016784668,56.150001525878906,54.29999923706055,54.869998931884766,1101900
2024-01-26 00:00:00+00:00,55.369998931884766,56.22999954223633,55.0099983215332,55.709999084472656,377400
2024-01-29 00:00:00+00:00,55.66999816894531,56.91999816894531,55.56999969482422,56.880001068115234,679900
2024-01-30 00:00:00+00:00,56.369998931884766,57.45000076293945,56.369998931884766,56.779998779296875,641400
2024-01-31 00:00:00+00:00,60.0,60.0,55.18000030517578,55.43000030517578,1267300
2024-02-01 00:00:00+00:00,56.2599983215332,56.27000045776367,51.02000045776367,54.290000915527344,1432300
2024-02-02 00:00:00+00:00,52.91999816894531,54.56999969482422,52.220001220703125,53.29999923706055,817300
