"('date', '')","('open', 'ACLO')","('high', 'ACLO')","('low', 'ACLO')","('close', 'ACLO')","('volume', 'ACLO')"
2024-11-18 00:00:00+00:00,48.149070739746094,48.149070739746094,48.149070739746094,48.149070739746094,100
2024-11-19 00:00:00+00:00,48.14907791396742,48.17314910888672,48.14907791396742,48.17314910888672,600300
2024-11-20 00:00:00+00:00,48.14907791396742,48.17314910888672,48.14907791396742,48.17314910888672,100100
2024-11-21 00:00:00+00:00,48.17314910888672,48.17314910888672,48.17314910888672,48.17314910888672,0
2024-11-22 00:00:00+00:00,48.25497877380082,48.25497877380082,48.23091125488281,48.23091125488281,60600
2024-11-25 00:00:00+00:00,48.20684171258983,48.221282958984375,48.20684171258983,48.221282958984375,1000
2024-11-26 00:00:00+00:00,48.25497913625487,48.29349157411079,48.2540168762207,48.2540168762207,600
2024-11-27 00:00:00+00:00,48.245354071117255,48.29349278326833,48.235724125038054,48.264610290527344,13400
2024-11-29 00:00:00+00:00,48.31275020099139,48.31275020099139,48.279052734375,48.279052734375,800
2024-12-02 00:00:00+00:00,48.33688735961914,48.33688735961914,48.33688735961914,48.33688735961914,0
2024-12-03 00:00:00+00:00,48.34170864056924,48.4756965637207,48.34170864056924,48.4756965637207,60900
2024-12-04 00:00:00+00:00,48.35134701609816,48.35134701609816,48.320499420166016,48.320499420166016,500
2024-12-05 00:00:00+00:00,48.320499420166016,48.320499420166016,48.320499420166016,48.320499420166016,0
2024-12-06 00:00:00+00:00,48.3417065881685,48.355201721191406,48.3417065881685,48.355201721191406,6700
2024-12-09 00:00:00+00:00,48.355201721191406,48.355201721191406,48.355201721191406,48.355201721191406,0
2024-12-10 00:00:00+00:00,48.355201721191406,48.355201721191406,48.355201721191406,48.355201721191406,0
2024-12-11 00:00:00+00:00,48.355201721191406,48.355201721191406,48.355201721191406,48.355201721191406,0
2024-12-12 00:00:00+00:00,48.355201721191406,48.355201721191406,48.355201721191406,48.355201721191406,0
2024-12-13 00:00:00+00:00,48.40051009156062,48.40051009156062,48.39472961425781,48.39472961425781,200
2024-12-16 00:00:00+00:00,48.39472961425781,48.39472961425781,48.39472961425781,48.39472961425781,0
2024-12-17 00:00:00+00:00,48.39472961425781,48.39472961425781,48.39472961425781,48.39472961425781,0
2024-12-18 00:00:00+00:00,48.608699798583984,48.608699798583984,48.608699798583984,48.608699798583984,0
2024-12-19 00:00:00+00:00,48.3908476580542,48.40053176879883,48.38503793028863,48.40053176879883,40400
2024-12-20 00:00:00+00:00,48.40053176879883,48.40053176879883,48.40053176879883,48.40053176879883,0
2024-12-23 00:00:00+00:00,48.40053176879883,48.40053176879883,48.40053176879883,48.40053176879883,0
2024-12-24 00:00:00+00:00,48.45861844683834,48.487667083740234,48.45861844683834,48.487667083740234,1000
2024-12-26 00:00:00+00:00,48.487667083740234,48.487667083740234,48.487667083740234,48.487667083740234,0
2024-12-27 00:00:00+00:00,48.487667083740234,48.487667083740234,48.487667083740234,48.487667083740234,0
2024-12-30 00:00:00+00:00,48.501224517822266,48.501224517822266,48.501224517822266,48.501224517822266,0
2024-12-31 00:00:00+00:00,48.501224517822266,48.501224517822266,48.501224517822266,48.501224517822266,0
2025-01-02 00:00:00+00:00,48.51575578929598,48.535125732421875,48.51575578929598,48.535125732421875,200
2025-01-03 00:00:00+00:00,48.535125732421875,48.535125732421875,48.535125732421875,48.535125732421875,0
2025-01-06 00:00:00+00:00,48.535125732421875,48.535125732421875,48.535125732421875,48.535125732421875,0
