"('date', '')","('open', 'DBI')","('high', 'DBI')","('low', 'DBI')","('close', 'DBI')","('volume', 'DBI')"
2005-06-29 00:00:00+00:00,7.844865920120399,8.011569395737428,7.553952341754525,7.8775529861450195,21130200
2005-06-30 00:00:00+00:00,8.008303024710829,8.171737780317171,7.9265856469076565,8.155394554138184,3585200
2005-07-01 00:00:00+00:00,7.991959219988908,8.498606676310398,7.991959219988908,8.449576377868652,1156200
2005-07-05 00:00:00+00:00,8.51494825148223,8.69472680887418,8.51494825148223,8.613009452819824,1952400
2005-07-06 00:00:00+00:00,8.694726579669027,8.724144876949403,8.139048323766287,8.30575180053711,1221200
2005-07-07 00:00:00+00:00,8.302482882415967,8.547634939712427,8.237109374542598,8.465917587280273,916000
2005-07-08 00:00:00+00:00,8.531293356903609,8.66204102121223,8.286141252529678,8.632622718811035,491200
2005-07-11 00:00:00+00:00,8.66204071992571,8.805863457389714,8.639159957399304,8.711071014404297,667600
2005-07-12 00:00:00+00:00,8.629352950936424,8.629352950936424,8.482262079401524,8.495336532592773,796800
2005-07-13 00:00:00+00:00,8.449573217186039,8.449573217186039,8.253451473327104,8.286138534545898,1069200
2005-07-14 00:00:00+00:00,8.17173241512689,8.626080537902759,8.13904536077564,8.377659797668457,1399400
2005-07-15 00:00:00+00:00,8.344976663708424,8.344976663708424,8.057331219918778,8.13904857635498,391400
2005-07-18 00:00:00+00:00,8.13904857635498,8.237109778150796,8.063868758062624,8.13904857635498,594400
2005-07-19 00:00:00+00:00,8.204423912024987,8.299215735172586,8.076944393372639,8.253454208374023,655800
2005-07-20 00:00:00+00:00,8.25345379750108,8.809132124338204,8.171736433169388,8.717608451843262,1078600
2005-07-21 00:00:00+00:00,8.711069249479765,8.861429495331265,8.501873036246955,8.792786598205566,706600
2005-07-22 00:00:00+00:00,8.760101318359375,8.792788389198465,8.665309498725433,8.760101318359375,561200
2005-07-25 00:00:00+00:00,8.760101141920494,8.988910009731628,8.760101141920494,8.861431121826172,376600
2005-07-26 00:00:00+00:00,8.874504236526995,8.874504236526995,8.596665117101955,8.714338302612305,270800
