"('date', '')","('open', 'AMPX')","('high', 'AMPX')","('low', 'AMPX')","('close', 'AMPX')","('volume', 'AMPX')"
2024-01-02 00:00:00+00:00,5.28000020980835,5.285999774932861,3.9200000762939453,4.0,1955800
2024-01-03 00:00:00+00:00,4.099999904632568,4.494999885559082,3.799999952316284,4.449999809265137,1131400
2024-01-04 00:00:00+00:00,4.559999942779541,5.119999885559082,4.46999979019165,4.769999980926514,1030600
2024-01-05 00:00:00+00:00,4.840000152587891,4.989999771118164,4.535999774932861,4.599999904632568,722700
2024-01-08 00:00:00+00:00,4.670000076293945,4.789999961853027,4.369999885559082,4.650000095367432,500300
2024-01-09 00:00:00+00:00,4.619999885559082,4.679999828338623,4.429999828338623,4.550000190734863,369700
2024-01-10 00:00:00+00:00,4.519999980926514,4.789999961853027,4.349999904632568,4.389999866485596,811700
2024-01-11 00:00:00+00:00,4.510000228881836,4.840000152587891,4.4710001945495605,4.53000020980835,825900
2024-01-12 00:00:00+00:00,4.550000190734863,5.050000190734863,4.550000190734863,5.0,897400
2024-01-16 00:00:00+00:00,5.050000190734863,5.260000228881836,4.644999980926514,4.690000057220459,808900
2024-01-17 00:00:00+00:00,4.659999847412109,4.920000076293945,4.5879998207092285,4.860000133514404,514500
2024-01-18 00:00:00+00:00,4.900000095367432,4.900000095367432,4.519999980926514,4.550000190734863,361100
2024-01-19 00:00:00+00:00,4.510000228881836,4.599999904632568,4.050000190734863,4.320000171661377,836600
2024-01-22 00:00:00+00:00,4.380000114440918,4.53000020980835,4.199999809265137,4.429999828338623,307300
2024-01-23 00:00:00+00:00,4.460000038146973,4.53000020980835,4.420000076293945,4.46999979019165,329100
2024-01-24 00:00:00+00:00,4.440000057220459,4.559999942779541,4.289999961853027,4.309999942779541,324500
2024-01-25 00:00:00+00:00,4.320000171661377,4.400000095367432,4.070000171661377,4.159999847412109,349600
2024-01-26 00:00:00+00:00,4.159999847412109,4.300000190734863,4.099999904632568,4.119999885559082,180600
2024-01-29 00:00:00+00:00,4.119999885559082,4.244999885559082,4.099999904632568,4.239999771118164,378800
2024-01-30 00:00:00+00:00,4.289999961853027,4.309999942779541,4.142000198364258,4.190000057220459,135000
2024-01-31 00:00:00+00:00,4.289999961853027,4.309999942779541,4.050000190734863,4.090000152587891,326500
2024-02-01 00:00:00+00:00,4.090000152587891,4.179999828338623,3.9200000762939453,4.139999866485596,375400
2024-02-02 00:00:00+00:00,4.150000095367432,4.199999809265137,4.0,4.070000171661377,255100
2024-02-05 00:00:00+00:00,4.119999885559082,4.159999847412109,3.871000051498413,4.050000190734863,458800
2024-02-06 00:00:00+00:00,4.03000020980835,4.599999904632568,4.03000020980835,4.550000190734863,1390600
2024-02-07 00:00:00+00:00,4.699999809265137,4.699999809265137,4.329999923706055,4.409999847412109,539000
2024-02-08 00:00:00+00:00,4.380000114440918,4.489999771118164,4.289999961853027,4.300000190734863,318700
2024-02-09 00:00:00+00:00,4.329999923706055,4.400000095367432,4.119999885559082,4.139999866485596,433000
2024-02-12 00:00:00+00:00,4.119999885559082,4.199999809265137,4.0,4.050000190734863,415900
2024-02-13 00:00:00+00:00,4.0,4.039999961853027,3.890000104904175,3.9000000953674316,417500
2024-02-14 00:00:00+00:00,3.9600000381469727,4.03000020980835,3.9200000762939453,4.0,277600
2024-02-15 00:00:00+00:00,4.050000190734863,4.079999923706055,3.9200000762939453,3.950000047683716,287200
2024-02-16 00:00:00+00:00,3.9200000762939453,4.050000190734863,3.9100000858306885,3.990000009536743,333600
2024-02-20 00:00:00+00:00,4.0,4.010000228881836,3.805000066757202,3.930000066757202,442000
2024-02-21 00:00:00+00:00,3.869999885559082,3.8970000743865967,3.640000104904175,3.690000057220459,310700
2024-02-22 00:00:00+00:00,3.75,3.7730000019073486,3.4800000190734863,3.5199999809265137,551300
2024-02-23 00:00:00+00:00,3.5199999809265137,3.5950000286102295,3.3399999141693115,3.380000114440918,434300
2024-02-26 00:00:00+00:00,3.430000066757202,3.490000009536743,3.240000009536743,3.299999952316284,421400
2024-02-27 00:00:00+00:00,3.2899999618530273,3.440000057220459,3.200000047683716,3.369999885559082,627300
2024-02-28 00:00:00+00:00,3.2799999713897705,3.380000114440918,3.200000047683716,3.2200000286102295,328000
