"('date', '')","('open', 'BBY')","('high', 'BBY')","('low', 'BBY')","('close', 'BBY')","('volume', 'BBY')"
2024-01-02 00:00:00+00:00,72.11600550351287,73.30488362649953,71.03772314708144,71.20361328125,3204300
2024-01-03 00:00:00+00:00,70.85339911158528,70.92712962495523,69.14842142004538,69.5170669555664,2116800
2024-01-04 00:00:00+00:00,69.24056824467709,69.80275100035956,69.07467813592936,69.39724731445312,1890500
2024-01-05 00:00:00+00:00,69.37880803750492,70.91789523549922,69.14840550973355,69.88569641113281,3027200
2024-01-08 00:00:00+00:00,69.75667401911407,70.17139577120315,69.24056755739541,69.6184310913086,2346200
2024-01-09 00:00:00+00:00,68.92722831522221,69.53548739634535,68.29131502153759,69.26822662353516,2653000
2024-01-10 00:00:00+00:00,69.48018163976798,70.16217111322601,69.3603748636269,69.83039093017578,1757300
2024-01-11 00:00:00+00:00,70.04237487256663,70.04237487256663,67.89502142908637,68.79820251464844,2447600
2024-01-12 00:00:00+00:00,69.11154638099207,69.70137634180693,67.63697147895488,68.07012939453125,2383400
2024-01-16 00:00:00+00:00,67.49872529619552,67.72912783328238,65.54491628174847,66.2269058227539,2970800
2024-01-17 00:00:00+00:00,65.58178300371716,66.29141974009158,65.01960023809832,65.56334686279297,2364000
2024-01-18 00:00:00+00:00,65.83062302114995,66.44810022535351,64.83528222458605,65.37903594970703,2296500
2024-01-19 00:00:00+00:00,65.43433380126953,65.83062652667122,64.19937932710033,65.43433380126953,2219100
2024-01-22 00:00:00+00:00,65.67393933963174,67.95952850733313,65.25921056544827,67.7291259765625,3636600
2024-01-23 00:00:00+00:00,68.42956433202181,69.06547768493037,67.02871977887474,67.3420639038086,2492300
2024-01-24 00:00:00+00:00,67.94109238746736,68.89956766032249,67.13928913184994,67.5816650390625,1917900
2024-01-25 00:00:00+00:00,68.19915306720227,69.80275280568637,68.19915306720227,69.31430053710938,3480400
2024-01-26 00:00:00+00:00,69.58157502232888,70.31886604701734,68.73369526586698,68.95487976074219,1973100
2024-01-29 00:00:00+00:00,68.88114466873937,68.99174042448222,66.85360503274863,67.59088897705078,3007800
2024-01-30 00:00:00+00:00,66.97340835216946,68.05169054722187,65.9872857664559,67.57245635986328,2442100
2024-01-31 00:00:00+00:00,67.30518833162503,67.83050583744962,66.4020143194559,66.8075180053711,9978800
