"('date', '')","('open', 'CLPR')","('high', 'CLPR')","('low', 'CLPR')","('close', 'CLPR')","('volume', 'CLPR')"
2017-02-10 00:00:00+00:00,9.311069912380642,9.311069912380642,8.379962921142578,8.379962921142578,1125400
2017-02-13 00:00:00+00:00,8.379962921142578,8.528939897665015,8.379962921142578,8.379962921142578,176600
2017-02-14 00:00:00+00:00,8.392376954863698,8.442035941059665,8.23719247500585,8.38616943359375,209200
2017-02-15 00:00:00+00:00,8.466867193523566,8.541355688295793,8.42341512758665,8.429622650146484,60000
2017-02-16 00:00:00+00:00,8.41099993924689,8.41099993924689,8.379962921142578,8.379962921142578,105200
2017-02-17 00:00:00+00:00,8.3799619123238,8.410998926691732,8.3799619123238,8.38616943359375,22400
2017-02-21 00:00:00+00:00,8.33651181640753,8.429622282819977,8.299267274653404,8.404792785644531,23700
2017-02-22 00:00:00+00:00,8.410999564217258,8.553769012356653,8.39237759097774,8.47307300567627,14900
2017-02-23 00:00:00+00:00,8.58480564679502,8.677916100828249,8.442036205013158,8.659294128417969,51200
2017-02-24 00:00:00+00:00,8.591011964226448,8.839306868171015,8.547560504031585,8.71515941619873,44600
2017-02-27 00:00:00+00:00,8.72136931985946,8.741232680809883,8.597221833964554,8.702747344970703,55800
2017-02-28 00:00:00+00:00,8.6841211150859,8.746195127841117,8.379959754944975,8.442033767700195,124700
2017-03-01 00:00:00+00:00,8.460658755524761,8.535147242237374,8.386170268812151,8.516525268554688,256500
2017-03-02 00:00:00+00:00,8.497901856543768,8.5289388709117,8.3799619123238,8.38616943359375,51800
2017-03-03 00:00:00+00:00,8.429620898519767,8.442035941059665,8.38616943359375,8.38616943359375,28000
2017-03-06 00:00:00+00:00,8.386170331458997,8.44203684490626,8.386170331458997,8.392377853393555,28500
2017-03-07 00:00:00+00:00,8.386170443159816,8.479280905490869,8.379962921142578,8.379962921142578,70200
2017-03-08 00:00:00+00:00,8.379964155784158,8.401689894063521,8.317890110430007,8.324097633361816,91000
2017-03-09 00:00:00+00:00,8.348925969048672,8.348925969048672,8.255815505981445,8.255815505981445,86000
2017-03-10 00:00:00+00:00,8.286851827123815,8.410999298095703,8.286851827123815,8.410999298095703,20100
2017-03-13 00:00:00+00:00,8.386169333460995,8.442035840259852,8.373754291069336,8.423413276672363,56900
