"('date', '')","('open', 'CNNE')","('high', 'CNNE')","('low', 'CNNE')","('close', 'CNNE')","('volume', 'CNNE')"
2017-11-20 00:00:00+00:00,18.155275428507903,18.155275428507903,16.762411453608006,17.66537094116211,122700
2017-11-21 00:00:00+00:00,17.454040462554858,18.107246449965537,16.85846975868258,17.012165069580078,279100
2017-11-22 00:00:00+00:00,16.330142839696844,17.108225603162566,16.138022779293927,16.983348846435547,189200
2017-11-24 00:00:00+00:00,17.11782983639437,17.30994987487793,16.97374072362794,17.30994987487793,112700
2017-11-27 00:00:00+00:00,17.252312820736787,17.71340054817472,17.21388991222924,17.425220489501953,215600
2017-11-28 00:00:00+00:00,17.77103438458391,17.77103438458391,17.33876524775764,17.723005294799805,200500
2017-11-29 00:00:00+00:00,17.771036166888948,17.972760562844467,17.540493214857275,17.60773468017578,222000
2017-11-30 00:00:00+00:00,17.77103797268417,17.77103797268417,17.281133462763265,17.492464065551758,362200
2017-12-01 00:00:00+00:00,17.38679899306128,17.38679899306128,16.5798976947531,17.012165069580078,607900
2017-12-04 00:00:00+00:00,17.05058745872442,17.05058745872442,15.523238914437941,15.782600402832031,1020400
2017-12-05 00:00:00+00:00,15.869055386830006,16.522261331556507,15.811418274865307,16.234081268310547,376400
2017-12-06 00:00:00+00:00,16.214867775569864,16.28691324444386,15.88826665800026,16.061172485351562,256500
2017-12-07 00:00:00+00:00,16.118809024094475,16.34935195128034,15.917082817686644,16.301321029663086,260800
2017-12-08 00:00:00+00:00,16.23408117783644,16.493442683654607,16.138021157289803,16.44541358947754,225200
2017-12-11 00:00:00+00:00,16.37817164528867,16.445414947759918,16.195659606587526,16.35896110534668,185500
2017-12-12 00:00:00+00:00,16.426200672428784,16.61831887493777,16.17644536019391,16.19565773010254,120000
2017-12-13 00:00:00+00:00,16.013145419141882,16.493443719857364,16.013145419141882,16.17644691467285,476300
2017-12-14 00:00:00+00:00,16.26289881474321,16.32053409093758,15.926689677923317,15.9555082321167,360300
