"('date', '')","('open', 'BMRC')","('high', 'BMRC')","('low', 'BMRC')","('close', 'BMRC')","('volume', 'BMRC')"
2024-01-02 00:00:00+00:00,19.97759334155539,20.427043105386485,19.81248898963668,20.087661743164062,40800
2024-01-03 00:00:00+00:00,19.96842263589874,20.0876637075531,19.574007034301758,19.574007034301758,40200
2024-01-04 00:00:00+00:00,19.592348546817153,19.858348616298194,19.583175889317044,19.720762252807617,46500
2024-01-05 00:00:00+00:00,19.564831231067036,20.225246847693878,19.528142349340563,19.840003967285156,90500
2024-01-08 00:00:00+00:00,19.720768036511586,19.91338865198903,19.326352395860386,19.427249908447266,28100
2024-01-09 00:00:00+00:00,19.298830442770623,19.381380860995062,18.922758484497724,18.986967086791992,35500
2024-01-10 00:00:00+00:00,18.858555052678295,18.9319345762488,18.739313982940914,18.922761917114258,21300
2024-01-11 00:00:00+00:00,18.748486649007102,19.188763790592912,18.537518987846287,18.849382400512695,35900
2024-01-12 00:00:00+00:00,18.968624126049978,19.748282612760104,18.372415312508963,18.675106048583984,34500
2024-01-16 00:00:00+00:00,18.464139938354492,18.693451174173383,18.34489886551126,18.464139938354492,31400
2024-01-17 00:00:00+00:00,18.124757557030463,18.491655129135204,18.124757557030463,18.427448272705078,42700
2024-01-18 00:00:00+00:00,18.473308563232422,18.58337870216921,18.34489485906076,18.473308563232422,22800
2024-01-19 00:00:00+00:00,18.601727842125808,18.675107366671426,18.372416609232516,18.620071411132812,24700
2024-01-22 00:00:00+00:00,18.849382535787406,19.106211744975212,18.730141465150194,19.069522857666016,36900
2024-01-23 00:00:00+00:00,19.234626407437165,19.234626407437165,18.62007220703424,18.739315032958984,31500
2024-01-24 00:00:00+00:00,19.00531299989922,19.042003634313946,18.620070086073287,18.968624114990234,40600
2024-01-25 00:00:00+00:00,19.271312702708062,19.271312702708062,18.66593129839309,19.124553680419922,49300
2024-01-26 00:00:00+00:00,19.262143210691306,19.335522733894656,18.98697043605519,19.2988338470459,27200
2024-01-29 00:00:00+00:00,18.0238586522353,19.28965736340612,17.95047914358087,18.629240036010742,105500
2024-01-30 00:00:00+00:00,18.546689550131223,18.693448580734202,18.179791973623782,18.565034866333008,77600
2024-01-31 00:00:00+00:00,18.198137722141805,18.546689990727696,17.71199732827963,17.959653854370117,122500
