"('date', '')","('open', 'BTU')","('high', 'BTU')","('low', 'BTU')","('close', 'BTU')","('volume', 'BTU')"
2017-04-03 00:00:00+00:00,26.18391713177381,27.465646713010724,26.18391713177381,27.02968406677246,15500
2017-04-04 00:00:00+00:00,27.90160236883601,28.33756490584907,23.114733912000393,23.759958267211914,3711300
2017-04-05 00:00:00+00:00,24.405186645666618,24.84986870629447,22.670055661882675,24.41390609741211,3178500
2017-04-06 00:00:00+00:00,24.544697113422767,24.95450307297608,23.55070279343746,24.021541595458984,1614400
2017-04-07 00:00:00+00:00,23.934348479281464,24.311019490749416,23.64661321689194,24.038978576660156,418400
2017-04-10 00:00:00+00:00,24.41390420365194,24.82370842550975,23.76867979212325,24.396465301513672,816300
2017-04-11 00:00:00+00:00,24.108730918354404,24.326712213571106,23.559418786157043,23.969223022460938,593500
2017-04-12 00:00:00+00:00,23.916910694628385,24.07385751110664,22.216655733534562,22.452075958251953,1003000
2017-04-13 00:00:00+00:00,22.478228668597907,22.5741392944122,20.298416016358335,20.769254684448242,3700900
2017-04-17 00:00:00+00:00,20.88260736415696,20.917483504288207,19.71422756611937,20.420486450195312,1934800
2017-04-18 00:00:00+00:00,20.41177054372656,21.4929576845772,20.41177054372656,20.926206588745117,3042200
2017-04-19 00:00:00+00:00,21.362169591433542,21.928920696960514,21.301135087262786,21.745817184448242,1081100
2017-04-20 00:00:00+00:00,21.850446993753287,22.050991071556346,21.55399226628666,21.798131942749023,491400
2017-04-21 00:00:00+00:00,21.902760319924745,22.6264581219605,21.902760319924745,22.399757385253906,524600
2017-04-24 00:00:00+00:00,23.28040313820234,23.49838443476579,22.678774294028937,23.01010513305664,261400
2017-04-25 00:00:00+00:00,23.533260816265564,23.541980267784435,22.199214669054264,22.757247924804688,544800
2017-04-26 00:00:00+00:00,23.323998384972537,23.541979678290037,22.670054505020037,23.13217544555664,851800
2017-04-27 00:00:00+00:00,23.306562404231695,23.324001309019014,22.696215704264887,22.853160858154297,568100
2017-04-28 00:00:00+00:00,23.106015256687392,23.106015256687392,21.963793836071655,22.155616760253906,415100
2017-05-01 00:00:00+00:00,22.443356505884772,22.678776730602163,22.068428369423486,22.452075958251953,461800
