"('date', '')","('open', 'ANVS')","('high', 'ANVS')","('low', 'ANVS')","('close', 'ANVS')","('volume', 'ANVS')"
2024-01-02 00:00:00+00:00,19.0,19.68000030517578,18.5,18.93000030517578,293700
2024-01-03 00:00:00+00:00,18.40999984741211,19.65999984741211,17.020000457763672,18.559999465942383,360200
2024-01-04 00:00:00+00:00,18.350000381469727,18.579999923706055,15.100000381469727,16.309999465942383,561500
2024-01-05 00:00:00+00:00,16.280000686645508,16.75,12.119999885559082,12.25,1008600
2024-01-08 00:00:00+00:00,12.09000015258789,14.020000457763672,11.680000305175781,13.890000343322754,491500
2024-01-09 00:00:00+00:00,13.6899995803833,13.930000305175781,13.020000457763672,13.020000457763672,376700
2024-01-10 00:00:00+00:00,13.0,13.449999809265137,12.710000038146973,12.979999542236328,283600
2024-01-11 00:00:00+00:00,13.0,13.260000228881836,12.069999694824219,12.5,408400
2024-01-12 00:00:00+00:00,12.550000190734863,13.40999984741211,12.420000076293945,12.84000015258789,203100
2024-01-16 00:00:00+00:00,13.069999694824219,13.069999694824219,11.829999923706055,11.850000381469727,305700
2024-01-17 00:00:00+00:00,11.84000015258789,11.899999618530273,11.199999809265137,11.460000038146973,162800
2024-01-18 00:00:00+00:00,11.640000343322754,11.729999542236328,10.829999923706055,11.609999656677246,125000
2024-01-19 00:00:00+00:00,11.609999656677246,12.09000015258789,11.380000114440918,11.699999809265137,159700
2024-01-22 00:00:00+00:00,11.640000343322754,13.5,11.600000381469727,12.930000305175781,368400
2024-01-23 00:00:00+00:00,11.899999618530273,12.210000038146973,11.300000190734863,11.640000343322754,369400
2024-01-24 00:00:00+00:00,10.460000038146973,10.460000038146973,9.0,9.09000015258789,1238200
2024-01-25 00:00:00+00:00,9.09000015258789,9.770000457763672,9.039999961853027,9.140000343322754,330500
2024-01-26 00:00:00+00:00,9.1899995803833,10.5,9.1899995803833,9.90999984741211,415900
2024-01-29 00:00:00+00:00,10.460000038146973,11.529999732971191,10.09000015258789,11.380000114440918,318400
2024-01-30 00:00:00+00:00,12.0,12.0,10.630000114440918,10.75,240500
2024-01-31 00:00:00+00:00,11.420000076293945,11.5600004196167,10.609999656677246,11.050000190734863,160000
2024-02-01 00:00:00+00:00,11.640000343322754,11.640000343322754,10.649999618530273,10.979999542236328,102300
2024-02-02 00:00:00+00:00,10.529999732971191,10.600000381469727,9.5600004196167,10.0600004196167,396000
2024-02-05 00:00:00+00:00,9.75,10.199999809265137,9.550000190734863,9.779999732971191,121100
2024-02-06 00:00:00+00:00,9.59000015258789,10.329999923706055,9.550000190734863,10.260000228881836,132400
2024-02-07 00:00:00+00:00,10.680000305175781,10.680000305175781,9.739999771118164,9.90999984741211,144300
2024-02-08 00:00:00+00:00,10.0,11.0,9.760000228881836,10.84000015258789,132200
2024-02-09 00:00:00+00:00,11.100000381469727,11.300000190734863,10.699999809265137,10.949999809265137,118100
2024-02-12 00:00:00+00:00,11.0,11.430000305175781,10.5,10.59000015258789,173500
2024-02-13 00:00:00+00:00,10.100000381469727,10.5,9.850000381469727,10.050000190734863,154000
2024-02-14 00:00:00+00:00,10.350000381469727,10.609999656677246,10.0600004196167,10.369999885559082,159700
2024-02-15 00:00:00+00:00,10.5,11.640000343322754,10.5,11.279999732971191,247400
2024-02-16 00:00:00+00:00,11.390000343322754,11.460000038146973,10.25,10.430000305175781,215000
2024-02-20 00:00:00+00:00,10.5600004196167,10.65999984741211,9.930000305175781,10.0600004196167,127100
2024-02-21 00:00:00+00:00,10.0,10.380000114440918,9.960000038146973,10.180000305175781,95600
2024-02-22 00:00:00+00:00,10.180000305175781,10.479999542236328,9.970000267028809,10.359999656677246,84800
2024-02-23 00:00:00+00:00,10.300000190734863,10.399999618530273,9.550000190734863,9.9399995803833,326100
2024-02-26 00:00:00+00:00,9.9399995803833,9.949999809265137,8.59000015258789,8.869999885559082,478100
2024-02-27 00:00:00+00:00,8.8100004196167,9.880000114440918,8.699999809265137,9.789999961853027,266800
2024-02-28 00:00:00+00:00,8.84000015258789,9.329999923706055,8.640000343322754,8.880000114440918,328900
