"('date', '')","('open', 'CMTG')","('high', 'CMTG')","('low', 'CMTG')","('close', 'CMTG')","('volume', 'CMTG')"
2021-11-03 00:00:00+00:00,12.040364546134644,12.778899775107302,12.040364546134644,12.681921005249023,3241700
2021-11-04 00:00:00+00:00,12.555101738281605,12.898260340670651,12.331303701455909,12.681921005249023,681600
2021-11-05 00:00:00+00:00,12.644623676408175,13.21903910196179,12.570023845477982,12.711763381958008,334300
2021-11-08 00:00:00+00:00,12.696840338689853,12.79381910155847,12.637160771646139,12.644620895385742,239300
2021-11-09 00:00:00+00:00,12.681920091210646,12.726679410775152,12.219402379467029,12.644620895385742,374500
2021-11-10 00:00:00+00:00,12.644620895385742,12.872895274899776,12.562560957123218,12.644620895385742,241000
2021-11-11 00:00:00+00:00,12.644622092249769,12.689381416050924,12.312652957344222,12.413362503051758,158500
2021-11-12 00:00:00+00:00,12.361143566775892,12.644622615961863,12.34622331726646,12.383523941040039,91200
2021-11-15 00:00:00+00:00,12.346224352687397,12.995241032044635,12.346224352687397,12.711763381958008,255300
2021-11-16 00:00:00+00:00,12.570023829983569,12.786361774253695,12.532723203127736,12.719222068786621,129200
2021-11-17 00:00:00+00:00,12.681922079662572,13.054919787887941,12.532722427223089,12.995240211486816,149200
2021-11-18 00:00:00+00:00,12.98031960716915,13.427917129390147,12.88334083174336,13.316018104553223,141900
2021-11-19 00:00:00+00:00,13.20411884476696,13.390617690467774,12.980319376202019,13.092218399047852,93000
2021-11-22 00:00:00+00:00,13.054918745101743,13.30109715595159,13.054918745101743,13.077299118041992,91700
2021-11-23 00:00:00+00:00,12.980320508583153,13.092219541190868,12.831122272730665,12.935561180114746,51200
2021-11-24 00:00:00+00:00,12.905720950353716,13.427918343991651,12.637163551027813,12.711763381958008,122600
2021-11-26 00:00:00+00:00,12.599863372729313,13.36823923978261,12.517804836370587,12.726682662963867,33000
2021-11-29 00:00:00+00:00,12.57748171223285,13.2041179029196,12.308922938260478,12.607320785522461,175400
2021-11-30 00:00:00+00:00,12.681923331961519,12.801282496550103,12.622243749667227,12.726682662963867,144800
2021-12-01 00:00:00+00:00,12.726681421087715,13.039999553277369,12.719221296169707,12.98031997680664,138000
2021-12-02 00:00:00+00:00,12.905718962517494,13.700204407235583,12.905718962517494,13.666634559631348,89300
2021-12-03 00:00:00+00:00,13.666635015049089,13.868054107386453,13.166818057882253,13.68901538848877,91800
2021-12-06 00:00:00+00:00,13.651715394350521,13.670366417845216,13.002700186337457,13.12951946258545,96600
2021-12-07 00:00:00+00:00,13.092217794280993,13.308557128279778,12.763980865478516,12.763980865478516,51500
2021-12-08 00:00:00+00:00,12.76398148080417,12.90571957935365,12.599861585617836,12.637162208557129,59200
2021-12-09 00:00:00+00:00,12.458122187553222,12.778898974131035,12.458122187553222,12.525261878967285,40300
