"('date', '')","('open', 'BGR')","('high', 'BGR')","('low', 'BGR')","('close', 'BGR')","('volume', 'BGR')"
2024-01-02 00:00:00+00:00,10.913347518685823,11.158788035783646,10.904581576940775,11.04483413696289,75000
2024-01-03 00:00:00+00:00,11.044834061940143,11.22014871581918,10.983473306107822,11.167553901672363,115300
2024-01-04 00:00:00+00:00,11.211382614021822,11.211382614021822,11.027302021086168,11.036067962646484,98500
2024-01-05 00:00:00+00:00,11.071131126231817,11.106194057245792,11.001005264203867,11.04483413696289,132800
2024-01-08 00:00:00+00:00,10.983472337230694,11.001004219055176,10.878283554182213,11.001004219055176,125300
2024-01-09 00:00:00+00:00,10.974708671675302,10.992239719832936,10.816925058425364,10.983473777770996,49400
2024-01-10 00:00:00+00:00,10.965940611054426,11.027300521701122,10.895814760039324,10.930877685546875,67000
2024-01-11 00:00:00+00:00,10.980227782396973,11.059539353250909,10.953790872250403,10.962602615356445,53000
2024-01-12 00:00:00+00:00,11.112413414637103,11.147662909068705,11.077163920205502,11.138851165771484,47800
2024-01-16 00:00:00+00:00,11.138850163630797,11.138850163630797,10.909728050231934,10.909728050231934,57300
2024-01-17 00:00:00+00:00,10.821606761384354,10.883294017700749,10.54842334203456,10.592485427856445,60200
2024-01-18 00:00:00+00:00,10.59248595194582,10.759920877855977,10.59248595194582,10.61011028289795,67000
2024-01-19 00:00:00+00:00,10.62773492475207,10.680608755388521,10.5219855826504,10.566047668457031,46600
2024-01-22 00:00:00+00:00,10.495547079764243,10.557233486314145,10.460297584533691,10.460297584533691,128900
2024-01-23 00:00:00+00:00,10.451486265608297,10.592485104010423,10.451486265608297,10.557234764099121,109800
2024-01-24 00:00:00+00:00,10.618920853666458,10.680607260915705,10.566046190014054,10.636545181274414,80200
2024-01-25 00:00:00+00:00,10.777540543193314,10.812790870666504,10.645355176825104,10.812790870666504,76100
2024-01-26 00:00:00+00:00,10.82160472869873,10.8392298958826,10.698231920068555,10.82160472869873,61700
2024-01-29 00:00:00+00:00,10.856852099179866,10.856852099179866,10.70704156907506,10.812790870666504,83100
2024-01-30 00:00:00+00:00,10.733480160554803,10.856852954777374,10.707042412866427,10.839228630065918,77100
2024-01-31 00:00:00+00:00,10.777543380373007,10.812793717125821,10.645357979207096,10.671794891357422,115600
2024-02-01 00:00:00+00:00,10.74229324687103,10.795167908449782,10.63654476412776,10.680606842041016,174400
2024-02-02 00:00:00+00:00,10.654170349296638,10.707044172534774,10.618920853666458,10.636545181274414,82000
2024-02-05 00:00:00+00:00,10.636547199533359,10.636547199533359,10.469112273623201,10.61011028289795,66400
2024-02-06 00:00:00+00:00,10.60129769721467,10.724671375537289,10.60129769721467,10.61011028289795,63200
2024-02-07 00:00:00+00:00,10.601294942522442,10.680606512234387,10.548421122990614,10.583670616149902,123600
2024-02-08 00:00:00+00:00,10.574857835537687,10.698231479501402,10.574857835537687,10.662981986999512,42700
2024-02-09 00:00:00+00:00,10.733480752257194,10.733480752257194,10.610107110819301,10.627732276916504,56700
