"('date', '')","('open', 'CCK')","('high', 'CCK')","('low', 'CCK')","('close', 'CCK')","('volume', 'CCK')"
1980-03-17 00:00:00+00:00,2.1852293014526367,2.2186769455305395,2.1852293014526367,2.1852293014526367,250200
1980-03-18 00:00:00+00:00,2.185229710814659,2.240975730924976,2.174080430237584,2.2298264503479004,67500
1980-03-19 00:00:00+00:00,2.2298260027725356,2.252124559450873,2.2075276374816895,2.2075276374816895,41400
1980-03-20 00:00:00+00:00,2.207527667042074,2.229826032631511,2.1852293014526367,2.1852293014526367,126900
1980-03-21 00:00:00+00:00,2.185229172851862,2.196378259296709,2.1740798950195312,2.1740798950195312,20700
1980-03-24 00:00:00+00:00,2.1740798950195312,2.2186768149613703,2.1629306171872007,2.1740798950195312,210600
1980-03-25 00:00:00+00:00,2.1629307058731966,2.1629307058731966,2.1183347410402185,2.1406331062316895,339300
1980-03-26 00:00:00+00:00,2.140632763476311,2.140632763476311,2.107185125350952,2.107185125350952,92700
1980-03-27 00:00:00+00:00,2.0960357433879735,2.0960357433879735,2.073737382888794,2.073737382888794,82800
1980-03-28 00:00:00+00:00,2.073737614419057,2.1183345317840576,2.073737614419057,2.1183345317840576,72000
1980-03-31 00:00:00+00:00,2.10718523441778,2.10718523441778,2.0737375945611882,2.096035957336426,71100
1980-04-01 00:00:00+00:00,2.096035957336426,2.096035957336426,2.0737375945611882,2.096035957336426,36000
1980-04-02 00:00:00+00:00,2.096035957336426,2.10718523441778,2.0737375945611882,2.096035957336426,142200
1980-04-03 00:00:00+00:00,2.0960357433879735,2.0960357433879735,2.073737382888794,2.073737382888794,36000
1980-04-07 00:00:00+00:00,2.0737378388041847,2.0737378388041847,2.0514402389526367,2.0514402389526367,67500
1980-04-08 00:00:00+00:00,2.051440132414773,2.073737731108335,2.0402908545992844,2.0625884532928467,50400
1980-04-09 00:00:00+00:00,2.0737375945611882,2.096035957336426,2.0737375945611882,2.096035957336426,38700
1980-04-10 00:00:00+00:00,2.096035957336426,2.118334511499134,2.084886871642542,2.096035957336426,184500
1980-04-11 00:00:00+00:00,2.096035957336426,2.118334511499134,2.084886871642542,2.096035957336426,109800
1980-04-14 00:00:00+00:00,2.096035957336426,2.096035957336426,2.0737375945611882,2.096035957336426,81000
1980-04-15 00:00:00+00:00,2.0960357433879735,2.0960357433879735,2.073737382888794,2.073737382888794,153000
1980-04-16 00:00:00+00:00,2.0737378388041847,2.096036204205704,2.0514402389526367,2.0514402389526367,175500
1980-04-17 00:00:00+00:00,2.0514402389526367,2.0737378388041847,2.0514402389526367,2.0514402389526367,57600
1980-04-18 00:00:00+00:00,2.051440385523301,2.0848872661590576,2.051440385523301,2.0848872661590576,14400
1980-04-21 00:00:00+00:00,2.0848872661590576,2.1071856331537435,2.0848872661590576,2.0848872661590576,18000
1980-04-22 00:00:00+00:00,2.084886658832109,2.084886658832109,2.062588106945479,2.073737382888794,30600
1980-04-23 00:00:00+00:00,2.0848867589429414,2.196377992630005,2.0848867589429414,2.196377992630005,108000
1980-04-24 00:00:00+00:00,2.196378388553608,2.196378388553608,2.174080022964171,2.1852293014526367,63000
1980-04-25 00:00:00+00:00,2.1852295246783595,2.1852295246783595,2.162930965423584,2.162930965423584,68400
1980-04-28 00:00:00+00:00,2.1629306171872007,2.185229172851862,2.1629306171872007,2.1740798950195312,35100
1980-04-29 00:00:00+00:00,2.174080022964171,2.196378388553608,2.174080022964171,2.1852293014526367,50400
1980-04-30 00:00:00+00:00,2.1852295246783595,2.196378612918233,2.162930965423584,2.162930965423584,342900
1980-05-01 00:00:00+00:00,2.1629307444757053,2.207527667042074,2.1517824229247116,2.1852293014526367,675900
