"('date', '')","('open', 'BX')","('high', 'BX')","('low', 'BX')","('close', 'BX')","('volume', 'BX')"
2007-06-22 00:00:00+00:00,13.794834049489701,14.381445642247957,12.962224758705718,13.268775939941406,115244518
2007-06-25 00:00:00+00:00,13.526126706746199,13.537480943597142,12.07284397088194,12.277212142944336,36346303
2007-06-26 00:00:00+00:00,12.216662704916565,12.296138711312231,11.474882722189882,11.637619972229004,30176666
2007-06-27 00:00:00+00:00,11.505158246888424,11.637618733831534,11.024514815706981,11.323497772216797,18431264
2007-06-28 00:00:00+00:00,11.206176307807963,11.724665534395061,11.179684060900309,11.23645305633545,8824846
2007-06-29 00:00:00+00:00,11.353777537427925,11.429469789788474,10.880703718558081,11.077502250671387,7703334
2007-07-02 00:00:00+00:00,11.077502250671387,11.255378271371272,11.005595236162478,11.077502250671387,3236242
2007-07-03 00:00:00+00:00,11.164541525805024,11.308356206867977,11.134264789558536,11.247802734375,2816210
2007-07-05 00:00:00+00:00,11.71330915093178,11.720878152311325,11.429464979081018,11.592202186584473,7082967
2007-07-06 00:00:00+00:00,11.694391527976082,11.997159084244078,11.656545767334833,11.921466827392578,7798305
2007-07-09 00:00:00+00:00,12.072845461391752,12.106906705012577,11.879831502350855,11.91389274597168,4383127
2007-07-10 00:00:00+00:00,11.83820111766894,11.86090885833857,11.293219755009874,11.32728099822998,6510085
2007-07-11 00:00:00+00:00,11.331067650787263,11.384052143888304,10.960177670217613,11.043438911437988,6096473
2007-07-12 00:00:00+00:00,11.16454647652942,11.46352947148838,11.092639471896296,11.353775978088379,5241940
2007-07-13 00:00:00+00:00,11.308360847537925,11.353775602760479,11.081284864718663,11.297006607055664,3381450
2007-07-16 00:00:00+00:00,11.297006553390421,11.346206545585897,11.100208055746174,11.23645305633545,3168071
2007-07-17 00:00:00+00:00,11.236452892694123,11.297006388867228,11.016946652958818,11.054792404174805,2717469
2007-07-18 00:00:00+00:00,10.9753174241804,11.013163178927412,10.596858405572492,10.748241424560547,5254066
2007-07-19 00:00:00+00:00,10.748241603315766,10.786088094261094,10.218398821339044,10.343290328979492,10090240
2007-07-20 00:00:00+00:00,10.218399564599157,10.26002982498442,9.699910250851115,9.821017265319824,9797277
2007-07-23 00:00:00+00:00,9.775598707732689,10.180549854319624,9.654491740278429,9.979966163635254,6493781
2007-07-24 00:00:00+00:00,9.805874865640732,10.010242309372888,9.688552405960072,9.730182647705078,5721481
