"('date', '')","('open', 'AA')","('high', 'AA')","('low', 'AA')","('close', 'AA')","('volume', 'AA')"
2024-01-02 00:00:00+00:00,32.80820283449503,33.23873340028326,32.32875309133112,32.59294128417969,3838000
2024-01-03 00:00:00+00:00,31.428559669831316,31.57533215001254,30.376702048366756,30.812122344970703,8245700
2024-01-04 00:00:00+00:00,30.459869384765625,30.81212032807964,30.195683043569606,30.459869384765625,4543600
2024-01-05 00:00:00+00:00,29.88257241842215,31.609577018897603,29.442258731985863,31.438344955444336,7317700
2024-01-08 00:00:00+00:00,31.135014023039414,31.399202210321715,30.547929784508526,31.046951293945312,4992100
2024-01-09 00:00:00+00:00,31.135019974884983,31.751459196383696,30.870831737099824,31.252437591552734,5792100
2024-01-10 00:00:00+00:00,31.11544621638553,31.448127245166248,30.6359945846226,30.96867561340332,4733500
2024-01-11 00:00:00+00:00,30.81211923326868,30.958889832338,29.999986594376423,30.21525001525879,4419700
2024-01-12 00:00:00+00:00,30.518579397967248,31.13501668810175,29.37376568804073,29.3835506439209,3933900
2024-01-16 00:00:00+00:00,28.542064515658495,28.659482125750184,26.68785727598663,27.270050048828125,10715000
2024-01-17 00:00:00+00:00,26.585118989206016,27.074355627309707,26.46770137489368,26.59490394592285,9606400
2024-01-18 00:00:00+00:00,27.025430601360966,28.101749628177757,26.007817577685326,26.174158096313477,12853200
2024-01-19 00:00:00+00:00,26.15458933062613,26.79059656515153,25.777876908215106,26.771028518676758,6001900
2024-01-22 00:00:00+00:00,26.29157392175166,27.25536868929845,26.19372623513098,27.025428771972656,5793800
2024-01-23 00:00:00+00:00,28.522491581266433,29.828754190134518,28.40507584990332,28.87474250793457,9363900
2024-01-24 00:00:00+00:00,29.598813508668407,29.716231110696604,28.688833158390633,29.119361877441406,8916000
2024-01-25 00:00:00+00:00,29.31505795271815,29.79451149210854,28.58120300824542,29.236780166625977,4683300
2024-01-26 00:00:00+00:00,29.569459248766147,30.03912780023362,29.227973059624045,29.951065063476562,5123900
2024-01-29 00:00:00+00:00,29.80429421760436,30.30331579769326,29.049891433501124,30.24460792541504,4649100
2024-01-30 00:00:00+00:00,29.68687685320539,30.176113450171478,29.35419581796529,29.951065063476562,4714700
