"('date', '')","('open', 'AFG')","('high', 'AFG')","('low', 'AFG')","('close', 'AFG')","('volume', 'AFG')"
2024-01-02 00:00:00+00:00,106.9703787270062,108.00412745608101,106.4579998763371,107.32095336914062,228400
2024-01-03 00:00:00+00:00,107.13218744534623,107.3119668587773,105.83775372257847,105.8557357788086,399500
2024-01-04 00:00:00+00:00,106.37710194183582,108.77719901623762,106.37710194183582,108.36370086669922,453700
2024-01-05 00:00:00+00:00,108.47155793345215,109.57722116718459,108.37267720286857,108.93899536132812,508300
2024-01-08 00:00:00+00:00,108.76821517188618,109.52329701009513,107.1052314355154,108.14796447753906,233400
2024-01-09 00:00:00+00:00,107.64457334496763,107.69850580088882,106.07147937124158,107.09623718261719,168000
2024-01-10 00:00:00+00:00,106.91645387972645,107.08724226999779,106.08046655254068,106.63778686523438,228700
2024-01-11 00:00:00+00:00,106.93622170375134,108.46453016678812,106.48406008978199,108.08470916748047,299000
2024-01-12 00:00:00+00:00,109.02519909634843,109.37788458046359,107.16229557518237,107.46072387695312,193300
2024-01-16 00:00:00+00:00,107.23464566745102,107.25272909552197,105.64303491910978,106.04093933105469,261500
2024-01-17 00:00:00+00:00,105.48026478782093,107.11708768515302,105.45313619385571,105.5526123046875,274500
2024-01-18 00:00:00+00:00,105.29938815704124,106.76438722162884,104.83818142586759,106.6468276977539,444400
2024-01-19 00:00:00+00:00,107.7320218599713,108.2927047357203,107.11708179927317,107.96714782714844,254500
2024-01-22 00:00:00+00:00,108.12087222720137,109.35075224747047,108.09374363695747,109.32362365722656,259800
2024-01-23 00:00:00+00:00,109.32364938884163,109.71250870588582,107.42457173096238,107.5240478515625,241300
2024-01-24 00:00:00+00:00,108.35600490658294,109.29650185694805,108.35600490658294,108.80816650390625,227500
2024-01-25 00:00:00+00:00,109.42310604731823,109.82101045894694,107.89479764759737,108.76294708251953,227300
2024-01-26 00:00:00+00:00,109.278411025112,109.50449182273043,108.23844487561796,108.76294708251953,215400
2024-01-29 00:00:00+00:00,108.4193030915295,109.61300938665381,108.4193030915295,109.57683563232422,217800
2024-01-30 00:00:00+00:00,109.63111602506083,110.68012745894444,108.99808557926421,110.18274688720703,276400
2024-01-31 00:00:00+00:00,110.45403650852542,110.91524327826609,108.86242572432921,108.8805160522461,399100
2024-02-01 00:00:00+00:00,108.30173903738367,109.06136714823744,105.17278186276802,106.23988342285156,624000
2024-02-02 00:00:00+00:00,106.88195855884175,108.08470314136947,106.7101349472928,107.06282043457031,379800
2024-02-05 00:00:00+00:00,106.54734691448417,107.7048793736686,106.04996645181693,107.23463439941406,283800
2024-02-06 00:00:00+00:00,107.04474097069985,108.79912330843526,106.21275837300007,108.25653076171875,523800
2024-02-07 00:00:00+00:00,108.90764135564923,111.2227064995184,104.57593247514146,110.54446411132812,809800
2024-02-08 00:00:00+00:00,108.22940429837557,109.721539005778,106.31223656952848,109.08850860595703,653400
2024-02-09 00:00:00+00:00,108.92572583464917,111.13227663334033,108.72678052772187,111.01471710205078,419100
2024-02-12 00:00:00+00:00,111.18653915154154,112.86858092313916,110.82481537654576,110.85194396972656,444600
2024-02-13 00:00:00+00:00,110.8971369398739,111.34026021716151,108.56398863445297,109.07945251464844,496200
2024-02-14 00:00:00+00:00,109.50449417703305,111.35835951713686,109.50449417703305,111.22270965576172,355800
2024-02-15 00:00:00+00:00,111.42578969316706,114.25043261431286,111.42578969316706,114.01966094970703,314400
2024-02-16 00:00:00+00:00,114.00120661739946,115.01660057146508,113.32735023258019,113.9458236694336,1119000
2024-02-20 00:00:00+00:00,113.02272273319906,115.82890677218373,112.99503126270577,114.08426666259766,371200
2024-02-21 00:00:00+00:00,114.2504297527973,115.32121363019381,113.8350435839475,115.07198333740234,351500
2024-02-22 00:00:00+00:00,115.1550541165889,117.08430174298783,115.1550541165889,116.76122283935547,317700
2024-02-23 00:00:00+00:00,117.06584572710346,117.59200482266692,116.18891624869504,116.4012222290039,274000
2024-02-26 00:00:00+00:00,116.30891015978621,117.20430527751353,116.09659714567479,116.9735336303711,292600
2024-02-27 00:00:00+00:00,116.78892458499129,117.04739477322748,116.02276798685973,116.84431457519531,250200
2024-02-28 00:00:00+00:00,116.72430295856013,117.72123822124287,116.40122404267004,117.17662048339844,244200
2024-02-29 00:00:00+00:00,117.98892062656661,118.26584236152252,117.21353131758042,117.85045623779297,546800
2024-03-01 00:00:00+00:00,117.36123433825958,118.57971545867453,116.84430807572629,117.57354736328125,273500
2024-03-04 00:00:00+00:00,117.66585461836331,118.07201499183496,117.04738826246212,117.57354736328125,322400
2024-03-05 00:00:00+00:00,117.47201547890896,118.45971796675163,116.47508015213523,117.5181655883789,291100
2024-03-06 00:00:00+00:00,117.87816165141282,118.85663124066943,117.34277675012822,118.64432525634766,298900
2024-03-07 00:00:00+00:00,118.89355935696567,119.7797146235975,118.24740154063329,118.61663055419922,299500
2024-03-08 00:00:00+00:00,118.83817036425896,119.6689426450857,118.33046993256116,118.80123901367188,289800
2024-03-11 00:00:00+00:00,118.59817068684127,119.5674145014049,118.35817322478688,119.51203155517578,365600
2024-03-12 00:00:00+00:00,119.2535639561471,119.96434460493666,118.5612489838049,119.88125610351562,360000
2024-03-13 00:00:00+00:00,120.00126064097448,120.92434726128967,119.77048898589568,120.33357238769531,282400
2024-03-14 00:00:00+00:00,119.98280095659945,121.51512820329052,119.94588368742419,121.37667083740234,366800
2024-03-15 00:00:00+00:00,120.39818601954391,122.28129068921527,120.39818601954391,122.26282501220703,948600
2024-03-18 00:00:00+00:00,122.29052613349126,122.57668076636499,120.06589781735077,120.13973236083984,309700
2024-03-19 00:00:00+00:00,120.40742654000871,121.9582053725049,120.40742654000871,121.47821044921875,333100
2024-03-20 00:00:00+00:00,121.17358644937121,123.14899128370752,120.9981977351944,122.724365234375,276200
2024-03-21 00:00:00+00:00,122.89051516807747,123.5828300707712,121.76434846621441,122.95512390136719,385900
2024-03-22 00:00:00+00:00,123.2043703194855,123.2043703194855,120.90587960193427,121.08126831054688,303500
