"('date', '')","('open', 'CCI')","('high', 'CCI')","('low', 'CCI')","('close', 'CCI')","('volume', 'CCI')"
1998-08-18 00:00:00+00:00,7.816407517416757,7.968182490212058,7.816407517416757,7.892294406890869,5962273
1998-08-19 00:00:00+00:00,7.892294406890869,8.044069379686169,7.892294406890869,7.892294406890869,400750
1998-08-20 00:00:00+00:00,7.968182490212058,8.044069379686169,7.892294406890869,7.892294406890869,359304
1998-08-21 00:00:00+00:00,7.892294406890869,7.892294406890869,7.892294406890869,7.892294406890869,828924
1998-08-24 00:00:00+00:00,7.892294406890869,7.892294406890869,7.892294406890869,7.892294406890869,123411
1998-08-25 00:00:00+00:00,7.892294406890869,7.892294406890869,7.816407517416757,7.892294406890869,303217
1998-08-26 00:00:00+00:00,7.892296588595722,7.892296588595722,7.3610852308139805,7.436972141265869,395698
1998-08-27 00:00:00+00:00,7.4369718729461365,7.512859377583771,6.526322414218198,6.7539849281311035,448794
1998-08-28 00:00:00+00:00,6.90575705677959,6.90575705677959,6.070994853973389,6.070994853973389,198364
1998-08-31 00:00:00+00:00,6.070996752084601,6.146884845717005,4.629134911541329,4.932684898376465,155475
1998-09-01 00:00:00+00:00,5.00857246613,5.463897452841319,4.05997934073838,5.1603474617004395,454362
1998-09-02 00:00:00+00:00,5.160346137152778,6.374545193134403,5.160346137152778,5.805389404296875,524985
1998-09-03 00:00:00+00:00,5.919221186161731,5.919221186161731,5.160346889395608,5.312121868133545,171043
1998-09-04 00:00:00+00:00,5.46389623212662,5.46389623212662,4.932683866310729,5.084458827972412,160527
1998-09-08 00:00:00+00:00,5.463897976383309,6.0709974199127394,5.312122966270029,5.995110511779785,153928
1998-09-09 00:00:00+00:00,5.99510947040554,6.070996365356639,5.767446994781494,5.767446994781494,120524
1998-09-10 00:00:00+00:00,5.691559007820146,5.691559007820146,5.4638971250462145,5.6156721115112305,83202
1998-09-11 00:00:00+00:00,5.653616159837573,5.69155961202,5.463897705078124,5.463897705078125,87429
1998-09-14 00:00:00+00:00,5.615672707655145,5.843335211520676,5.463897705078124,5.463897705078125,93615
1998-09-15 00:00:00+00:00,5.5397837393168885,5.615671825609419,5.2362337818410145,5.312121868133545,206612
1998-09-16 00:00:00+00:00,5.312121444668101,5.312121444668101,4.705021876574183,4.780909061431885,228160
1998-09-17 00:00:00+00:00,4.7809081672065705,5.236232385035566,4.7809081672065705,5.027542591094971,90006
1998-09-18 00:00:00+00:00,5.084458141669046,5.274176519676097,4.705021087193238,5.008570671081543,151866
1998-09-21 00:00:00+00:00,4.780908986377918,4.856796766967797,4.173809427814662,4.249697208404541,487560
1998-09-22 00:00:00+00:00,4.325585643425045,4.9326853776169495,4.2876415929223475,4.85679817199707,750877
1998-09-23 00:00:00+00:00,5.0085713471415705,5.236233192710601,4.856796683941635,5.084458827972412,394357
1998-09-24 00:00:00+00:00,5.160347503822203,5.691559395731176,5.160347503822203,5.5018415451049805,289505
1998-09-25 00:00:00+00:00,5.312122425028347,5.729503361851902,5.312122425028347,5.691559314727783,45776
1998-09-28 00:00:00+00:00,5.76744740897602,5.995109900949856,5.691559314727783,5.691559314727783,27321
1998-09-29 00:00:00+00:00,5.767447012623091,5.919221399918387,5.615672028404211,5.786418437957764,91037
1998-09-30 00:00:00+00:00,5.767446709872173,6.108940107976828,5.691558624822748,5.843334197998047,177641
1998-10-01 00:00:00+00:00,5.843334113616539,5.843334113616539,5.3880085945129395,5.3880085945129395,88151
1998-10-02 00:00:00+00:00,5.3880085945129395,5.615671652526511,5.3880085945129395,5.3880085945129395,60520
1998-10-05 00:00:00+00:00,5.312122898025538,5.388009805183579,4.85679817199707,4.85679817199707,64953
1998-10-06 00:00:00+00:00,5.46389623212662,5.539783116033967,4.856796683941635,5.084458827972412,133515
1998-10-07 00:00:00+00:00,5.084459271696997,5.23623364968065,4.742966175079346,4.742966175079346,350952
1998-10-08 00:00:00+00:00,4.7050205399401746,4.7429645692822655,3.6425966722118046,3.8323147296905518,357551
1998-10-09 00:00:00+00:00,4.2496966121826985,4.325583785202291,3.718484311813578,3.794372081756592,279917
1998-10-12 00:00:00+00:00,3.9461470247191976,3.9461470247191976,3.642597138793986,3.794372081756592,680872
1998-10-13 00:00:00+00:00,3.7943726140975373,4.553246838455292,3.7943726140975373,4.249697208404541,235687
1998-10-14 00:00:00+00:00,4.173809998441577,4.629134654998779,4.173809998441577,4.629134654998779,47838
1998-10-15 00:00:00+00:00,4.553244884381559,4.62913203548015,4.477357136359719,4.591188907623291,45467
1998-10-16 00:00:00+00:00,4.7429659166956695,5.084458994709723,4.553246909935264,4.780909061431885,434670
1998-10-19 00:00:00+00:00,4.932684319137428,5.198290824890137,4.856797129801794,5.198290824890137,52169
1998-10-20 00:00:00+00:00,5.2362343307801105,5.76744740897602,5.160347430379123,5.691559314727783,365799
1998-10-21 00:00:00+00:00,5.7295015240143865,6.298657869843968,5.7295015240143865,6.070994853973389,160836
1998-10-22 00:00:00+00:00,6.146885296145437,6.981646627264048,6.070997196952143,6.9437031745910645,138773
1998-10-23 00:00:00+00:00,7.057533250363792,7.968182490212058,6.905758277568491,7.892294406890869,424153
1998-10-26 00:00:00+00:00,7.892296320477782,7.892296320477782,7.664634403008863,7.7405219078063965,129390
1998-10-27 00:00:00+00:00,7.816406182039467,8.119956075770732,7.5128562883082015,7.550800323486328,430442
1998-10-28 00:00:00+00:00,7.512859393413794,7.740521907806397,7.4369718886162595,7.7405219078063965,54643
1998-10-29 00:00:00+00:00,7.664634300049099,7.930240264810717,7.133421773602187,7.285196781158447,288680
1998-10-30 00:00:00+00:00,7.285194375782341,7.816406726837158,7.209307493983703,7.816406726837158,204757
1998-11-02 00:00:00+00:00,7.854350764659956,8.082012603902829,7.664631769392925,7.816406726837158,109183
1998-11-03 00:00:00+00:00,7.778465361743322,7.816409412603932,7.664634403008863,7.7405219078063965,25672
1998-11-04 00:00:00+00:00,7.816405613580244,7.816405613580244,7.436968274011282,7.588743209838867,109080
1998-11-05 00:00:00+00:00,7.588744074073426,8.044068336486816,7.474913157700944,8.044068336486816,84336
1998-11-06 00:00:00+00:00,8.044068336486816,8.082012373226618,7.816406503741852,8.044068336486816,57324
1998-11-09 00:00:00+00:00,7.816406503741852,8.082012373226618,7.7405190271857105,8.044068336486816,86810
1998-11-10 00:00:00+00:00,8.044069379686169,8.082013421346764,7.816407517416757,7.892294406890869,23301
1998-11-11 00:00:00+00:00,7.816409412603932,7.968184422199,7.664634403008863,7.7405219078063965,22888
