"('date', '')","('open', 'BGS')","('high', 'BGS')","('low', 'BGS')","('close', 'BGS')","('volume', 'BGS')"
2024-01-02 00:00:00+00:00,8.870166114109852,9.712108795395405,8.861661445963582,9.473983764648438,1498500
2024-01-03 00:00:00+00:00,9.397444788399897,9.405949457826708,9.218850785686417,9.25286865234375,1121900
2024-01-04 00:00:00+00:00,9.303895178340694,9.303895178340694,8.955211837410959,8.963716506958008,1155300
2024-01-05 00:00:00+00:00,8.921195373947718,9.006240460699482,8.683070266512855,8.734097480773926,1038700
2024-01-08 00:00:00+00:00,8.74259977172865,9.057265238562618,8.708581905342541,8.955211639404297,1021900
2024-01-09 00:00:00+00:00,8.870166388713537,9.116796095241966,8.75960813253875,9.099786758422852,1205600
2024-01-10 00:00:00+00:00,9.065770001405006,9.065770001405006,8.84465346209027,9.00623893737793,674700
2024-01-11 00:00:00+00:00,8.946707596919323,8.946707596919323,8.538492397639597,8.700077056884766,1056500
2024-01-12 00:00:00+00:00,8.785122390879533,8.8361495964681,8.521484126646705,8.564005851745605,684600
2024-01-16 00:00:00+00:00,8.5129797742104,8.55550231194266,8.33438576457487,8.376908302307129,868400
2024-01-17 00:00:00+00:00,8.24083453514913,8.427933180843944,8.087754562353192,8.300366401672363,1283700
2024-01-18 00:00:00+00:00,8.342889587105677,8.38541130946988,8.130277731085195,8.33438491821289,815800
2024-01-19 00:00:00+00:00,8.36840313167987,8.444943532806803,8.130278070101552,8.402420997619629,1168600
2024-01-22 00:00:00+00:00,8.453448008959638,8.700077757814247,8.410926281713984,8.683069229125977,1061400
2024-01-23 00:00:00+00:00,8.742601058028907,8.895681884814149,8.51298062890107,8.674565315246582,854500
2024-01-24 00:00:00+00:00,8.70858194464754,8.751104480584571,8.453447540075267,8.461952209472656,737700
2024-01-25 00:00:00+00:00,8.632041213189371,8.861662411868144,8.564005482703042,8.836149215698242,723000
2024-01-26 00:00:00+00:00,8.895679980071227,9.057264631818235,8.768113192431477,8.776617050170898,643400
