"('date', '')","('open', 'ASR')","('high', 'ASR')","('low', 'ASR')","('close', 'ASR')","('volume', 'ASR')"
2024-01-02 00:00:00+00:00,260.0932591634428,260.0932591634428,251.74777662535686,255.15737915039062,28700
2024-01-03 00:00:00+00:00,256.3891264390304,258.45988240487407,250.87308492974176,251.30149841308594,56100
2024-01-04 00:00:00+00:00,251.36398591137794,252.63143936437038,248.3114308692974,250.2125701904297,32900
2024-01-05 00:00:00+00:00,251.96202783864874,257.81724848921186,249.9180476081032,255.63938903808594,42000
2024-01-08 00:00:00+00:00,255.13955040291304,258.2635259402332,255.13955040291304,255.47872924804688,57200
2024-01-09 00:00:00+00:00,255.28234820520598,256.16597822898933,249.73059664671496,250.65884399414062,34400
2024-01-10 00:00:00+00:00,249.31997844930154,253.7203412295608,249.31997844930154,252.069091796875,33400
2024-01-11 00:00:00+00:00,251.3729177692077,254.29159356791027,251.14084230742998,253.17588806152344,34300
2024-01-12 00:00:00+00:00,252.35475002916098,254.12201016016346,249.73060843698286,250.4357147216797,30100
2024-01-16 00:00:00+00:00,248.3382149940279,248.3382149940279,238.198668748656,241.0548858642578,48500
2024-01-17 00:00:00+00:00,238.0558317786107,244.17883742543063,233.56623415717104,243.75039672851562,61700
2024-01-18 00:00:00+00:00,245.28561715794217,245.28561715794217,239.287583384186,243.6968536376953,30000
2024-01-19 00:00:00+00:00,242.9113889473092,249.89124888964173,238.8948492641275,249.16827392578125,49600
2024-01-22 00:00:00+00:00,249.7662857114816,250.7927565693635,241.58148536337447,241.80462646484375,51500
2024-01-23 00:00:00+00:00,240.20694729171217,245.3034828199951,240.20694729171217,244.0360565185547,74000
2024-01-24 00:00:00+00:00,246.49058429531956,249.49852192022007,244.86611057421788,245.74974060058594,91400
2024-01-25 00:00:00+00:00,244.98212811458623,261.38746454815583,244.1431154811311,253.9434814453125,114300
2024-01-26 00:00:00+00:00,259.7362285200009,264.85953922521804,253.48827800577405,260.7716064453125,71600
2024-01-29 00:00:00+00:00,267.82287062400434,267.82287062400434,257.71903511869016,262.6192321777344,75400
2024-01-30 00:00:00+00:00,266.36795748707914,266.36795748707914,258.62050590113034,261.7087707519531,77300
2024-01-31 00:00:00+00:00,258.95078737532594,264.5203806870625,258.95078737532594,260.9322814941406,75000
2024-02-01 00:00:00+00:00,263.50286533448946,266.46618570318327,260.7359102248995,266.1180725097656,105500
2024-02-02 00:00:00+00:00,264.7613821240437,271.2503155009851,262.7709537075883,270.6969299316406,61200
2024-02-05 00:00:00+00:00,270.6969389898144,272.65165726881406,266.0199100974011,271.6252136230469,36700
2024-02-06 00:00:00+00:00,272.78553746923274,280.55085892659974,271.27710139937886,279.26556396484375,59800
2024-02-07 00:00:00+00:00,279.5868656956214,283.7819292975319,278.48009454911903,282.35382080078125,48700
2024-02-08 00:00:00+00:00,279.98855233090086,281.5059228339039,276.9895215307871,279.3726806640625,124200
2024-02-09 00:00:00+00:00,278.721051871799,279.1048752329903,272.74979436036386,273.9369201660156,54600
2024-02-12 00:00:00+00:00,272.7230597510249,274.8205916789876,265.4486648526444,267.09991455078125,70100
2024-02-13 00:00:00+00:00,265.89495070396015,265.98421259892217,260.95013590324754,263.26190185546875,52300
2024-02-14 00:00:00+00:00,264.1990867875502,266.3680119424213,262.8423985803231,265.9306640625,46500
2024-02-15 00:00:00+00:00,264.8149430265455,269.715113032845,264.0740992955491,268.1799011230469,40800
2024-02-16 00:00:00+00:00,269.64374303639255,271.759116559945,267.1980977645389,271.178955078125,49200
2024-02-20 00:00:00+00:00,268.27810791366716,268.69761430197866,260.9055167127096,268.0192565917969,53100
2024-02-21 00:00:00+00:00,269.30452374994115,269.30452374994115,263.36004175623583,264.6185607910156,39100
2024-02-22 00:00:00+00:00,266.69823628849355,268.7065062221084,262.70847226415583,268.2156066894531,46800
2024-02-23 00:00:00+00:00,269.0456935952063,269.0456935952063,262.9852006374672,265.1273498535156,46400
2024-02-26 00:00:00+00:00,265.27013575803466,266.7339271280398,263.22615576931474,266.6178894042969,48300
2024-02-27 00:00:00+00:00,262.11941727672854,264.7881762989715,254.66649857875177,257.5851745605469,64800
2024-02-28 00:00:00+00:00,255.37160779877448,257.81725297249494,247.73125810386392,250.56069946289062,89700
2024-02-29 00:00:00+00:00,250.23933551181636,262.8423673882192,250.23933551181636,262.7441711425781,72600
2024-03-01 00:00:00+00:00,262.583535622755,263.22618311116713,255.88930230133917,257.6654968261719,44100
