"('date', '')","('open', 'AIN')","('high', 'AIN')","('low', 'AIN')","('close', 'AIN')","('volume', 'AIN')"
2024-01-02 00:00:00+00:00,95.04933179638364,96.5431722062539,94.19989722164381,95.03956604003906,91000
2024-01-03 00:00:00+00:00,94.65878490956305,94.93217394770576,91.19268626394043,91.28055572509766,144300
2024-01-04 00:00:00+00:00,91.69062981487566,91.77849927052934,90.10891257130721,90.3627700805664,152000
2024-01-05 00:00:00+00:00,89.43522170883307,91.02670479299493,89.38640782501243,90.09915161132812,95400
2024-01-08 00:00:00+00:00,89.83552734389076,90.39205622098582,88.09759532240405,90.14796447753906,93100
2024-01-09 00:00:00+00:00,88.60531174491611,89.24971758771487,87.99020317149969,88.83963775634766,78100
2024-01-10 00:00:00+00:00,89.20087882958532,89.46449460981367,88.55647311266777,88.956787109375,91400
2024-01-11 00:00:00+00:00,88.58577640465018,88.83962644760011,87.28720657698156,88.21475219726562,180200
2024-01-12 00:00:00+00:00,89.49379106918708,90.31393566616076,88.1171102040109,89.41567993164062,602700
2024-01-16 00:00:00+00:00,88.21475932901929,88.69317708612134,85.30518976237828,85.37353515625,271600
2024-01-17 00:00:00+00:00,84.12378652036138,84.97322106540915,83.50867052667658,83.73323822021484,100000
2024-01-18 00:00:00+00:00,84.21166037859278,84.74866525049792,83.6063101092715,84.71936798095703,92000
2024-01-19 00:00:00+00:00,85.03180572321237,86.02770431983465,83.86993395927261,85.92030334472656,116800
2024-01-22 00:00:00+00:00,86.81855177700162,87.81445028762866,86.81855177700162,87.55082702636719,155400
2024-01-23 00:00:00+00:00,88.38073835773591,88.38073835773591,86.54517106288975,87.09193420410156,145100
2024-01-24 00:00:00+00:00,88.08783078558574,88.08783078558574,85.51998084158365,85.9691162109375,101300
2024-01-25 00:00:00+00:00,87.34578463259065,87.61916618103847,86.36941770294074,87.06263732910156,130500
2024-01-26 00:00:00+00:00,87.60940832025653,88.06829452228939,86.99429238403485,87.45318603515625,110100
2024-01-29 00:00:00+00:00,87.16028359411476,89.79647910819293,87.16028359411476,89.7476577758789,114600
2024-01-30 00:00:00+00:00,89.01536860998479,89.7769336011981,89.01536860998479,89.6792984008789,67100
2024-01-31 00:00:00+00:00,90.11867559375727,90.11867559375727,86.70139115010151,86.80879211425781,108900
2024-02-01 00:00:00+00:00,87.23840473043715,88.05855702282271,86.18392640412303,87.9804458618164,106400
2024-02-02 00:00:00+00:00,86.63304389833034,88.12688415975822,86.63304389833034,87.72657012939453,81300
2024-02-05 00:00:00+00:00,86.3596616076879,86.3596616076879,85.15873432137795,85.72502899169922,73400
2024-02-06 00:00:00+00:00,85.54928602597566,87.33603211677979,85.54928602597566,86.76974487304688,62200
2024-02-07 00:00:00+00:00,86.76973595165367,86.88689522150918,85.79336897438371,86.00816345214844,50300
2024-02-08 00:00:00+00:00,86.46705556412495,87.25791786683304,85.68596646584709,86.91618347167969,100700
2024-02-09 00:00:00+00:00,86.91618542714103,88.5760137653661,86.90642712066875,88.45884704589844,79000
2024-02-12 00:00:00+00:00,88.67365816935526,89.84529568917746,88.50767755304689,89.60120391845703,84700
2024-02-13 00:00:00+00:00,86.48659599085488,87.80469003246789,84.93416849142083,86.43777465820312,166300
2024-02-14 00:00:00+00:00,87.843745012945,88.21476181167755,86.63305195210617,88.10736083984375,114200
2024-02-15 00:00:00+00:00,89.02514823037725,91.53441125974756,89.02514823037725,91.38795471191406,102200
2024-02-16 00:00:00+00:00,90.88024122064759,92.58888345321652,90.48969293481404,91.71015167236328,108400
2024-02-20 00:00:00+00:00,90.45063682276923,91.3098370872161,89.46450408295607,90.0893783569336,128300
2024-02-21 00:00:00+00:00,90.2163155184616,90.51898691558505,89.41569484777271,90.25537109375,82500
2024-02-22 00:00:00+00:00,89.9917450225912,90.33347198436968,89.15206880274175,89.58167266845703,83100
2024-02-23 00:00:00+00:00,89.3180690134635,89.96246745066763,89.00563182743633,89.33759307861328,214900
2024-02-26 00:00:00+00:00,88.50766404712681,90.4311080987482,88.50766404712681,90.34323120117188,97400
