"('date', '')","('open', 'CNK')","('high', 'CNK')","('low', 'CNK')","('close', 'CNK')","('volume', 'CNK')"
2007-04-24 00:00:00+00:00,11.262692643726437,11.440524180587772,10.515798153783223,11.209342956542969,18903300
2007-04-25 00:00:00+00:00,11.209342406087409,11.434596881050588,11.209342406087409,11.310113906860352,3461900
2007-04-26 00:00:00+00:00,11.440522342130034,12.26447786143122,11.381245926452024,11.5650053024292,1153800
2007-04-27 00:00:00+00:00,11.55908203125,11.618359601125121,11.23898383229971,11.2626953125,829200
2007-04-30 00:00:00+00:00,11.286403946136792,11.39903005680573,11.203414916992188,11.203414916992188,1411200
2007-05-01 00:00:00+00:00,11.203412926121159,11.256762603010436,11.025581423573648,11.173774719238281,1096400
2007-05-02 00:00:00+00:00,11.173775202249542,11.191557674897908,10.729195296037691,10.924810409545898,1659500
2007-05-03 00:00:00+00:00,10.877389867831207,11.114498952697017,10.699557206212875,10.729196548461914,778500
2007-05-04 00:00:00+00:00,10.78847324746022,11.14413628126368,10.776617511500048,11.025582313537598,717300
2007-05-07 00:00:00+00:00,11.17377230066679,11.529436359403176,11.084856568638912,11.333821296691895,761000
2007-05-08 00:00:00+00:00,11.292332916482382,11.351610483125771,11.203417131830069,11.274550437927246,130600
2007-05-09 00:00:00+00:00,11.233057092875242,11.399032931774855,11.15006804279983,11.2626953125,181400
2007-05-10 00:00:00+00:00,11.2626953125,11.292333532124758,11.203417742624879,11.2626953125,506000
2007-05-11 00:00:00+00:00,11.262692601284101,11.357536238002783,11.215270782924762,11.327898025512695,156400
2007-05-14 00:00:00+00:00,11.327898520092804,11.446452505854598,11.173777321039626,11.399030685424805,388300
2007-05-15 00:00:00+00:00,11.41088362480454,11.766547756118275,11.399027889948224,11.547221183776855,342200
2007-05-16 00:00:00+00:00,11.499802539163827,11.559080099130606,11.29825951365203,11.410886764526367,129700
2007-05-17 00:00:00+00:00,11.321972882375121,11.351611101999879,11.037441903725266,11.2626953125,307500
2007-05-18 00:00:00+00:00,11.238981594234819,11.547223991703381,11.233054855990568,11.458308219909668,544000
2007-05-21 00:00:00+00:00,11.351610106146637,11.736912580594728,11.32197188912198,11.67763614654541,435800
2007-05-22 00:00:00+00:00,11.618354541593835,11.825825380495086,11.529438790814758,11.582788467407227,165700
2007-05-23 00:00:00+00:00,11.529442132471265,11.618357909021405,11.381248794679221,11.446453094482422,150300
2007-05-24 00:00:00+00:00,11.440524636972702,11.470163981382187,11.268620961899215,11.399030685424805,147800
2007-05-25 00:00:00+00:00,11.375322172204582,11.410888260597519,11.310116734629558,11.369394302368164,74400
2007-05-29 00:00:00+00:00,11.292331543557093,11.333826626600361,11.20934363872137,11.233055114746094,107500
2007-05-30 00:00:00+00:00,11.215269146047932,11.683559392670947,11.215269146047932,11.363462448120117,251700
2007-05-31 00:00:00+00:00,11.286400189106129,11.482015263803087,11.262688722779252,11.470159530639648,397500
2007-06-01 00:00:00+00:00,11.440527164904672,11.559082307488138,11.32197315294684,11.535370826721191,209400
2007-06-04 00:00:00+00:00,11.61835517936735,11.736909143372268,11.434595800253362,11.452378273010254,272700
2007-06-05 00:00:00+00:00,11.470164005363571,11.67170702526792,11.262693116564929,11.339753150939941,126400
2007-06-06 00:00:00+00:00,11.292333086484739,11.38125000310121,11.197489430677692,11.280478477478027,172400
2007-06-07 00:00:00+00:00,11.262692492574022,11.262692492574022,10.978161585164333,11.144137382507324,101900
2007-06-08 00:00:00+00:00,11.26269330263624,11.26269330263624,10.978162374761842,11.084861755371094,388900
2007-06-11 00:00:00+00:00,11.02557901583254,11.02557901583254,10.818108221084035,10.984085083007812,115600
2007-06-12 00:00:00+00:00,10.995945657302409,11.256766258955883,10.895174138297124,11.019657135009766,411700
2007-06-13 00:00:00+00:00,11.019655418633587,11.019655418633587,10.889245703431673,10.96630573272705,348300
2007-06-14 00:00:00+00:00,10.948521597020088,11.02558275320899,10.877389439672916,11.00779914855957,137000
2007-06-15 00:00:00+00:00,11.019656327082018,11.084861755371092,10.877390863144818,11.084861755371094,81600
2007-06-18 00:00:00+00:00,11.084861755371092,11.173777529003667,11.001872720105341,11.084861755371094,211500
2007-06-19 00:00:00+00:00,11.114498358502209,11.197486251112283,10.930738968883373,10.942593574523926,173800
2007-06-20 00:00:00+00:00,10.96630209104555,11.108567496011148,10.865530621200135,10.972229957580566,328000
2007-06-21 00:00:00+00:00,10.942593387797546,11.049292751118468,10.865533364635336,10.995943069458008,146900
2007-06-22 00:00:00+00:00,10.669919305576192,10.794401154774421,10.284616890111007,10.32611083984375,1855100
2007-06-25 00:00:00+00:00,10.290543069617089,10.290543069617089,9.573286912771584,10.100855827331543,1790300
2007-06-26 00:00:00+00:00,10.195699156186398,10.43280820224594,10.195699156186398,10.296470642089844,327500
2007-06-27 00:00:00+00:00,10.189774408596346,10.44466713513744,10.136424715570282,10.420955657958984,131900
2007-06-28 00:00:00+00:00,10.432804834908923,10.79439558945672,10.41502123820995,10.628419876098633,237300
