"('date', '')","('open', 'COF')","('high', 'COF')","('low', 'COF')","('close', 'COF')","('volume', 'COF')"
1994-11-16 00:00:00+00:00,3.7401075363159175,3.769327351112804,3.7401075363159175,3.740107536315918,8343900
1994-11-17 00:00:00+00:00,3.740106228247301,3.7985458374023438,3.7108870924529294,3.7985458374023438,4872000
1994-11-18 00:00:00+00:00,3.8277671781027243,3.886206820920713,3.7985480254772646,3.8569869995117188,1468800
1994-11-21 00:00:00+00:00,3.886204273420569,3.886204273420569,3.7693257331848145,3.7693257331848145,348600
1994-11-22 00:00:00+00:00,3.740108360103788,3.769328181336566,3.594010591506958,3.594010591506958,709800
1994-11-23 00:00:00+00:00,3.564788341522217,3.623227944171861,3.53556920898047,3.564788341522217,906600
1994-11-25 00:00:00+00:00,3.5647887029637357,3.6232283115386963,3.5647887029637357,3.6232283115386963,132600
1994-11-28 00:00:00+00:00,3.6524470767136084,3.6524470767136084,3.564788341522217,3.564788341522217,280500
1994-11-29 00:00:00+00:00,3.56479077027418,3.594010591506958,3.56479077027418,3.594010591506958,187500
1994-11-30 00:00:00+00:00,3.564788341522217,3.594008142847039,3.564788341522217,3.564788341522217,130800
1994-12-01 00:00:00+00:00,3.5940099590747665,3.5940099590747665,3.4479122161865234,3.4479122161865234,794400
1994-12-02 00:00:00+00:00,3.4479122161865234,3.4479122161865234,3.4186924000955097,3.4479122161865234,54600
1994-12-05 00:00:00+00:00,3.4479122161865234,3.4479122161865234,3.4186924000955097,3.4479122161865234,19800
1994-12-06 00:00:00+00:00,3.447911925597369,3.447911925597369,3.418692111968994,3.418692111968994,91200
1994-12-07 00:00:00+00:00,3.4479130851736746,3.4479130851736746,3.3894734382629395,3.3894734382629395,77700
1994-12-08 00:00:00+00:00,3.389471518493394,3.4186913253988966,3.360252380371094,3.3602523803710938,169200
1994-12-09 00:00:00+00:00,3.3310334116368012,3.3310334116368012,3.243374637646359,3.272594451904297,272100
1994-12-12 00:00:00+00:00,3.331033706665039,3.4186924884193823,3.3018138898191145,3.331033706665039,284400
1994-12-13 00:00:00+00:00,3.331033416750303,3.331033416750303,3.3018136024475098,3.3018136024475098,146100
1994-12-14 00:00:00+00:00,3.3310325734655915,3.389471518493394,3.3310325734655915,3.3602523803710938,442200
1994-12-15 00:00:00+00:00,3.3602542835911535,3.4186932617183072,3.3602542835911535,3.3894734382629395,274200
