"('date', '')","('open', 'BLK')","('high', 'BLK')","('low', 'BLK')","('close', 'BLK')","('volume', 'BLK')"
2024-01-02 00:00:00+00:00,773.3650617169668,777.2023047066763,764.9788555630049,769.6624145507812,660000
2024-01-03 00:00:00+00:00,762.074473875839,762.074473875839,752.380404558937,754.1307373046875,638700
2024-01-04 00:00:00+00:00,753.2747942039232,762.1514271883958,752.7650557970753,755.86181640625,580200
2024-01-05 00:00:00+00:00,752.8419529242345,758.5641828699873,751.5436579871656,752.8612060546875,471000
2024-01-08 00:00:00+00:00,754.399925117639,767.4600630156409,752.9380959789535,766.6714477539062,513200
2024-01-09 00:00:00+00:00,762.3052919559058,764.6999588001864,757.0062198891767,764.1036987304688,454700
2024-01-10 00:00:00+00:00,764.4595403280141,768.4602587912492,757.7082655540738,762.0263671875,510800
2024-01-11 00:00:00+00:00,766.4502904143395,769.354636934308,756.94851817615,762.2667846679688,735800
2024-01-12 00:00:00+00:00,754.9480865294734,771.6242904720286,752.7938491520389,768.9891357421875,880500
2024-01-16 00:00:00+00:00,773.01874849547,778.0196903314277,758.4679606541663,761.0838623046875,895200
2024-01-17 00:00:00+00:00,744.7250688167414,757.7659538957796,738.9355115147313,757.2850952148438,617100
2024-01-18 00:00:00+00:00,764.1421547504659,765.5174035522007,755.0058396925283,764.8153686523438,506700
2024-01-19 00:00:00+00:00,767.210042827062,777.8658878737854,763.6516767677488,774.6056518554688,681500
2024-01-22 00:00:00+00:00,775.5384976671891,776.3944402352844,763.1323785069469,763.6228637695312,760500
2024-01-23 00:00:00+00:00,762.9016515841039,765.132843203295,758.2949872428837,762.2188110351562,718300
2024-01-24 00:00:00+00:00,767.3158789885355,767.3158789885355,755.13093519894,755.6694946289062,659700
2024-01-25 00:00:00+00:00,760.6414490814229,764.469123944051,757.3427657055835,760.1990966796875,723800
2024-01-26 00:00:00+00:00,761.0357831540027,762.9111436674274,755.4193281786983,757.1600341796875,687900
