"('date', '')","('open', 'ADT')","('high', 'ADT')","('low', 'ADT')","('close', 'ADT')","('volume', 'ADT')"
2024-01-02 00:00:00+00:00,6.410095332737094,6.685491984880505,6.324627250063129,6.657002925872803,5757600
2024-01-03 00:00:00+00:00,6.486067373563571,6.50506023230565,6.096713542938232,6.096713542938232,2988800
2024-01-04 00:00:00+00:00,6.087216844982358,6.182181590860306,6.03498659700986,6.077720642089844,2116800
2024-01-05 00:00:00+00:00,6.068224234746213,6.334124719002019,6.001749453301377,6.191678047180176,3526800
2024-01-08 00:00:00+00:00,6.172685005661904,6.39585143650389,6.167936677748666,6.324627876281738,1870400
2024-01-09 00:00:00+00:00,6.229663757164509,6.267649475886663,6.1821818351745605,6.1821818351745605,1287300
2024-01-10 00:00:00+00:00,6.153692328404416,6.2296637659559355,6.0492313753583336,6.191678047180176,1525300
2024-01-11 00:00:00+00:00,6.201174449470803,6.201174449470803,6.044482799902375,6.077720642089844,1338400
2024-01-12 00:00:00+00:00,6.125202355643523,6.153691869011252,5.968511164184651,5.992252349853516,1476600
2024-01-16 00:00:00+00:00,5.91628201960401,5.91628201960401,5.797576521981799,5.840310573577881,2030700
2024-01-17 00:00:00+00:00,5.754841927901094,5.849806226481872,5.716856208468783,5.8118205070495605,1563700
2024-01-18 00:00:00+00:00,5.859302520751953,5.906784440696057,5.783331086581015,5.859302520751953,1302300
2024-01-19 00:00:00+00:00,5.868798932102561,5.973259884211362,5.7928274952327,5.9542670249938965,1472000
2024-01-22 00:00:00+00:00,6.030238142237333,6.077720514176985,5.954266709394258,6.020741939544678,1961200
2024-01-23 00:00:00+00:00,6.106210108848874,6.158440813113279,5.944771026358026,6.04923152923584,1747300
2024-01-24 00:00:00+00:00,6.125202549896844,6.153692064168083,5.8545542020346835,5.868798732757568,1209100
2024-01-25 00:00:00+00:00,6.1252024005902515,6.666499535945501,6.1157061979482945,6.419592380523682,6576300
2024-01-26 00:00:00+00:00,6.46707400170679,6.579131995241716,6.258152572120307,6.296138286590576,2871500
