"('date', '')","('open', 'BHK')","('high', 'BHK')","('low', 'BHK')","('close', 'BHK')","('volume', 'BHK')"
2024-01-02 00:00:00+00:00,9.406149274991966,9.406149274991966,9.060969802192782,9.337113380432129,329300
2024-01-03 00:00:00+00:00,9.302595644627132,9.35437297821045,9.242189441257262,9.35437297821045,125200
2024-01-04 00:00:00+00:00,9.354370768891643,9.388888708803794,9.293964579788529,9.319852828979492,158200
2024-01-05 00:00:00+00:00,9.311223843827493,9.3975191116333,9.276705901299703,9.3975191116333,243300
2024-01-08 00:00:00+00:00,9.423407447189714,9.457925390026675,9.388889504352752,9.414777755737305,129100
2024-01-09 00:00:00+00:00,9.432037138642123,9.432037138642123,9.371630121447936,9.414777755737305,135500
2024-01-10 00:00:00+00:00,9.41477955730052,9.449297506742655,9.388891300962126,9.406149864196777,194400
2024-01-11 00:00:00+00:00,9.400400498614772,9.400400498614772,9.3569612318633,9.39171314239502,167000
2024-01-12 00:00:00+00:00,9.39171430889665,9.409089852045195,9.356962394048555,9.383026123046875,150000
2024-01-16 00:00:00+00:00,9.356960752560635,9.400400017086968,9.252704197755028,9.27008056640625,210000
2024-01-17 00:00:00+00:00,9.15713898696071,9.252706553218502,9.15713898696071,9.217954635620117,202600
2024-01-18 00:00:00+00:00,9.244020956637646,9.261396504472133,9.139765183977037,9.157140731811523,177000
2024-01-19 00:00:00+00:00,9.18320372652962,9.18320372652962,9.078947962285,9.148451805114746,254600
2024-01-22 00:00:00+00:00,9.191891215922922,9.244019508361816,9.17451567081069,9.244019508361816,165900
2024-01-23 00:00:00+00:00,9.244018956657204,9.261394500732422,9.209267039955716,9.261394500732422,107400
2024-01-24 00:00:00+00:00,9.313520447388896,9.322207802965812,9.261392171173197,9.278768539428711,122400
2024-01-25 00:00:00+00:00,9.31352400265771,9.400403391447382,9.287459440324765,9.356964111328125,193300
2024-01-26 00:00:00+00:00,9.36565075613058,9.400402674706996,9.313523292541504,9.313523292541504,121400
2024-01-29 00:00:00+00:00,9.356963318953195,9.435154513677094,9.356963318953195,9.417778968811035,196100
2024-01-30 00:00:00+00:00,9.47859342292312,9.504657151209756,9.435153323411404,9.461217880249023,190000
2024-01-31 00:00:00+00:00,9.522034858890066,9.539410404002888,9.495971126945284,9.513346672058105,162900
2024-02-01 00:00:00+00:00,9.522032718855371,9.556784629821777,9.495968992768296,9.556784629821777,188000
2024-02-02 00:00:00+00:00,9.513347440715714,9.522035628249663,9.47859551913109,9.487283706665039,138000
2024-02-05 00:00:00+00:00,9.426466941833496,9.443842486305675,9.374338651314824,9.426466941833496,223000
2024-02-06 00:00:00+00:00,9.461216908335302,9.49596881866455,9.452528723615266,9.49596881866455,245700
2024-02-07 00:00:00+00:00,9.513346886063049,9.530723260117856,9.49597134055936,9.504658699035645,138300
2024-02-08 00:00:00+00:00,9.487282779087787,9.487282779087787,9.435154487531882,9.452530860900879,130600
2024-02-09 00:00:00+00:00,9.44384312973282,9.461219503939951,9.391715664213672,9.400403022766113,184500
2024-02-12 00:00:00+00:00,9.41777746541499,9.452529378150615,9.409089280093344,9.435153007507324,287700
2024-02-13 00:00:00+00:00,9.356964509817505,9.356964509817505,9.061572752540085,9.139764785766602,617600
2024-02-14 00:00:00+00:00,9.144137076638485,9.20539023807459,9.047883300810843,9.109135627746582,347400
2024-02-15 00:00:00+00:00,9.117885626763714,9.179137949857996,9.04788273337016,9.091634750366211,323100
2024-02-16 00:00:00+00:00,9.047883946742262,9.08288539813293,8.986631615433698,9.074134826660156,144000
2024-02-20 00:00:00+00:00,9.05663387165891,9.126636769442717,9.05663387165891,9.109135627746582,134600
2024-02-21 00:00:00+00:00,9.126637420996373,9.135387157968719,9.047883946742262,9.074134826660156,147100
2024-02-22 00:00:00+00:00,9.152887073460493,9.152887073460493,9.082884180066937,9.091634750366211,154700
2024-02-23 00:00:00+00:00,9.117887840052187,9.144138722821866,9.100386695205389,9.126638412475586,192300
2024-02-26 00:00:00+00:00,9.135386544825192,9.161638257481565,9.065383646742267,9.082884788513184,123200
2024-02-27 00:00:00+00:00,9.082884180066937,9.109135056464442,9.065383039468392,9.091634750366211,155300
2024-02-28 00:00:00+00:00,9.056636063697388,9.152889862821985,9.04788549073136,9.144139289855957,191600
2024-02-29 00:00:00+00:00,9.187891274935218,9.214142159203446,9.144139244821128,9.170390129089355,300700
2024-03-01 00:00:00+00:00,9.135386850898367,9.205390585827075,9.109135971862852,9.196640014648438,267100
2024-03-04 00:00:00+00:00,9.161639213562012,9.196640666256117,9.15288864176337,9.161639213562012,136800
2024-03-05 00:00:00+00:00,9.170387656291842,9.257891692924536,9.170387656291842,9.231640815734863,149800
