"('date', '')","('open', 'ARES')","('high', 'ARES')","('low', 'ARES')","('close', 'ARES')","('volume', 'ARES')"
2024-01-02 00:00:00+00:00,112.49391827717923,112.63715597408978,109.53832570188386,110.25931549072266,953400
2024-01-03 00:00:00+00:00,109.48579052775654,111.26201062802826,107.91011046645205,110.35479736328125,835400
2024-01-04 00:00:00+00:00,110.71771317123654,113.40113991914859,110.71771317123654,111.23339080810547,696900
2024-01-05 00:00:00+00:00,110.7749947236269,113.53386500806991,110.7749947236269,111.77770233154297,602200
2024-01-08 00:00:00+00:00,112.59897613421552,113.61122815775421,112.04509936121602,113.59212493896484,501300
2024-01-09 00:00:00+00:00,111.72040017695787,112.00689014711514,109.51445217827164,110.56490325927734,1041500
2024-01-10 00:00:00+00:00,110.80364436760395,113.82131157143372,110.67472315025394,113.3247299194336,933900
2024-01-11 00:00:00+00:00,113.79266899753358,113.79266899753358,110.4407682003392,112.9905014038086,739200
2024-01-12 00:00:00+00:00,113.8308615247507,114.107799904806,112.19788607193607,112.77085876464844,631700
2024-01-16 00:00:00+00:00,111.82544974751345,112.3411273395696,110.42166196120661,111.6631088256836,640700
2024-01-17 00:00:00+00:00,109.76273292656842,111.8827381110899,109.38074876332945,110.47895050048828,543900
2024-01-18 00:00:00+00:00,111.26202362840786,111.39093755625865,107.74778216072451,109.04652404785156,1210300
2024-01-19 00:00:00+00:00,109.70543717932286,111.27156578584014,108.54039597554186,111.18562316894531,826200
2024-01-22 00:00:00+00:00,112.0641804274933,113.41067302952683,111.93048705667692,113.3533706665039,680700
2024-01-23 00:00:00+00:00,113.5443621316666,113.85472016959199,111.7776935530887,112.23606872558594,726100
2024-01-24 00:00:00+00:00,113.59211162559997,113.59211162559997,111.60102751615064,112.17877960205078,762700
2024-01-25 00:00:00+00:00,113.15282830038826,115.42563012935439,112.17877557779,115.23463439941406,704300
2024-01-26 00:00:00+00:00,115.62616936867241,116.35193128011743,115.16778690578002,115.6930160522461,593200
2024-01-29 00:00:00+00:00,115.61663052788923,117.10636094674585,115.54978383693393,117.08726501464844,711200
2024-01-30 00:00:00+00:00,117.07771031362488,117.94672455883524,116.53911907093624,116.74347686767578,921900
2024-01-31 00:00:00+00:00,116.43789112816162,118.18546394400157,115.67392271997964,116.00816345214844,671000
2024-02-01 00:00:00+00:00,116.27555350454125,117.35465217236798,114.365639715702,117.09681701660156,574000
2024-02-02 00:00:00+00:00,116.5047387044255,121.59466059476267,116.5047387044255,120.45825958251953,911400
2024-02-05 00:00:00+00:00,119.74203900554792,120.31501165919808,118.27140458020892,118.89212799072266,604500
2024-02-06 00:00:00+00:00,119.78024333382011,121.39412281379997,118.51970052698023,121.26997375488281,830800
2024-02-07 00:00:00+00:00,121.75699085799036,124.28762052566077,121.27951246246883,123.04618835449219,1439700
2024-02-08 00:00:00+00:00,129.91234710614364,133.1974015994498,125.94928128597344,129.44442749023438,2186300
2024-02-09 00:00:00+00:00,130.08419004074366,131.62167075933036,128.9573336684439,130.5521240234375,1087200
2024-02-12 00:00:00+00:00,130.25610804076152,131.95593006190086,129.2247674693949,130.88638305664062,1057500
2024-02-13 00:00:00+00:00,128.67088053310184,131.8222262193043,128.15519571687983,128.83322143554688,1269200
2024-02-14 00:00:00+00:00,129.75950829184498,130.6858173654241,129.1865284996273,130.5521240234375,1007200
2024-02-15 00:00:00+00:00,131.45935247577216,131.45935247577216,128.53718709055576,129.09104919433594,1004900
2024-02-16 00:00:00+00:00,128.79504717653327,130.10334818783625,128.21252281802285,128.8905487060547,2040000
2024-02-20 00:00:00+00:00,127.54403163395246,128.01196572547195,125.79645888989162,126.63682556152344,956700
2024-02-21 00:00:00+00:00,125.77736343420598,126.07339770345986,124.24942676333461,125.69140625,1388400
2024-02-22 00:00:00+00:00,128.32710477750692,129.45394685400277,126.58429688792421,127.91646575927734,1077900
2024-02-23 00:00:00+00:00,128.4225838847673,128.4225838847673,124.79374520109084,125.95879364013672,1369300
2024-02-26 00:00:00+00:00,125.90151167383311,126.5795374706888,125.26169231224328,125.3858413696289,947700
2024-02-27 00:00:00+00:00,125.51953542370336,125.87286480863789,124.28286800494686,124.67916870117188,1153000
2024-02-28 00:00:00+00:00,124.4690747417758,125.98745266551774,123.47114656278244,125.33808898925781,1190000
2024-02-29 00:00:00+00:00,125.74871649062247,127.45809748660555,125.73917216744142,126.65593719482422,1108000
