"('date', '')","('open', 'CSW')","('high', 'CSW')","('low', 'CSW')","('close', 'CSW')","('volume', 'CSW')"
2015-09-30 00:00:00+00:00,28.98624038696289,28.98624038696289,28.98624038696289,28.98624038696289,200
2015-10-01 00:00:00+00:00,30.91865318889502,32.85106901320096,29.604609838640474,29.75920295715332,643700
2015-10-02 00:00:00+00:00,29.942783624266117,31.353448164833857,29.22778997495193,31.160205841064453,273200
2015-10-05 00:00:00+00:00,30.89932496378783,31.681954607711937,29.95727199136482,31.488712310791016,122200
2015-10-06 00:00:00+00:00,31.546683354912687,32.633667033800016,29.797846064662924,31.633642196655273,124200
2015-10-07 00:00:00+00:00,31.65297068341008,31.88486221215553,31.382433638032726,31.57567596435547,35800
2015-10-08 00:00:00+00:00,31.575670008065384,31.88485619754198,30.62878684206956,31.053916931152344,35600
2015-10-09 00:00:00+00:00,31.40174863243664,33.09261202033708,31.21817050577745,32.65781784057617,153500
2015-10-12 00:00:00+00:00,32.98633892775465,33.33417438058292,32.522559552580574,32.851070404052734,67400
2015-10-13 00:00:00+00:00,32.85106801538387,33.33417195678658,32.85106801538387,33.237552642822266,49600
2015-10-14 00:00:00+00:00,33.817280010484566,33.817280010484566,32.95735547994452,33.073299407958984,65900
2015-10-15 00:00:00+00:00,33.411470356590485,33.46944047065284,32.84140755830367,33.237552642822266,73700
2015-10-16 00:00:00+00:00,33.063638056540675,33.69167102829543,32.85107112276381,33.33417510986328,48000
2015-10-19 00:00:00+00:00,33.0926239909931,33.2568775817687,32.61724909488225,33.18924331665039,192200
2015-10-20 00:00:00+00:00,33.25687442479288,33.49842640179733,32.860729329937215,33.092620849609375,65700
2015-10-21 00:00:00+00:00,33.189237269574654,33.81727382929193,32.87039060436659,33.807613372802734,83600
2015-10-22 00:00:00+00:00,33.81727600097656,34.38927015525987,33.30615267811809,33.81727600097656,55300
2015-10-23 00:00:00+00:00,34.65787394347718,34.65787394347718,33.52741254785775,34.223079681396484,59800
2015-10-26 00:00:00+00:00,34.10714110881699,35.70138575723703,34.05883144675992,35.305240631103516,64100
2015-10-27 00:00:00+00:00,35.32455710641886,36.58062645988979,35.015370917434936,35.74968719482422,241500
2015-10-28 00:00:00+00:00,35.74968975642579,36.47434562986685,33.82693455048107,34.61922836303711,138000
2015-10-29 00:00:00+00:00,34.61923554836829,35.2665931604907,33.82694157136914,34.551597595214844,90700
2015-10-30 00:00:00+00:00,34.26173438430608,35.42118470755212,33.46751277420699,34.793148040771484,91700
2015-11-02 00:00:00+00:00,34.783480944159805,35.26658484616202,32.90903913127569,34.88010025024414,52600
2015-11-03 00:00:00+00:00,34.764170036579145,34.78349464256446,32.957361763556506,34.54194259643555,53500
2015-11-04 00:00:00+00:00,34.76415567023404,35.237599106743794,34.05882442931191,34.512943267822266,39400
