"('date', '')","('open', 'CFG')","('high', 'CFG')","('low', 'CFG')","('close', 'CFG')","('volume', 'CFG')"
2014-09-24 00:00:00+00:00,14.688920155559652,15.864033298884376,14.5864395778873,15.76838493347168,60450900
2014-09-25 00:00:00+00:00,15.413115177099767,15.993840092450485,15.337963460838637,15.747885704040527,8430000
2014-09-26 00:00:00+00:00,15.836704933537693,15.9665143535321,15.652239121405298,15.884529113769531,2504400
2014-09-29 00:00:00+00:00,15.809370563552568,16.021165149327718,15.652233653934143,15.870859146118164,4832600
2014-09-30 00:00:00+00:00,15.78887994822106,16.103153861211663,15.74788667887446,16.000673294067383,4103100
2014-10-01 00:00:00+00:00,15.86403527218386,16.130486371008857,15.78888353420214,16.014341354370117,3915500
2014-10-02 00:00:00+00:00,15.946013450622557,16.116814793235815,15.920734403645671,15.946013450622559,3121400
2014-10-03 00:00:00+00:00,15.973339682690582,16.034828265256177,15.72055444601933,15.870859146118164,1585900
2014-10-06 00:00:00+00:00,15.905029803873317,15.966518423591646,15.447281914365497,15.467777252197266,1208400
2014-10-07 00:00:00+00:00,15.413114550510235,15.536091739715822,15.208153437241577,15.385787010192871,1508400
2014-10-08 00:00:00+00:00,15.105676565378788,15.8162097273954,15.105676565378788,15.542927742004395,1649200
2014-10-09 00:00:00+00:00,15.713726648766325,15.713726648766325,15.194490307477237,15.35845947265625,1229100
2014-10-10 00:00:00+00:00,15.296967767266052,15.413112731910559,15.122750971854703,15.221816062927246,924000
2014-10-13 00:00:00+00:00,15.119334382187885,15.481433700220801,15.112503475172346,15.337961196899414,1382800
2014-10-14 00:00:00+00:00,15.372120944420457,15.570251128752856,15.235479348114605,15.337961196899414,1605800
2014-10-15 00:00:00+00:00,15.11933914313707,15.167164629081537,14.68892019452686,14.9280424118042,3405400
2014-10-16 00:00:00+00:00,14.69575378921644,14.996364642160657,14.668424937534523,14.893882751464844,3105800
2014-10-17 00:00:00+00:00,14.95536396708019,15.078341132596346,14.846051220645993,14.975860595703125,2750600
2014-10-20 00:00:00+00:00,14.907544466117308,15.290139198303223,14.907544466117308,15.290139198303223,1870600
2014-10-21 00:00:00+00:00,15.105677219440114,15.665905639526851,15.105677219440114,15.590752601623535,1165500
2014-10-22 00:00:00+00:00,15.563420225318593,15.71372495138582,15.305851224683357,15.44044303894043,884700
2014-10-23 00:00:00+00:00,15.693227243371187,15.768380252807846,15.433609770124962,15.734220504760742,1154200
2014-10-24 00:00:00+00:00,15.932355488813364,16.048500500995402,15.556592903989246,15.83670711517334,1357800
2014-10-27 00:00:00+00:00,15.816209172431106,15.843538021566932,15.525847317474843,15.611248016357422,2898800
2014-10-28 00:00:00+00:00,15.823044038826804,16.116822700758256,15.665907039271856,15.905029296875,1500600
2014-10-29 00:00:00+00:00,15.952846089011807,16.075823267492847,15.85036554131456,16.041662216186523,1302300
2014-10-30 00:00:00+00:00,16.028004477477715,16.185142772773478,15.916643182815896,16.014341354370117,1153600
2014-10-31 00:00:00+00:00,16.116821019319165,16.342278826540756,15.966516248875216,16.137317657470703,1238600
2014-11-03 00:00:00+00:00,16.04849389412948,16.396928787231445,15.823036175429479,16.396928787231445,1826900
2014-11-04 00:00:00+00:00,16.28716682657407,16.40379781350855,16.074487253421967,16.191118240356445,1474500
2014-11-05 00:00:00+00:00,16.32831642972029,16.43122703719954,16.156800495338512,16.396923065185547,1097600
2014-11-06 00:00:00+00:00,16.321466548027896,16.781128266432603,16.29402335426812,16.671358108520508,1010700
2014-11-07 00:00:00+00:00,16.794848670001112,16.794848670001112,16.438095027853194,16.444955825805664,600700
2014-11-10 00:00:00+00:00,16.49298214283671,16.63705498053708,16.29402291908271,16.431236267089844,1531300
2014-11-11 00:00:00+00:00,16.444950891129903,16.616466862784186,16.29401730715682,16.42436981201172,658300
2014-11-12 00:00:00+00:00,16.294020302310756,16.451814711183214,16.129365096283415,16.369487762451172,940800
2014-11-13 00:00:00+00:00,16.204834702094924,16.438095293430422,16.177391509841673,16.3420467376709,1149700
2014-11-14 00:00:00+00:00,16.28715957307779,16.465536374158766,16.28715957307779,16.438093185424805,1111500
2014-11-17 00:00:00+00:00,16.541007409014128,16.541007409014128,16.163671333761915,16.465539932250977,992400
2014-11-18 00:00:00+00:00,16.492980945204522,16.492980945204522,16.26657854486384,16.28030014038086,586000
2014-11-19 00:00:00+00:00,16.32833213619766,16.465545539115887,16.129374141386617,16.273447036743164,812800
2014-11-20 00:00:00+00:00,16.170528225973257,16.3763482105428,16.122503955475995,16.266576766967773,745800
2014-11-21 00:00:00+00:00,16.431240578452172,16.609616145676224,16.25629344841085,16.307748794555664,725200
2014-11-24 00:00:00+00:00,16.328323202638842,16.71251999718238,16.24599625278185,16.637052536010742,836800
2014-11-25 00:00:00+00:00,16.630194975923622,16.67135845886482,16.479261332763535,16.486122131347656,701600
2014-11-26 00:00:00+00:00,16.541006017355738,16.650776169650275,16.410653470794685,16.623332977294922,703700
2014-11-28 00:00:00+00:00,16.616476054162938,17.213352541448902,16.499845076581256,16.897762298583984,713400
2014-12-01 00:00:00+00:00,16.890902382626944,17.079569789349875,16.115649048622878,16.451820373535156,2282600
2014-12-02 00:00:00+00:00,16.47925903800748,16.760545197969392,16.328324107301732,16.602750778198242,1369300
2014-12-03 00:00:00+00:00,16.69193964961987,16.870316474239353,16.595891093503006,16.623332977294922,1854500
2014-12-04 00:00:00+00:00,16.685078456645837,16.849733681190752,16.52728403002738,16.73996353149414,1433700
2014-12-05 00:00:00+00:00,16.774264967496094,17.302533241778836,16.774264967496094,17.25450897216797,1008400
2014-12-08 00:00:00+00:00,17.206482784719636,17.247646252860406,16.93205748284274,17.179040908813477,2244900
2014-12-09 00:00:00+00:00,16.952640389467746,17.378000634636543,16.80856758116807,17.261369705200195,1141800
2014-12-10 00:00:00+00:00,17.254512002926095,17.43288882750067,16.890898864253273,16.911479949951172,631000
2014-12-11 00:00:00+00:00,17.048696872078505,17.343704708911766,16.815434922422607,16.938926696777344,1709100
2014-12-12 00:00:00+00:00,16.822296543555986,17.034976105018863,16.73996825377732,16.781131744384766,950800
2014-12-15 00:00:00+00:00,16.93206460002758,17.01782262469663,16.65077838379818,16.801712036132812,1175100
2014-12-16 00:00:00+00:00,16.829150933282513,17.065842549825454,16.61647014426486,16.637052536010742,1313900
