"('date', '')","('open', 'ACLS')","('high', 'ACLS')","('low', 'ACLS')","('close', 'ACLS')","('volume', 'ACLS')"
2024-01-02 00:00:00+00:00,127.37999725341797,127.37999725341797,123.33000183105469,124.72000122070312,639200
2024-01-03 00:00:00+00:00,122.1500015258789,123.0,120.20999908447266,120.91999816894531,550600
2024-01-04 00:00:00+00:00,118.56999969482422,119.2300033569336,114.22000122070312,116.12999725341797,828000
2024-01-05 00:00:00+00:00,116.44000244140625,118.06999969482422,115.20999908447266,117.83000183105469,644100
2024-01-08 00:00:00+00:00,118.30000305175781,122.0,117.66999816894531,120.97000122070312,589700
2024-01-09 00:00:00+00:00,118.83999633789062,121.23999786376953,117.62000274658203,120.1500015258789,334800
2024-01-10 00:00:00+00:00,118.30000305175781,118.9000015258789,112.95999908447266,116.08000183105469,1178500
2024-01-11 00:00:00+00:00,116.08000183105469,117.83000183105469,112.51000213623047,114.81999969482422,772400
2024-01-12 00:00:00+00:00,114.8499984741211,116.0199966430664,113.0999984741211,114.12000274658203,490800
2024-01-16 00:00:00+00:00,118.1500015258789,122.23999786376953,116.16999816894531,119.62999725341797,1077600
2024-01-17 00:00:00+00:00,118.12000274658203,120.80000305175781,116.2699966430664,120.33999633789062,753600
2024-01-18 00:00:00+00:00,124.97000122070312,127.58000183105469,122.55999755859375,125.66999816894531,888500
2024-01-19 00:00:00+00:00,127.54000091552734,131.85000610351562,125.41000366210938,131.63999938964844,815300
2024-01-22 00:00:00+00:00,133.5500030517578,138.5,133.5500030517578,137.8800048828125,952200
2024-01-23 00:00:00+00:00,138.97999572753906,140.63999938964844,136.6300048828125,139.3300018310547,709900
2024-01-24 00:00:00+00:00,142.60000610351562,145.77000427246094,139.61000061035156,140.11000061035156,937800
2024-01-25 00:00:00+00:00,143.5399932861328,144.19000244140625,135.8699951171875,136.30999755859375,915800
2024-01-26 00:00:00+00:00,134.2899932861328,135.24000549316406,130.77000427246094,131.2899932861328,812300
2024-01-29 00:00:00+00:00,132.2899932861328,134.5,129.7899932861328,134.4199981689453,648500
2024-01-30 00:00:00+00:00,134.2100067138672,135.39999389648438,132.89999389648438,133.41000366210938,486100
2024-01-31 00:00:00+00:00,130.52999877929688,135.1999969482422,128.10000610351562,130.0500030517578,787400
