"('date', '')","('open', 'ABG')","('high', 'ABG')","('low', 'ABG')","('close', 'ABG')","('volume', 'ABG')"
2024-01-02 00:00:00+00:00,222.97999572753906,225.6300048828125,220.63999938964844,222.83999633789062,165600
2024-01-03 00:00:00+00:00,220.0,220.00999450683594,208.0,208.6699981689453,180100
2024-01-04 00:00:00+00:00,209.85000610351562,209.85000610351562,205.94000244140625,207.0,119400
2024-01-05 00:00:00+00:00,205.3300018310547,209.97999572753906,204.3800048828125,205.5399932861328,106000
2024-01-08 00:00:00+00:00,205.7899932861328,209.10000610351562,204.27999877929688,208.75,107500
2024-01-09 00:00:00+00:00,205.0500030517578,209.05999755859375,204.2899932861328,209.0500030517578,93700
2024-01-10 00:00:00+00:00,208.33999633789062,210.64999389648438,207.16000366210938,210.44000244140625,101400
2024-01-11 00:00:00+00:00,209.41000366210938,209.57000732421875,205.0,209.5,87700
2024-01-12 00:00:00+00:00,211.85000610351562,212.24000549316406,200.10000610351562,202.22999572753906,148500
2024-01-16 00:00:00+00:00,200.27999877929688,205.33999633789062,198.22999572753906,202.58999633789062,160400
2024-01-17 00:00:00+00:00,199.3800048828125,203.74000549316406,199.3800048828125,202.5399932861328,89000
2024-01-18 00:00:00+00:00,204.69000244140625,205.11000061035156,201.36000061035156,203.39999389648438,90100
2024-01-19 00:00:00+00:00,204.25,206.7899932861328,201.11000061035156,204.4600067138672,102200
2024-01-22 00:00:00+00:00,206.30999755859375,209.3300018310547,204.75999450683594,207.57000732421875,127700
2024-01-23 00:00:00+00:00,211.13999938964844,211.13999938964844,206.1300048828125,207.75,161500
2024-01-24 00:00:00+00:00,210.0,210.0,203.1300048828125,205.07000732421875,176900
2024-01-25 00:00:00+00:00,208.99000549316406,211.8000030517578,205.3699951171875,211.58999633789062,233100
2024-01-26 00:00:00+00:00,214.1699981689453,215.35000610351562,211.3800048828125,213.9199981689453,140400
2024-01-29 00:00:00+00:00,213.9199981689453,220.07000732421875,212.92999267578125,219.67999267578125,119000
2024-01-30 00:00:00+00:00,218.11000061035156,221.85000610351562,217.86000061035156,218.36000061035156,110300
2024-01-31 00:00:00+00:00,214.9499969482422,219.10000610351562,208.64999389648438,209.05999755859375,225300
2024-02-01 00:00:00+00:00,210.77000427246094,214.82000732421875,209.75,213.6699981689453,192600
2024-02-02 00:00:00+00:00,209.9600067138672,215.80999755859375,207.3699951171875,213.27000427246094,157900
2024-02-05 00:00:00+00:00,209.27999877929688,213.57000732421875,207.61000061035156,210.8000030517578,123300
2024-02-06 00:00:00+00:00,210.8000030517578,211.6699981689453,209.07000732421875,209.8000030517578,97900
2024-02-07 00:00:00+00:00,211.07000732421875,211.8800048828125,207.1999969482422,210.74000549316406,252400
2024-02-08 00:00:00+00:00,200.0,215.0,195.08999633789062,206.7899932861328,373300
2024-02-09 00:00:00+00:00,205.7100067138672,217.32000732421875,203.55999755859375,215.9199981689453,290900
2024-02-12 00:00:00+00:00,217.0399932861328,225.9600067138672,217.0399932861328,222.39999389648438,216300
2024-02-13 00:00:00+00:00,215.11000061035156,221.42999267578125,212.02000427246094,218.35000610351562,357500
2024-02-14 00:00:00+00:00,218.88999938964844,222.1999969482422,213.5399932861328,221.00999450683594,251100
2024-02-15 00:00:00+00:00,221.33999633789062,223.5,220.36000061035156,221.33999633789062,151500
2024-02-16 00:00:00+00:00,218.58999633789062,220.6699981689453,216.25999450683594,216.88999938964844,168900
2024-02-20 00:00:00+00:00,212.1999969482422,214.10000610351562,207.58999633789062,208.17999267578125,159000
2024-02-21 00:00:00+00:00,207.5,211.0,205.99000549316406,208.7899932861328,150900
2024-02-22 00:00:00+00:00,209.85000610351562,211.99000549316406,208.1300048828125,211.91000366210938,113500
2024-02-23 00:00:00+00:00,211.91000366210938,216.5500030517578,210.8699951171875,214.6199951171875,92400
2024-02-26 00:00:00+00:00,212.88999938964844,215.86000061035156,210.3800048828125,211.1300048828125,139200
2024-02-27 00:00:00+00:00,213.52999877929688,215.86000061035156,211.47999572753906,212.0,194900
2024-02-28 00:00:00+00:00,209.60000610351562,211.8800048828125,207.97999572753906,208.2899932861328,159700
2024-02-29 00:00:00+00:00,212.08999633789062,212.08999633789062,208.0399932861328,208.8300018310547,302700
