"('date', '')","('open', 'ALE')","('high', 'ALE')","('low', 'ALE')","('close', 'ALE')","('volume', 'ALE')"
2024-01-02 00:00:00+00:00,56.094069391299165,57.70177448707896,56.094069391299165,57.55393981933594,273300
2024-01-03 00:00:00+00:00,57.49849672236306,58.84748841753779,57.02727485132343,58.052879333496094,412000
2024-01-04 00:00:00+00:00,58.330074320634154,58.46866734285999,57.69253443456288,57.83113098144531,356800
2024-01-05 00:00:00+00:00,57.74797185057013,58.38550819092409,57.51697996316785,57.58165740966797,296300
2024-01-08 00:00:00+00:00,57.618610814034426,57.84960267680739,57.184344984131286,57.73872756958008,228500
2024-01-09 00:00:00+00:00,57.285986282296925,57.766449816010436,57.00879673102354,57.480018615722656,286300
2024-01-10 00:00:00+00:00,56.90715789794922,57.2305451098587,56.500613470883536,56.90715789794922,314500
2024-01-11 00:00:00+00:00,56.61148981190215,56.77780424582521,55.60436508410427,56.24190139770508,355500
2024-01-12 00:00:00+00:00,56.75008249696174,56.8701992595826,56.14950573317009,56.297340393066406,186400
2024-01-16 00:00:00+00:00,56.17722559724341,56.17722559724341,55.049987597814834,55.22554016113281,245900
2024-01-17 00:00:00+00:00,54.86518967150567,55.52120573306658,54.283089175149264,54.874427795410156,245900
2024-01-18 00:00:00+00:00,54.698878903313215,54.698878903313215,53.959705578536635,54.255374908447266,236200
2024-01-19 00:00:00+00:00,54.33853212777566,54.412447697925096,53.756431592476915,54.255374908447266,203400
2024-01-22 00:00:00+00:00,54.78203414126887,55.17934044983947,54.449405275985924,54.82823181152344,233300
2024-01-23 00:00:00+00:00,55.12390145655339,55.14238122969571,54.47712349519776,54.77279281616211,271600
2024-01-24 00:00:00+00:00,55.16085643885785,55.34565063033487,53.28520015365169,53.534671783447266,308300
2024-01-25 00:00:00+00:00,54.19069217492553,54.976063094991545,54.13525285923086,54.920623779296875,360900
2024-01-26 00:00:00+00:00,55.197818604013435,55.31793183822131,54.49560134797621,54.523319244384766,248600
2024-01-29 00:00:00+00:00,54.48636369261936,55.465766970477034,54.29232784212222,55.14237976074219,252400
2024-01-30 00:00:00+00:00,55.00378492788059,55.31793402332614,54.357010488424756,55.06846237182617,269400
2024-01-31 00:00:00+00:00,55.43804934286016,55.70600076060148,54.5510413992919,54.615718841552734,509000
2024-02-01 00:00:00+00:00,54.440162059918606,55.89079424167654,54.13525462529111,55.8445930480957,327800
2024-02-02 00:00:00+00:00,55.26249323722116,55.456525551533645,54.061332758930064,54.58799743652344,246700
2024-02-05 00:00:00+00:00,54.0428566911731,54.13525202458359,53.377599011718225,53.534671783447266,259400
2024-02-06 00:00:00+00:00,53.38684284935099,53.95046360758673,53.35912495129232,53.784149169921875,177700
2024-02-07 00:00:00+00:00,53.86730149335032,53.94122058099764,53.590111963985066,53.774906158447266,215300
2024-02-08 00:00:00+00:00,53.59935322960433,53.64555442442027,53.09117180853578,53.35912322998047,600300
2024-02-09 00:00:00+00:00,53.16509469767801,54.079820616001776,53.16509469767801,53.858070373535156,236300
2024-02-12 00:00:00+00:00,53.867298785571585,54.911382935841765,53.70098437138144,54.634193420410156,257300
