"('date', '')","('open', 'AR')","('high', 'AR')","('low', 'AR')","('close', 'AR')","('volume', 'AR')"
2024-01-02 00:00:00+00:00,23.0,23.1200008392334,22.489999771118164,22.6200008392334,3299500
2024-01-03 00:00:00+00:00,22.239999771118164,23.059999465942383,22.170000076293945,22.770000457763672,5567900
2024-01-04 00:00:00+00:00,23.270000457763672,23.280000686645508,22.329999923706055,22.389999389648438,6270700
2024-01-05 00:00:00+00:00,22.3799991607666,23.25,22.219999313354492,23.25,9297700
2024-01-08 00:00:00+00:00,22.459999084472656,23.260000228881836,22.049999237060547,23.010000228881836,7462400
2024-01-09 00:00:00+00:00,23.309999465942383,23.760000228881836,22.81999969482422,23.440000534057617,6214200
2024-01-10 00:00:00+00:00,22.940000534057617,23.0,22.469999313354492,22.889999389648438,5539900
2024-01-11 00:00:00+00:00,22.989999771118164,23.530000686645508,22.65999984741211,22.75,5602600
2024-01-12 00:00:00+00:00,23.350000381469727,23.700000762939453,22.90999984741211,23.450000762939453,4952800
2024-01-16 00:00:00+00:00,22.850000381469727,23.309999465942383,22.0,22.020000457763672,5495300
2024-01-17 00:00:00+00:00,21.75,22.450000762939453,21.649999618530273,22.110000610351562,4608300
2024-01-18 00:00:00+00:00,22.239999771118164,22.34000015258789,21.649999618530273,21.899999618530273,4637300
2024-01-19 00:00:00+00:00,21.6299991607666,21.950000762939453,21.31999969482422,21.899999618530273,4939900
2024-01-22 00:00:00+00:00,21.559999465942383,21.90999984741211,21.420000076293945,21.639999389648438,4527600
2024-01-23 00:00:00+00:00,21.739999771118164,22.06999969482422,21.579999923706055,21.920000076293945,3245500
2024-01-24 00:00:00+00:00,22.229999542236328,22.709999084472656,22.149999618530273,22.540000915527344,2918600
2024-01-25 00:00:00+00:00,22.799999237060547,22.8799991607666,22.200000762939453,22.799999237060547,5081600
2024-01-26 00:00:00+00:00,22.790000915527344,22.8799991607666,22.280000686645508,22.68000030517578,5238400
2024-01-29 00:00:00+00:00,22.579999923706055,22.6299991607666,22.059999465942383,22.579999923706055,4025200
2024-01-30 00:00:00+00:00,22.309999465942383,23.149999618530273,22.229999542236328,22.93000030517578,3931300
2024-01-31 00:00:00+00:00,22.899999618530273,23.010000228881836,22.34000015258789,22.34000015258789,3926000
2024-02-01 00:00:00+00:00,22.479999542236328,22.610000610351562,21.84000015258789,22.15999984741211,3679300
2024-02-02 00:00:00+00:00,22.09000015258789,22.200000762939453,21.65999984741211,21.889999389648438,2749600
2024-02-05 00:00:00+00:00,21.709999084472656,21.709999084472656,21.110000610351562,21.1200008392334,3341900
2024-02-06 00:00:00+00:00,21.1299991607666,21.8799991607666,21.020000457763672,21.540000915527344,3288500
2024-02-07 00:00:00+00:00,21.65999984741211,21.739999771118164,21.229999542236328,21.360000610351562,3066400
2024-02-08 00:00:00+00:00,21.170000076293945,21.790000915527344,21.15999984741211,21.6299991607666,5237500
2024-02-09 00:00:00+00:00,21.5,21.700000762939453,20.959999084472656,21.139999389648438,5457700
2024-02-12 00:00:00+00:00,21.200000762939453,22.010000228881836,21.149999618530273,21.5,5174800
2024-02-13 00:00:00+00:00,21.15999984741211,21.280000686645508,20.770000457763672,21.0,6271000
2024-02-14 00:00:00+00:00,20.889999389648438,21.329999923706055,20.559999465942383,21.209999084472656,9348800
2024-02-15 00:00:00+00:00,22.68000030517578,23.780000686645508,22.010000228881836,23.520000457763672,14262800
2024-02-16 00:00:00+00:00,23.6200008392334,24.190000534057617,23.309999465942383,23.969999313354492,7117000
2024-02-20 00:00:00+00:00,23.829999923706055,24.010000228881836,23.25,23.40999984741211,5742300
2024-02-21 00:00:00+00:00,24.850000381469727,26.489999771118164,24.81999969482422,25.6299991607666,13922600
2024-02-22 00:00:00+00:00,24.799999237060547,26.030000686645508,24.43000030517578,25.690000534057617,6551000
