"('date', '')","('open', 'AXP')","('high', 'AXP')","('low', 'AXP')","('close', 'AXP')","('volume', 'AXP')"
2024-01-02 00:00:00+00:00,182.78135638842227,184.98661157508172,182.36971054822044,184.56515502929688,2236600
2024-01-03 00:00:00+00:00,182.96757258037985,183.76147704133047,181.89925250383197,182.61474609375,2720500
2024-01-04 00:00:00+00:00,182.89987532181905,185.41708428342875,182.6540553649308,184.010986328125,2777500
2024-01-05 00:00:00+00:00,183.69634281473432,186.34135292228518,183.4013558685796,185.8988800048828,2243300
2024-01-08 00:00:00+00:00,185.07293426750928,186.16437549938775,183.26370294731825,186.04638671875,3442100
2024-01-09 00:00:00+00:00,184.68947589060437,184.84680428440453,183.22438335520573,183.64720153808594,2055500
2024-01-10 00:00:00+00:00,181.93626794949975,182.98838458210696,180.59900676434705,181.8772735595703,2757800
2024-01-11 00:00:00+00:00,181.91660949778515,182.26076346538468,178.99626698485875,181.936279296875,3493300
2024-01-12 00:00:00+00:00,182.72290071984298,183.29320484699616,178.9077700089301,178.9962615966797,3366300
2024-01-16 00:00:00+00:00,177.98349268595828,178.12115127443246,175.8301222670394,177.9441680908203,4142900
2024-01-17 00:00:00+00:00,176.44959160021907,178.56365258565418,176.0071186044598,177.9736785888672,2377600
2024-01-18 00:00:00+00:00,177.08870386291633,177.17719544697712,174.83698464408337,176.78387451171875,3215200
2024-01-19 00:00:00+00:00,177.97364545444776,180.3138562013733,176.4102341587924,180.10736083984375,3388900
2024-01-22 00:00:00+00:00,181.17913558846263,183.6471775574841,180.98248262372206,181.91659545898438,3145100
2024-01-23 00:00:00+00:00,182.57539210595002,182.90971865179796,181.7199434528034,182.36891174316406,2327600
2024-01-24 00:00:00+00:00,183.96182837015104,185.26959240545835,182.62456713886132,182.71307373046875,3052500
2024-01-25 00:00:00+00:00,183.32269462627053,185.18109291212792,183.31285222558978,184.92544555664062,3472500
2024-01-26 00:00:00+00:00,189.32070002965662,201.346223671704,189.04538286567836,198.0620574951172,13555400
2024-01-29 00:00:00+00:00,198.53403373451764,199.50747116220035,195.7415226230016,197.5015869140625,4935500
2024-01-30 00:00:00+00:00,197.1476068701999,201.02173181975596,197.05911528594945,200.736572265625,4284600
2024-01-31 00:00:00+00:00,199.01583913391724,201.88702954956554,197.30494176721047,197.38360595703125,3495000
2024-02-01 00:00:00+00:00,197.00994738134682,200.06794825345133,196.5379772638699,199.82212829589844,3028300
2024-02-02 00:00:00+00:00,199.98929186546718,203.50943559533704,199.60581331687672,202.95880126953125,3393000
2024-02-05 00:00:00+00:00,202.05418538552686,203.26361542159668,200.01878885792783,202.4966583251953,3099300
