"('date', '')","('open', 'BKKT')","('high', 'BKKT')","('low', 'BKKT')","('close', 'BKKT')","('volume', 'BKKT')"
2024-01-02 00:00:00+00:00,58.25,59.5,51.625,53.0,293560
2024-01-03 00:00:00+00:00,46.75,50.974998474121094,46.5,47.5,215140
2024-01-04 00:00:00+00:00,48.0,48.92499923706055,46.375,47.5,155588
2024-01-05 00:00:00+00:00,46.5,46.75,42.75,46.0,169072
2024-01-08 00:00:00+00:00,47.0,51.75,45.0,50.0,183888
2024-01-09 00:00:00+00:00,49.5,51.5,46.0,46.25,159400
2024-01-10 00:00:00+00:00,45.25,48.5,43.75,46.0,142688
2024-01-11 00:00:00+00:00,49.25,49.5,40.75,41.25,308168
2024-01-12 00:00:00+00:00,41.5,42.25,39.25,40.25,151644
2024-01-16 00:00:00+00:00,38.75,39.5,36.5,36.5,131512
2024-01-17 00:00:00+00:00,35.5,36.5,34.5,35.25,133384
2024-01-18 00:00:00+00:00,34.25,37.0,33.25,34.0,111700
2024-01-19 00:00:00+00:00,34.25,35.625,32.5,34.75,124172
2024-01-22 00:00:00+00:00,34.25,37.75,33.875,36.0,75620
2024-01-23 00:00:00+00:00,35.25,36.5,33.75,34.25,72220
2024-01-24 00:00:00+00:00,34.75,35.5,31.5,31.75,97124
2024-01-25 00:00:00+00:00,32.25,32.5,31.25,31.5,70368
2024-01-26 00:00:00+00:00,32.5,36.25,32.25,35.0,161272
2024-01-29 00:00:00+00:00,35.75,39.0,34.75,38.5,108696
2024-01-30 00:00:00+00:00,39.25,39.75,37.25,38.0,78584
2024-01-31 00:00:00+00:00,37.0,37.75,34.0,34.25,123272
2024-02-01 00:00:00+00:00,34.5,36.25,34.5,35.5,48484
2024-02-02 00:00:00+00:00,35.25,36.125,34.0,34.25,59580
2024-02-05 00:00:00+00:00,34.0,34.25,32.0,32.25,50880
2024-02-06 00:00:00+00:00,32.5,36.25,32.5,35.75,54504
2024-02-07 00:00:00+00:00,35.5,36.75,34.75,36.25,55136
2024-02-08 00:00:00+00:00,26.0,26.25,19.524999618530273,21.649999618530273,1154804
2024-02-09 00:00:00+00:00,23.625,26.5,21.649999618530273,26.5,481536
2024-02-12 00:00:00+00:00,27.25,28.0,24.25,25.5,293068
2024-02-13 00:00:00+00:00,24.25,25.25,23.75,23.875,183760
2024-02-14 00:00:00+00:00,25.25,26.5,24.5,25.75,121292
2024-02-15 00:00:00+00:00,25.5,26.75,23.075000762939453,24.5,189900
2024-02-16 00:00:00+00:00,24.75,25.25,23.700000762939453,24.375,97500
2024-02-20 00:00:00+00:00,23.825000762939453,24.0,22.75,23.274999618530273,99428
2024-02-21 00:00:00+00:00,23.5,23.5,21.625,21.825000762939453,86408
2024-02-22 00:00:00+00:00,23.0,23.625,21.450000762939453,22.200000762939453,81108
2024-02-23 00:00:00+00:00,22.174999237060547,23.225000381469727,21.0,22.024999618530273,106552
2024-02-26 00:00:00+00:00,22.450000762939453,24.375,22.024999618530273,23.950000762939453,133648
2024-02-27 00:00:00+00:00,25.0,25.25,23.450000762939453,23.899999618530273,95864
2024-02-28 00:00:00+00:00,24.825000762939453,26.25,23.75,25.5,183960
2024-02-29 00:00:00+00:00,22.5,22.5,14.5,14.5,1552920
2024-03-01 00:00:00+00:00,16.700000762939453,16.700000762939453,14.024999618530273,14.5,653076
2024-03-04 00:00:00+00:00,15.75,15.75,14.25,15.550000190734863,667928
2024-03-05 00:00:00+00:00,15.75,16.0,14.625,15.199999809265137,250680
2024-03-06 00:00:00+00:00,15.5,16.5,15.0,16.274999618530273,382712
2024-03-07 00:00:00+00:00,16.575000762939453,16.625,14.5,14.925000190734863,389320
2024-03-08 00:00:00+00:00,15.199999809265137,15.425000190734863,14.574999809265137,14.899999618530273,221088
2024-03-11 00:00:00+00:00,15.25,15.475000381469727,14.699999809265137,15.074999809265137,205180
2024-03-12 00:00:00+00:00,15.25,15.25,14.5,14.550000190734863,107668
2024-03-13 00:00:00+00:00,14.625,15.274999618530273,14.625,14.949999809265137,109360
2024-03-14 00:00:00+00:00,14.5,14.75,12.574999809265137,13.375,271876
2024-03-15 00:00:00+00:00,13.0,14.925000190734863,13.0,14.574999809265137,397136
2024-03-18 00:00:00+00:00,14.800000190734863,14.800000190734863,12.899999618530273,12.899999618530273,184176
2024-03-19 00:00:00+00:00,13.0,13.274999618530273,12.350000381469727,13.0,166580
2024-03-20 00:00:00+00:00,12.75,13.75,12.274999618530273,13.574999809265137,183624
2024-03-21 00:00:00+00:00,13.625,15.75,13.574999809265137,13.824999809265137,409540
2024-03-22 00:00:00+00:00,14.074999809265137,14.074999809265137,12.875,13.449999809265137,328408
2024-03-25 00:00:00+00:00,13.975000381469727,14.949999809265137,12.800000190734863,14.050000190734863,653632
2024-03-26 00:00:00+00:00,13.375,13.449999809265137,11.25,11.274999618530273,614872
2024-03-27 00:00:00+00:00,11.75,12.25,10.274999618530273,11.925000190734863,406436
2024-03-28 00:00:00+00:00,11.949999809265137,12.274999618530273,11.350000381469727,11.5,380980
2024-04-01 00:00:00+00:00,11.274999618530273,12.175000190734863,11.0,11.625,248464
2024-04-02 00:00:00+00:00,11.225000381469727,11.375,10.5,10.5,218468
2024-04-03 00:00:00+00:00,10.25,11.725000381469727,10.199999809265137,11.625,189744
2024-04-04 00:00:00+00:00,11.75,12.25,11.25,11.5,144856
2024-04-05 00:00:00+00:00,11.550000190734863,11.550000190734863,10.800000190734863,11.175000190734863,104564
2024-04-08 00:00:00+00:00,11.699999809265137,12.375,11.050000190734863,12.274999618530273,166912
2024-04-09 00:00:00+00:00,12.199999809265137,13.5,12.074999809265137,13.0,146256
2024-04-10 00:00:00+00:00,12.5,13.850000381469727,12.5,13.75,119072
2024-04-11 00:00:00+00:00,14.0,14.050000190734863,12.524999618530273,13.574999809265137,151776
2024-04-12 00:00:00+00:00,13.699999809265137,13.699999809265137,11.475000381469727,12.300000190734863,172056
2024-04-15 00:00:00+00:00,12.050000190734863,12.100000381469727,10.649999618530273,11.0,126696
2024-04-16 00:00:00+00:00,10.175000190734863,10.850000381469727,10.024999618530273,10.324999809265137,141976
2024-04-17 00:00:00+00:00,10.524999618530273,10.774999618530273,9.875,10.0,108108
2024-04-18 00:00:00+00:00,10.100000381469727,10.75,9.875,10.5,102372
2024-04-19 00:00:00+00:00,10.375,10.524999618530273,9.800000190734863,9.949999809265137,101272
2024-04-22 00:00:00+00:00,10.75,10.75,9.75,10.25,139444
2024-04-23 00:00:00+00:00,10.074999809265137,10.100000381469727,9.425000190734863,10.024999618530273,168640
2024-04-24 00:00:00+00:00,9.274999618530273,9.449999809265137,8.274999618530273,9.0,236460
2024-04-25 00:00:00+00:00,9.074999809265137,9.25,8.274999618530273,9.225000381469727,113732
2024-04-26 00:00:00+00:00,9.425000190734863,10.175000190734863,8.899999618530273,10.0,98804
2024-04-29 00:00:00+00:00,9.300000190734863,10.789999961853027,9.039999961853027,9.960000038146973,242900
2024-04-30 00:00:00+00:00,9.600000381469727,9.779999732971191,6.510000228881836,6.710000038146973,1337900
2024-05-01 00:00:00+00:00,6.510000228881836,6.789999961853027,5.572999954223633,6.309999942779541,998400
2024-05-02 00:00:00+00:00,6.360000133514404,6.539999961853027,5.900000095367432,6.28000020980835,331600
2024-05-03 00:00:00+00:00,6.429999828338623,6.75,6.124000072479248,6.5,332900
2024-05-06 00:00:00+00:00,6.599999904632568,7.25,6.489999771118164,6.599999904632568,384900
2024-05-07 00:00:00+00:00,6.659999847412109,7.449999809265137,6.599999904632568,7.289999961853027,278700
2024-05-08 00:00:00+00:00,7.0,9.0,7.0,8.789999961853027,644600
2024-05-09 00:00:00+00:00,8.789999961853027,11.420000076293945,8.789999961853027,10.25,1380100
2024-05-10 00:00:00+00:00,10.229999542236328,10.350000381469727,8.850000381469727,9.84000015258789,604400
2024-05-13 00:00:00+00:00,10.300000190734863,10.899999618530273,9.850000381469727,9.979999542236328,254500
2024-05-14 00:00:00+00:00,9.75,12.920000076293945,9.75,11.149999618530273,860800
2024-05-15 00:00:00+00:00,12.25,12.5,10.569999694824219,12.180000305175781,478500
2024-05-16 00:00:00+00:00,11.220000267028809,11.489999771118164,9.753999710083008,10.489999771118164,393600
2024-05-17 00:00:00+00:00,10.399999618530273,11.675999641418457,10.239999771118164,11.460000038146973,295500
2024-05-20 00:00:00+00:00,11.470000267028809,17.06999969482422,11.420000076293945,16.649999618530273,972400
2024-05-21 00:00:00+00:00,15.569999694824219,20.0,15.312999725341797,16.18000030517578,1522000
2024-05-22 00:00:00+00:00,16.350000381469727,17.899999618530273,14.84000015258789,15.300000190734863,490200
2024-05-23 00:00:00+00:00,15.399999618530273,16.530000686645508,14.8100004196167,15.619999885559082,229600
2024-05-24 00:00:00+00:00,16.5,18.14900016784668,14.850000381469727,17.389999389648438,484600
2024-05-28 00:00:00+00:00,16.940000534057617,16.985000610351562,15.670000076293945,16.049999237060547,247900
2024-05-29 00:00:00+00:00,16.09000015258789,17.027000427246094,15.779999732971191,16.079999923706055,155000
2024-05-30 00:00:00+00:00,16.18000030517578,17.915000915527344,15.5,16.579999923706055,256900
2024-05-31 00:00:00+00:00,17.049999237060547,18.530000686645508,16.799999237060547,17.600000381469727,345900
