"('date', '')","('open', 'BLSH')","('high', 'BLSH')","('low', 'BLSH')","('close', 'BLSH')","('volume', 'BLSH')"
2025-08-13 00:00:00+00:00,95.69000244140625,118.0,68.0,68.0,58207600
2025-08-14 00:00:00+00:00,74.4000015258789,85.0,71.19999694824219,74.62999725341797,32385300
2025-08-15 00:00:00+00:00,75.3499984741211,75.48999786376953,68.2300033569336,69.54000091552734,9126300
2025-08-18 00:00:00+00:00,68.125,68.30000305175781,62.5,63.369998931884766,9024400
2025-08-19 00:00:00+00:00,61.560001373291016,62.4900016784668,57.91600036621094,59.5099983215332,6500600
2025-08-20 00:00:00+00:00,60.310001373291016,62.95000076293945,56.380001068115234,62.88999938964844,5403500
2025-08-21 00:00:00+00:00,61.09000015258789,70.38999938964844,61.05099868774414,69.80000305175781,8041700
2025-08-22 00:00:00+00:00,68.05000305175781,71.73999786376953,66.49700164794922,70.81999969482422,7342000
2025-08-25 00:00:00+00:00,68.57499694824219,68.61499786376953,65.0,65.18000030517578,3917900
2025-08-26 00:00:00+00:00,63.959999084472656,66.26000213623047,63.380001068115234,66.08000183105469,2012300
2025-08-27 00:00:00+00:00,65.80000305175781,66.25,62.2400016784668,63.97999954223633,2270700
2025-08-28 00:00:00+00:00,63.52000045776367,65.25,61.09000015258789,64.43000030517578,2630300
2025-08-29 00:00:00+00:00,63.400001525878906,63.70000076293945,58.810001373291016,59.029998779296875,3643000
2025-09-02 00:00:00+00:00,57.83000183105469,62.150001525878906,57.75,62.029998779296875,2860800
2025-09-03 00:00:00+00:00,60.47999954223633,61.25,53.0099983215332,54.2599983215332,6549700
2025-09-04 00:00:00+00:00,53.29999923706055,53.5,48.290000915527344,49.0099983215332,5592500
2025-09-05 00:00:00+00:00,50.189998626708984,52.5,47.880001068115234,52.349998474121094,4403900
2025-09-08 00:00:00+00:00,52.099998474121094,52.400001525878906,49.33000183105469,50.119998931884766,2885000
2025-09-09 00:00:00+00:00,50.2599983215332,54.5,50.2599983215332,53.810001373291016,3024100
2025-09-10 00:00:00+00:00,54.099998474121094,55.040000915527344,51.72999954223633,52.619998931884766,2160900
2025-09-11 00:00:00+00:00,51.970001220703125,57.25,51.599998474121094,53.9900016784668,4363200
2025-09-12 00:00:00+00:00,55.599998474121094,55.66999816894531,51.529998779296875,51.84000015258789,3425900
2025-09-15 00:00:00+00:00,51.91999816894531,52.900001525878906,50.68000030517578,51.08000183105469,2845200
2025-09-16 00:00:00+00:00,51.2599983215332,51.70000076293945,48.52000045776367,51.36000061035156,3907000
2025-09-17 00:00:00+00:00,51.65999984741211,54.900001525878906,51.560001373291016,54.349998474121094,6627800
2025-09-18 00:00:00+00:00,59.97999954223633,66.4800033569336,57.12200164794922,65.61000061035156,12512000
2025-09-19 00:00:00+00:00,63.20000076293945,69.9000015258789,62.79999923706055,69.18000030517578,7042100
2025-09-22 00:00:00+00:00,67.23999786376953,69.08999633789062,63.439998626708984,69.08999633789062,6283000
2025-09-23 00:00:00+00:00,69.5,74.9800033569336,68.16999816894531,69.48999786376953,6439100
2025-09-24 00:00:00+00:00,70.0,70.25,66.3499984741211,67.58999633789062,4036700
2025-09-25 00:00:00+00:00,64.4000015258789,65.55000305175781,61.02000045776367,61.83000183105469,4626900
2025-09-26 00:00:00+00:00,61.849998474121094,63.209999084472656,59.70000076293945,62.59000015258789,4127100
