"('date', '')","('open', 'AME')","('high', 'AME')","('low', 'AME')","('close', 'AME')","('volume', 'AME')"
2024-01-02 00:00:00+00:00,161.89817610606914,162.70886061167403,160.1087567526108,161.01829528808594,798500
2024-01-03 00:00:00+00:00,160.73156270828952,160.73156270828952,158.21055169338098,158.77407836914062,1033700
2024-01-04 00:00:00+00:00,159.3079564502455,159.97033723418724,158.5269448050927,158.65545654296875,697900
2024-01-05 00:00:00+00:00,158.16113710767624,159.11022922888637,157.46909862622485,158.91250610351562,554100
2024-01-08 00:00:00+00:00,159.02124715295722,160.21748179970703,158.11169367378835,160.03953552246094,638500
2024-01-09 00:00:00+00:00,159.5649594304643,161.34449737835703,158.2896327009022,161.1467742919922,822400
2024-01-10 00:00:00+00:00,161.34452278024952,161.97724580741493,160.26691896739555,161.81906127929688,638300
2024-01-11 00:00:00+00:00,163.12406523274564,163.6084997056626,160.99851526535096,162.06622314453125,631900
2024-01-12 00:00:00+00:00,163.04497156530522,163.12406383073275,160.9293024923674,161.58180236816406,801000
2024-01-16 00:00:00+00:00,161.3544316630314,161.89816650835652,159.6045510081965,161.7498779296875,1040700
2024-01-17 00:00:00+00:00,160.8007449705161,161.60154834806627,158.1709993024095,158.25009155273438,1011500
2024-01-18 00:00:00+00:00,158.47751819312208,160.6129643137851,158.180925939923,160.46466064453125,1013800
2024-01-19 00:00:00+00:00,160.74145117601097,161.06770109549703,159.63418969312963,160.1878204345703,1304400
2024-01-22 00:00:00+00:00,160.92929294981505,162.0859889781535,160.444858509787,161.3049774169922,1300400
2024-01-23 00:00:00+00:00,161.77953699760138,163.38111400184542,160.58328714020982,163.24270629882812,970300
2024-01-24 00:00:00+00:00,164.46860892482462,164.75530519912624,160.6524937017883,160.8897705078125,802600
2024-01-25 00:00:00+00:00,162.19474341203255,162.64952015245555,161.29508589236738,162.25405883789062,584700
2024-01-26 00:00:00+00:00,162.78794237853432,163.09441549637415,161.46318079837783,161.66090393066406,426900
2024-01-29 00:00:00+00:00,160.91939512935917,163.48982544878663,160.86007971137846,163.45028686523438,982200
2024-01-30 00:00:00+00:00,163.26246522506815,164.7454112026794,162.63962308717333,163.98416137695312,855600
2024-01-31 00:00:00+00:00,163.87540699678937,163.87540699678937,160.08894989216722,160.2075958251953,1043900
2024-02-01 00:00:00+00:00,161.6509924354325,164.01381908968082,160.51407322005318,163.98416137695312,1206800
2024-02-02 00:00:00+00:00,163.4700815115429,166.62380056515303,162.78792395982663,165.53631591796875,1301000
2024-02-05 00:00:00+00:00,164.20166924221076,165.67473441502145,162.90656543965116,165.09144592285156,1396300
2024-02-06 00:00:00+00:00,166.0504182545745,166.0504182545745,161.92781497924778,164.19178771972656,1559300
2024-02-07 00:00:00+00:00,164.77506567922518,166.72266923172822,164.23131581438565,164.83438110351562,1098400
2024-02-08 00:00:00+00:00,165.69452478908335,165.92190564463394,163.66782867269185,164.4093017578125,976400
2024-02-09 00:00:00+00:00,164.51802466329443,166.69300900453024,164.51802466329443,166.58425903320312,814700
2024-02-12 00:00:00+00:00,166.88085720484335,167.37517253122897,165.72416115133782,166.5051727294922,882200
2024-02-13 00:00:00+00:00,164.5476709978948,166.21845903944183,162.74835615767344,166.1294708251953,1969300
2024-02-14 00:00:00+00:00,166.8709621464027,171.8141154369986,166.58426589308306,171.43844604492188,2079300
2024-02-15 00:00:00+00:00,172.22935182525075,172.9510479744034,169.40186756856446,171.7646942138672,1526000
2024-02-16 00:00:00+00:00,171.6757175825145,173.01037508155235,171.34948272171707,171.91299438476562,1016400
2024-02-20 00:00:00+00:00,171.02322504921366,173.37615578601418,170.54867146615055,172.82252502441406,1311700
2024-02-21 00:00:00+00:00,172.76320278048652,173.66286027523896,171.27037595827238,172.81263732910156,847000
2024-02-22 00:00:00+00:00,174.39443432470102,176.63863004300012,174.27580347828544,176.18386840820312,835300
