"('date', '')","('open', 'CTBB')","('high', 'CTBB')","('low', 'CTBB')","('close', 'CTBB')","('volume', 'CTBB')"
2016-08-23 00:00:00+00:00,12.72155960017132,12.910691303503244,12.70165154942307,12.706628799438477,1586000
2016-08-24 00:00:00+00:00,12.726534774605812,12.751421020624122,12.70662672710438,12.741466522216797,949200
2016-08-25 00:00:00+00:00,12.741464637078103,12.771327178568603,12.726532891676314,12.73648738861084,877000
2016-08-26 00:00:00+00:00,12.741465406607498,12.811144990731368,12.741465406607498,12.776305198669434,820700
2016-08-29 00:00:00+00:00,12.791239545922497,12.855941894434968,12.791239545922497,12.831056594848633,898900
2016-08-30 00:00:00+00:00,12.84100892819519,12.930597517117311,12.836032628200172,12.88580322265625,830200
2016-08-31 00:00:00+00:00,12.920641808769197,12.980367845563006,12.880824767344375,12.940550804138184,1441200
2016-09-01 00:00:00+00:00,12.94055373629924,12.985348036716115,12.900736685852392,12.92562198638916,473400
2016-09-02 00:00:00+00:00,12.950503414883352,12.965434209921467,12.920639926181101,12.935571670532227,484200
2016-09-06 00:00:00+00:00,12.950506164494206,12.96543696270238,12.930597167799023,12.960460662841797,346100
2016-09-07 00:00:00+00:00,12.960458960217856,12.9654352594247,12.870870385485269,12.915664672851562,507200
2016-09-08 00:00:00+00:00,12.925622233188397,12.925622233188397,12.860919880969368,12.87585163116455,271700
2016-09-09 00:00:00+00:00,12.841010385801802,12.855942135421499,12.741468236277196,12.781285285949707,439400
2016-09-12 00:00:00+00:00,12.7812824474373,12.811144990731368,12.641922329876424,12.776305198669434,507600
2016-09-13 00:00:00+00:00,12.811147165263701,12.811147165263701,12.656856224523397,12.721558570861816,520100
2016-09-14 00:00:00+00:00,12.736488387485728,12.751420134058558,12.676762350507563,12.726533889770508,308400
2016-09-15 00:00:00+00:00,12.741466289302146,12.801191380027877,12.721557292851436,12.791237831115723,306900
2016-09-16 00:00:00+00:00,12.791239785696172,12.841010385801802,12.759385576370155,12.781285285949707,237100
2016-09-19 00:00:00+00:00,12.811146381658896,12.890780471964506,12.801191883042385,12.88580322265625,223000
2016-09-20 00:00:00+00:00,12.910690401258202,12.940552949950362,12.880826903252736,12.89078140258789,292500
2016-09-21 00:00:00+00:00,12.890778430251906,12.930595469098268,12.850961391405542,12.915664672851562,380800
2016-09-22 00:00:00+00:00,12.915665599544996,12.955482641248214,12.915665599544996,12.920641899108887,535900
2016-09-23 00:00:00+00:00,12.93557219630562,13.035115264066416,12.920640451347584,13.03013801574707,280500
2016-09-26 00:00:00+00:00,13.020187642310901,13.020187642310901,12.95548529229573,12.965438842773438,201000
