"('date', '')","('open', 'BCX')","('high', 'BCX')","('low', 'BCX')","('close', 'BCX')","('volume', 'BCX')"
2024-01-02 00:00:00+00:00,7.758790381140537,7.863285776624095,7.750082223903012,7.811038494110107,371700
2024-01-03 00:00:00+00:00,7.828453220176137,7.837161376570537,7.7413741475986555,7.819745063781738,278100
2024-01-04 00:00:00+00:00,7.802328968028412,7.837160760412027,7.741373538970947,7.741373538970947,282400
2024-01-05 00:00:00+00:00,7.741374417308579,7.828453492919902,7.732666260610788,7.784913539886475,186500
2024-01-08 00:00:00+00:00,7.7500813830444395,7.758789539337158,7.689125949906392,7.758789539337158,329500
2024-01-09 00:00:00+00:00,7.758790889146618,7.758790889146618,7.671711802436616,7.697835445404053,250800
2024-01-10 00:00:00+00:00,7.69783317276102,7.715248652779167,7.663001382269334,7.6717095375061035,254900
2024-01-11 00:00:00+00:00,7.708501925211621,7.743540536151322,7.708501925211621,7.726020812988281,234900
2024-01-12 00:00:00+00:00,7.787339511669603,7.883695489130977,7.726021312024698,7.874935626983643,393400
2024-01-16 00:00:00+00:00,7.866175723889331,7.866175723889331,7.550828206704733,7.568347930908203,507600
2024-01-17 00:00:00+00:00,7.507028489659527,7.507028489659527,7.428191414559158,7.445711135864258,399500
2024-01-18 00:00:00+00:00,7.436952144980356,7.436952144980356,7.375634784013881,7.384394645690918,454600
2024-01-19 00:00:00+00:00,7.384393917588702,7.410672664642334,7.314316701854813,7.410672664642334,1668700
2024-01-22 00:00:00+00:00,7.410673679226543,7.445712291890571,7.31431770324707,7.31431770324707,726100
2024-01-23 00:00:00+00:00,7.296797224598307,7.428191799653182,7.288037363491625,7.393153190612793,333000
2024-01-24 00:00:00+00:00,7.4369504382897835,7.524547364184928,7.4369504382897835,7.454470157623291,254700
2024-01-25 00:00:00+00:00,7.507030010223389,7.507030010223389,7.4369527815812875,7.507030010223389,296900
2024-01-26 00:00:00+00:00,7.5157878322402,7.568346157146305,7.498268947528988,7.5333075523376465,283000
2024-01-29 00:00:00+00:00,7.5333064684745725,7.577104091644287,7.498267868707132,7.577104091644287,215800
2024-01-30 00:00:00+00:00,7.542067302432817,7.568346885106684,7.498269668749,7.515788555145264,640200
2024-01-31 00:00:00+00:00,7.524548923167105,7.5420678107440855,7.436951979123088,7.463231563568115,321200
2024-02-01 00:00:00+00:00,7.480748751591242,7.577104699839422,7.480748751591242,7.5420660972595215,281000
2024-02-02 00:00:00+00:00,7.471990134994888,7.50702874340313,7.410672779127043,7.419432640075684,347700
2024-02-05 00:00:00+00:00,7.445710812829903,7.445710812829903,7.331835135446154,7.366873741149902,293000
2024-02-06 00:00:00+00:00,7.384394141566668,7.471990246197776,7.375634280487658,7.436951637268066,244900
2024-02-07 00:00:00+00:00,7.4632311094325665,7.4632311094325665,7.419432640075684,7.419432640075684,167300
2024-02-08 00:00:00+00:00,7.4369504382897835,7.463230017290045,7.4106716946757185,7.454470157623291,184000
2024-02-09 00:00:00+00:00,7.43695273381647,7.47199134791248,7.393154257349843,7.401914119720459,192300
2024-02-12 00:00:00+00:00,7.454471785550487,7.5245490074157715,7.454471785550487,7.5245490074157715,140300
2024-02-13 00:00:00+00:00,7.4719910904665925,7.4719910904665925,7.358115389731508,7.428192615509033,378400
2024-02-14 00:00:00+00:00,7.447583153752133,7.562161459568713,7.333004847935552,7.350632667541504,503100
2024-02-15 00:00:00+00:00,7.3418173423405975,7.465209534171895,7.3418173423405975,7.456395626068115,444800
2024-02-16 00:00:00+00:00,7.447582032501013,7.491650734340543,7.403513330661483,7.421141147613525,229000
2024-02-20 00:00:00+00:00,7.421141035463102,7.438768011608185,7.368258425946728,7.377072334289551,265500
2024-02-21 00:00:00+00:00,7.359446049349005,7.465210437774658,7.359446049349005,7.465210437774658,299000
2024-02-22 00:00:00+00:00,7.4828362464904785,7.509277969871237,7.4652092714438165,7.4828362464904785,219200
2024-02-23 00:00:00+00:00,7.421141726713839,7.456396522828416,7.4035139083862305,7.4035139083862305,247900
2024-02-26 00:00:00+00:00,7.394700680014672,7.4211415663942395,7.359445884661708,7.368258953094482,317900
2024-02-27 00:00:00+00:00,7.368259916667789,7.377073826793811,7.288937247155782,7.324192047119141,843400
