"('date', '')","('open', 'BWXT')","('high', 'BWXT')","('low', 'BWXT')","('close', 'BWXT')","('volume', 'BWXT')"
2010-08-02 00:00:00+00:00,14.136363352126127,14.824743711248727,13.829052067292016,14.228558540344238,3474449
2010-08-03 00:00:00+00:00,14.185533190691874,14.560454830849775,13.527885919100683,13.749150276184082,4033370
2010-08-04 00:00:00+00:00,13.841342175095571,14.738694373438548,13.214425615480486,14.449820518493652,6798754
2010-08-05 00:00:00+00:00,14.431383796068625,15.46395356956804,14.074902818040472,15.168933868408203,2564491
2010-08-06 00:00:00+00:00,15.107464903439157,15.107464903439157,14.474401877470148,14.818591117858887,1581557
2010-08-09 00:00:00+00:00,14.468261008465907,14.781719729501507,14.173241324940614,14.60347843170166,2258609
2010-08-10 00:00:00+00:00,14.160946106047984,14.5358676867115,13.675393593558155,14.419089317321777,2231208
2010-08-11 00:00:00+00:00,14.087192791823979,14.726401797408508,13.779879887434607,14.105631828308105,2492634
2010-08-12 00:00:00+00:00,13.853636686006588,14.04416958126562,13.337351834528103,13.761443138122559,2594408
2010-08-13 00:00:00+00:00,13.76144541335507,13.786030254263526,13.429547602770707,13.540180206298828,1715346
2010-08-16 00:00:00+00:00,13.534029902822946,13.650808275074821,13.447982983062559,13.60778522491455,567169
2010-08-17 00:00:00+00:00,13.675396304676909,14.11177923644935,13.521739834963242,13.896659851074219,197398
2010-08-18 00:00:00+00:00,13.798319411896296,14.283873621337554,13.650809573126265,14.160947799682617,1415894
2010-08-19 00:00:00+00:00,13.945828951231299,14.63420759730282,13.90895087991758,14.449820518493652,1236950
2010-08-20 00:00:00+00:00,14.49898961684963,14.597330590188069,14.167093543611395,14.419089317321777,555286
2010-08-23 00:00:00+00:00,14.412943829137452,14.462111858546429,14.290018019536115,14.431381225585938,827756
2010-08-24 00:00:00+00:00,14.111778514894594,15.150494033726462,14.025730765144282,14.228558540344238,2776708
2010-08-25 00:00:00+00:00,14.074897640169755,14.185528553385835,13.976556683374145,14.142504692077637,1693957
2010-08-26 00:00:00+00:00,14.148663081757874,14.271587324314655,13.810619366125925,13.902812957763672,924078
2010-08-27 00:00:00+00:00,13.8474951417957,14.52972834208073,13.58320762351194,14.38836669921875,914711
2010-08-30 00:00:00+00:00,14.234701664336997,14.425234526788252,14.093336828227157,14.290017127990723,484826
2010-08-31 00:00:00+00:00,14.240848595167067,14.46825954405702,13.650808468397617,13.767587661743164,3653673
2010-09-01 00:00:00+00:00,13.970412761672202,14.074899530148224,13.890510825976493,14.025728225708008,904226
2010-09-02 00:00:00+00:00,13.976561614275585,14.13636388170706,13.79832030850972,13.951976776123047,332165
2010-09-03 00:00:00+00:00,13.810612356534381,14.130216863847034,13.730710410266314,13.816758155822754,412270
2010-09-07 00:00:00+00:00,13.70612621307373,13.779880724611306,13.583202027177775,13.70612621307373,505097
2010-09-08 00:00:00+00:00,13.699979271289855,13.761442178553427,13.30661945089857,13.5463228225708,576815
2010-09-09 00:00:00+00:00,13.534033993451686,13.706128704427508,13.534033993451686,13.669251441955566,239058
2010-09-10 00:00:00+00:00,13.632370630421914,13.638516429513857,13.404958855782594,13.521738052368164,550113
2010-09-13 00:00:00+00:00,13.607787200781926,13.66310349552266,13.42340009793945,13.534031867980957,817830
2010-09-14 00:00:00+00:00,13.534028040311762,13.564758669134353,13.484857559204102,13.484857559204102,487343
2010-09-15 00:00:00+00:00,13.429545511537775,13.644664065148863,13.429545511537775,13.564762115478516,491117
2010-09-16 00:00:00+00:00,13.521738052368164,13.669247883293204,13.073061941061223,13.521738052368164,676632
