"('date', '')","('open', 'BBAR')","('high', 'BBAR')","('low', 'BBAR')","('close', 'BBAR')","('volume', 'BBAR')"
2024-01-02 00:00:00+00:00,4.542822865172639,4.643962086624621,4.391114635829581,4.424827575683594,617100
2024-01-03 00:00:00+00:00,4.424827590094503,4.534394845921858,4.332116804249052,4.348973274230957,606800
2024-01-04 00:00:00+00:00,4.348972532923111,4.391113901639603,4.1719794273376465,4.1719794273376465,914600
2024-01-05 00:00:00+00:00,4.163552146653725,4.23940646328653,4.1045543001737705,4.155123710632324,568700
2024-01-08 00:00:00+00:00,4.163551393276562,4.256262163286594,4.096125524865586,4.247833728790283,685400
2024-01-09 00:00:00+00:00,4.163551942416825,4.247834289046734,3.9528458748970863,3.9612739086151123,899500
2024-01-10 00:00:00+00:00,4.003414963643881,4.104553771534993,3.910704188798746,4.070840835571289,708800
2024-01-11 00:00:00+00:00,4.104553985322002,4.138266923041655,4.011843607537915,4.045556545257568,570500
2024-01-12 00:00:00+00:00,4.087697505950928,4.155123381216853,4.037128099501484,4.087697505950928,416400
2024-01-16 00:00:00+00:00,4.020271650503666,4.028700085898415,3.9191328371061966,3.9697022438049316,621200
2024-01-17 00:00:00+00:00,3.9191328091577406,4.180408276182934,3.9022763403783705,4.1635518074035645,882300
2024-01-18 00:00:00+00:00,4.138266696893399,4.247833939439594,4.062412792114408,4.2225494384765625,567800
2024-01-19 00:00:00+00:00,4.2394062743050975,4.424827437720879,4.188836464210861,4.416399002075195,667400
2024-01-22 00:00:00+00:00,4.416399146425535,4.736672477410883,4.416399146425535,4.7029595375061035,1362100
2024-01-23 00:00:00+00:00,4.652389865904204,4.761957115375425,4.576535554441062,4.677674770355225,713900
2024-01-24 00:00:00+00:00,4.745100561564275,4.8799523111864485,4.719815657565159,4.753528594970703,1042900
2024-01-25 00:00:00+00:00,4.795669667801085,5.183368825612061,4.778813200152342,5.11594295501709,1362600
2024-01-26 00:00:00+00:00,5.191797700868624,5.368790840842777,5.065374373935619,5.343506336212158,1071100
2024-01-29 00:00:00+00:00,5.2592230018283725,5.326649277809943,4.997947538778237,5.141227722167969,1468800
2024-01-30 00:00:00+00:00,5.090658740635263,5.284508345740809,5.031660894945769,5.05694580078125,1411100
2024-01-31 00:00:00+00:00,5.056945662786625,5.318221140470476,5.023232723852575,5.082230567932129,1292900
2024-02-01 00:00:00+00:00,5.082230292919731,5.208653606136363,5.006375983477823,5.099086761474609,943800
2024-02-02 00:00:00+00:00,5.0148040073011515,5.183369094420211,4.989519505461735,5.141227722167969,916300
2024-02-05 00:00:00+00:00,5.115943051322663,5.250794795051136,4.778813290111583,4.812526226043701,874500
2024-02-06 00:00:00+00:00,4.804097992469538,4.981091114476407,4.804097992469538,4.82938289642334,790700
2024-02-07 00:00:00+00:00,4.559679398149648,4.652390184975135,4.3742582263886245,4.466969013214111,1230400
2024-02-08 00:00:00+00:00,4.433255910373326,4.48382531899976,4.2478343435198,4.25626277923584,832000
2024-02-09 00:00:00+00:00,4.222549467924449,4.576535297104851,4.222549467924449,4.542822360992432,1184200
2024-02-12 00:00:00+00:00,4.51753813385561,4.610248512842982,4.4753967602141325,4.525966167449951,541000
2024-02-13 00:00:00+00:00,4.500681463852225,4.559678902048551,4.416398720331921,4.5091094970703125,406900
2024-02-14 00:00:00+00:00,4.509109750359542,4.719815817216436,4.509109750359542,4.6439619064331055,657000
2024-02-15 00:00:00+00:00,4.669246448857881,4.804098204181162,4.627105074374389,4.770385265350342,688200
2024-02-16 00:00:00+00:00,4.73667184886954,4.90523692791533,4.73667184886954,4.84623908996582,810000
2024-02-20 00:00:00+00:00,4.795669950749643,5.065373850932176,4.795669950749643,4.905237197875977,618600
2024-02-21 00:00:00+00:00,4.837811269508263,4.913665584805969,4.761957356100499,4.8209547996521,491100
2024-02-22 00:00:00+00:00,4.888380570706446,5.259222868832681,4.8799521357131725,5.090658187866211,936000
2024-02-23 00:00:00+00:00,5.124371245939037,5.309792801302175,5.031660468257468,5.2170820236206055,885700
2024-02-26 00:00:00+00:00,5.284507880438234,5.486785903641612,5.217082006667078,5.335077285766602,722800
2024-02-27 00:00:00+00:00,5.3350775199096265,5.503642613625321,5.14122792336503,5.158084392547607,897400
2024-02-28 00:00:00+00:00,5.107515121495339,5.250795314321287,5.090658651862283,5.166512966156006,434500
2024-02-29 00:00:00+00:00,5.2676520185403914,5.503643005802581,5.208654171252355,5.343506336212158,945200
2024-03-01 00:00:00+00:00,5.410931456958506,5.4446443929858575,5.21708187385629,5.3603620529174805,540500
2024-03-04 00:00:00+00:00,5.655350355809883,5.82391503331499,5.486785678304776,5.512070178985596,1028200
2024-03-05 00:00:00+00:00,5.486785755438134,5.874484519150158,5.351933609648402,5.40250301361084,1020500
2024-03-06 00:00:00+00:00,5.621637561250627,6.220042784231392,5.545783253526617,6.110475540161133,3690100
2024-03-07 00:00:00+00:00,6.177901652677652,6.489746526931112,6.118904212726407,6.363323211669922,2399000
2024-03-08 00:00:00+00:00,6.3830028076120335,6.4514531742358034,6.117757432946743,6.305995941162109,1200600
2024-03-11 00:00:00+00:00,6.305995933842041,6.408671483658509,5.84395555167157,5.989412784576416,1378500
2024-03-12 00:00:00+00:00,6.040750620585694,6.400115456574604,5.97230025334902,6.254658222198486,1582600
