"('date', '')","('open', 'CIMN')","('high', 'CIMN')","('low', 'CIMN')","('close', 'CIMN')","('volume', 'CIMN')"
2024-05-28 00:00:00+00:00,22.307093313176985,22.307093313176985,22.01145720055737,22.047292709350586,374100
2024-05-29 00:00:00+00:00,21.9845829619498,22.038334518081502,21.903954773386666,21.975624084472656,89000
2024-05-30 00:00:00+00:00,22.011457564873837,22.127921261648304,21.930829377485708,21.993539810180664,109500
2024-05-31 00:00:00+00:00,22.08312781292463,22.351889018544743,22.074168935197505,22.260509490966797,82500
2024-06-03 00:00:00+00:00,22.369803782486585,22.369803782486585,22.235424041748047,22.235424041748047,50500
2024-06-04 00:00:00+00:00,22.262301711242433,22.351888778821653,22.262301711242433,22.33397102355957,64300
2024-06-05 00:00:00+00:00,22.38772258061463,22.38772258061463,22.307094390666446,22.33397102355957,62300
2024-06-06 00:00:00+00:00,22.351887450910336,23.005870100542932,22.316051942515134,22.66543960571289,158200
2024-06-07 00:00:00+00:00,22.5758551862888,22.5758551862888,22.50418587526409,22.571374893188477,7900
2024-06-10 00:00:00+00:00,22.553456705054934,22.620647430419922,22.531060366176984,22.620647430419922,14800
2024-06-11 00:00:00+00:00,22.629608277394606,22.66544208097207,22.49522852369937,22.611690521240234,17600
2024-06-12 00:00:00+00:00,22.692316496607248,22.692316496607248,22.59377055612418,22.656482696533203,4300
2024-06-13 00:00:00+00:00,22.755025003163194,22.755025003163194,22.5758526004891,22.643041610717773,8100
2024-06-14 00:00:00+00:00,22.665440612632633,22.75502767886948,22.575855255126953,22.575855255126953,6700
2024-06-17 00:00:00+00:00,22.737108935078602,22.737108935078602,22.459390579679916,22.46834945678711,18400
2024-06-18 00:00:00+00:00,22.495225966902673,22.539123268379644,22.459390458666977,22.48626708984375,10800
2024-06-20 00:00:00+00:00,22.56689687431849,22.66544111148989,22.459392050721902,22.517623901367188,6800
2024-06-21 00:00:00+00:00,22.495225966902673,22.6027290741476,22.4683493357259,22.48626708984375,7000
2024-06-24 00:00:00+00:00,22.531059887806386,22.531059887806386,22.459390579679916,22.46834945678711,15500
2024-06-25 00:00:00+00:00,22.477308394521508,22.575854334235366,22.446848554021102,22.45939064025879,21500
2024-06-26 00:00:00+00:00,22.55793651912797,22.57585427334236,22.46834945678711,22.46834945678711,6700
