"('date', '')","('open', 'AAT')","('high', 'AAT')","('low', 'AAT')","('close', 'AAT')","('volume', 'AAT')"
2024-01-02 00:00:00+00:00,20.27758272332899,20.836093585249735,20.214525211646485,20.66493797302246,270800
2024-01-03 00:00:00+00:00,20.592873394702735,20.592873394702735,19.99832864687249,20.052377700805664,271900
2024-01-04 00:00:00+00:00,20.088410080226108,20.412707844230297,19.98932043314919,20.232542037963867,216600
2024-01-05 00:00:00+00:00,19.971304970621755,20.700973274848494,19.91725591206126,20.520809173583984,340500
2024-01-08 00:00:00+00:00,20.484773646965497,20.99824395676486,20.457748260801363,20.926177978515625,198800
2024-01-09 00:00:00+00:00,20.59287220700636,20.89014456377626,20.511797771688354,20.854110717773438,250800
2024-01-10 00:00:00+00:00,20.971220139518234,21.48469044566277,20.944194753546462,21.394607543945312,341800
2024-01-11 00:00:00+00:00,21.214444139271325,21.27750338033569,20.81808207599854,21.12436294555664,310700
2024-01-12 00:00:00+00:00,21.484692987800884,21.484692987800884,20.953205694787876,21.106346130371094,153800
2024-01-16 00:00:00+00:00,20.83609380268121,20.85411072568946,20.484772394962057,20.628904342651367,227200
2024-01-17 00:00:00+00:00,20.20552021926687,20.49378416112861,19.836181828982937,20.241552352905273,287700
2024-01-18 00:00:00+00:00,20.313617991049245,20.322626453851974,19.818164564219202,20.079404830932617,234300
2024-01-19 00:00:00+00:00,20.169482406112365,20.7460118947929,19.84518639430462,20.71898651123047,454200
2024-01-22 00:00:00+00:00,20.87213056737756,21.295518008146264,20.87213056737756,21.187419891357422,483600
2024-01-23 00:00:00+00:00,21.439648790585878,21.48469110191465,20.81808035794528,21.097335815429688,427600
2024-01-24 00:00:00+00:00,21.4486580042041,21.457666466785422,20.845104756763877,21.007253646850586,341800
2024-01-25 00:00:00+00:00,21.41262446792649,21.457665059691,21.2144417405104,21.394607543945312,512500
2024-01-26 00:00:00+00:00,21.547749171889805,21.547749171889805,21.160393875476306,21.259485244750977,252400
2024-01-29 00:00:00+00:00,21.232460096715087,21.520724027104876,21.10634505671669,21.43964958190918,234900
2024-01-30 00:00:00+00:00,21.304520856452356,21.421629123331652,20.881133527260452,20.935182571411133,329600
2024-01-31 00:00:00+00:00,20.94419544838424,20.94419544838424,20.097418893249255,20.20551872253418,543000
2024-02-01 00:00:00+00:00,20.205516761363242,20.23254042742015,19.45783164579492,20.21452522277832,326700
2024-02-02 00:00:00+00:00,19.818164618735317,20.25956898815179,19.73709017147631,20.070396423339844,342300
2024-02-05 00:00:00+00:00,19.72808066912481,19.76411451853614,19.448825208941045,19.520891189575195,186200
2024-02-06 00:00:00+00:00,19.39477720141961,19.809156182918574,19.39477720141961,19.628992080688477,219900
2024-02-07 00:00:00+00:00,19.511881334379012,19.67403020877808,19.079485481440422,19.466840744018555,527600
2024-02-08 00:00:00+00:00,19.358742194090908,20.13345277016694,19.304693138468174,19.98031234741211,297100
2024-02-09 00:00:00+00:00,19.980311722831953,20.18750119473282,19.818162842843986,20.052377700805664,522200
2024-02-12 00:00:00+00:00,20.124445441462154,20.52080921412896,20.124445441462154,20.295602798461914,188100
2024-02-13 00:00:00+00:00,19.52089080679861,19.52089080679861,19.007420490075148,19.331716537475586,384500
2024-02-14 00:00:00+00:00,19.61998178602766,19.683039301830256,19.313700950824966,19.394775390625,286200
2024-02-15 00:00:00+00:00,19.59295846169339,20.00733744810671,19.59295846169339,19.80915641784668,365900
2024-02-16 00:00:00+00:00,19.448824424325206,19.845188160916944,19.214609567165926,19.61998176574707,286400
2024-02-20 00:00:00+00:00,19.358742521223736,19.74609781580746,19.358742521223736,19.4848575592041,206500
