"('date', '')","('open', 'BF-B')","('high', 'BF-B')","('low', 'BF-B')","('close', 'BF-B')","('volume', 'BF-B')"
2024-01-02 00:00:00+00:00,54.655144784389265,55.34625423137839,54.29999294596359,54.568756103515625,1579300
2024-01-03 00:00:00+00:00,54.25199746725521,54.40557693021098,53.10014966427535,53.5320930480957,1482600
2024-01-04 00:00:00+00:00,53.74327512757196,54.079229114445205,53.48410905414525,53.59929275512695,1166100
2024-01-05 00:00:00+00:00,53.2921286090679,53.70487413097759,52.447439673343,52.8793830871582,1123600
2024-01-08 00:00:00+00:00,53.15774882628948,53.45530700683594,52.86018698411941,53.45530700683594,1278700
2024-01-09 00:00:00+00:00,52.879386920849434,53.330528259277344,52.5530300580423,53.330528259277344,1272600
2024-01-10 00:00:00+00:00,53.330522773368926,53.59928592863742,52.802589916058146,53.359317779541016,1269600
2024-01-11 00:00:00+00:00,53.186542125515494,53.359319491337565,52.159478707363995,53.282527923583984,1656700
2024-01-12 00:00:00+00:00,53.570489493443255,53.964037100998326,53.18653900048175,53.541690826416016,1296200
2024-01-16 00:00:00+00:00,53.253732294223745,53.32092308441127,51.938707835609215,52.37065124511719,1511900
2024-01-17 00:00:00+00:00,51.977106760322044,52.207474151566466,51.50676753896055,51.86191940307617,1530900
2024-01-18 00:00:00+00:00,51.76592900873101,52.409041885670376,51.525960861522584,52.3514518737793,1286600
2024-01-19 00:00:00+00:00,52.42824788193232,52.71620897077481,51.650753308220004,52.40904998779297,1393100
2024-01-22 00:00:00+00:00,52.351449831337604,52.61061585960639,51.6507433082212,51.82352066040039,1216800
2024-01-23 00:00:00+00:00,52.073093885076425,53.03296658341885,51.93871229316829,52.83139419555664,1277900
2024-01-24 00:00:00+00:00,53.004167025187726,53.19613861908154,52.34185257673436,52.37065124511719,2314900
2024-01-25 00:00:00+00:00,52.725803094647375,53.47450256347656,52.399446258712494,53.47450256347656,1845000
2024-01-26 00:00:00+00:00,55.240671286267904,55.32705997281405,54.29999651144517,54.41518020629883,2077900
2024-01-29 00:00:00+00:00,53.752865565082764,54.415176340468115,52.706604285297466,54.21360397338867,1467500
2024-01-30 00:00:00+00:00,53.829664462472415,54.35759373171132,53.532102597951926,53.85845947265625,1708300
2024-01-31 00:00:00+00:00,53.86805218539325,54.01203454779032,52.31305951497342,52.6970100402832,3067200
2024-02-01 00:00:00+00:00,52.68740833431133,54.885517546626055,52.514630967130564,54.74153518676758,1783500
2024-02-02 00:00:00+00:00,54.376792312250465,54.808732116956975,53.80086646993523,54.52077102661133,1067400
2024-02-05 00:00:00+00:00,54.36718746377468,54.36718746377468,53.32092610660879,54.16561508178711,2893400
2024-02-06 00:00:00+00:00,54.088827974276214,54.7895383036999,53.93524848080811,54.62635803222656,1343300
2024-02-07 00:00:00+00:00,54.837528228759766,54.95271192719531,54.23280740413161,54.837528228759766,1206300
2024-02-08 00:00:00+00:00,54.7607372886347,55.15428495266219,54.32879383747679,54.64555358886719,1111700
2024-02-09 00:00:00+00:00,54.56876242575098,54.61675899083755,54.06003105812299,54.29999923706055,870300
2024-02-12 00:00:00+00:00,54.386384687703334,55.6438191886051,54.3767875722321,55.46144104003906,929100
2024-02-13 00:00:00+00:00,54.712742051429714,55.12548759141425,53.9640425424455,54.41518020629883,1191600
2024-02-14 00:00:00+00:00,54.41518258348657,55.08709421246276,54.127221502960715,55.04869842529297,861900
2024-02-15 00:00:00+00:00,55.44224086015198,55.94137506140723,55.1254847999386,55.68220901489258,771700
2024-02-16 00:00:00+00:00,55.53822774498863,56.04695903774098,55.279061710485564,55.54782485961914,1181100
2024-02-20 00:00:00+00:00,55.49984047686833,56.47891109241667,55.298268084097046,56.16215133666992,1152700
2024-02-21 00:00:00+00:00,56.30613432835538,56.718879896160374,55.84539585626177,56.21974563598633,920400
2024-02-22 00:00:00+00:00,56.32532315605612,56.344521047006175,55.298259790779696,55.49983215332031,1325500
2024-02-23 00:00:00+00:00,55.52863367333618,55.80699763233358,54.5591638671755,55.183082580566406,1681100
2024-02-26 00:00:00+00:00,54.88552305101225,54.914318061222346,54.1080248207247,54.712745666503906,1318600
2024-02-27 00:00:00+00:00,54.67434552260747,55.394250013496645,54.52076604434939,55.307861328125,1062400
2024-02-28 00:00:00+00:00,55.25027387695936,56.35412528392171,54.81833043005072,56.1429557800293,1157200
2024-02-29 00:00:00+00:00,55.99897069754652,57.98590679544177,55.97017568968889,57.81312942504883,3262900
2024-03-01 00:00:00+00:00,57.53477181600848,58.36026297403058,56.87246093094665,57.94751739501953,1689900
2024-03-04 00:00:00+00:00,57.41958012327728,58.33145984917263,57.34279221733659,57.841922760009766,1863300
2024-03-05 00:00:00+00:00,57.99550209377131,58.523434965444174,57.74593682303606,58.34105682373047,2659900
2024-03-06 00:00:00+00:00,54.376784796623774,54.80872454163022,52.18827275690693,54.06962585449219,4181400
