"('date', '')","('open', 'DEO')","('high', 'DEO')","('low', 'DEO')","('close', 'DEO')","('volume', 'DEO')"
1991-03-14 00:00:00+00:00,10.884422302246094,11.067353769510735,10.884422302246094,10.884422302246094,2524700
1991-03-15 00:00:00+00:00,10.79295421701617,10.79295421701617,10.335625648498535,10.335625648498535,1023500
1991-03-18 00:00:00+00:00,10.244163306983742,10.244163306983742,10.061231819359032,10.152697563171387,800100
1991-03-19 00:00:00+00:00,9.96976814983047,9.96976814983047,9.741103742724267,9.786836624145508,1073300
1991-03-20 00:00:00+00:00,9.786833102886494,10.244161752554087,9.741100237919735,10.106963157653809,1015400
1991-03-21 00:00:00+00:00,10.289896789350008,10.472828287827342,10.289896789350008,10.427095413208008,1093800
1991-03-22 00:00:00+00:00,10.335626008775499,10.335626008775499,10.198427433437772,10.28989315032959,607000
1991-03-25 00:00:00+00:00,10.289896253881784,10.747224976276529,10.198430509402835,10.610026359558105,2384700
1991-03-26 00:00:00+00:00,10.564295581334543,10.564295581334543,10.38136405611663,10.472829818725586,1860500
1991-03-27 00:00:00+00:00,10.472829818725586,10.564295581334543,10.427096937421108,10.472829818725586,1204100
1991-03-28 00:00:00+00:00,10.472829818725586,10.564295581334543,10.33563117481215,10.472829818725586,818900
1991-04-01 00:00:00+00:00,10.472829818725586,10.564295581334543,10.427096937421108,10.472829818725586,463700
1991-04-02 00:00:00+00:00,10.610024388631185,10.975887298583984,10.610024388631185,10.975887298583984,1069900
1991-04-03 00:00:00+00:00,10.975888035878414,11.067353769510735,10.884422302246094,10.884422302246094,929700
1991-04-04 00:00:00+00:00,10.884420268268507,11.067351701348649,10.884420268268507,11.021618843078613,602900
1991-04-05 00:00:00+00:00,10.975892087246509,10.975892087246509,10.701494785065346,10.747227668762207,708500
1991-04-08 00:00:00+00:00,10.747227668762207,10.792960552459068,10.655761901368486,10.747227668762207,451400
1991-04-09 00:00:00+00:00,10.74722267527437,10.838688400170323,10.655756950378418,10.655756950378418,463400
