"('date', '')","('open', 'AIZ')","('high', 'AIZ')","('low', 'AIZ')","('close', 'AIZ')","('volume', 'AIZ')"
2024-01-02 00:00:00+00:00,163.99285001744622,165.74479445653364,163.6716562432088,165.32627868652344,262400
2024-01-03 00:00:00+00:00,165.74481595972452,168.97620960957315,165.1997651878271,165.4528350830078,386200
2024-01-04 00:00:00+00:00,166.1049229480888,167.56488649593592,164.28482495940773,164.5670928955078,246500
2024-01-05 00:00:00+00:00,164.65468377628395,165.97838462665194,163.43804751129557,163.59378051757812,541200
2024-01-08 00:00:00+00:00,164.09993043717793,164.5379165891959,160.8004129764144,161.56932067871094,452500
2024-01-09 00:00:00+00:00,160.64465642130065,161.3648955897847,158.5812312037225,159.75894165039062,286800
2024-01-10 00:00:00+00:00,158.9803015609535,159.77842213527268,158.43525085240285,158.94137573242188,314100
2024-01-11 00:00:00+00:00,158.318449853337,162.27980986936598,158.2308556052948,162.15328979492188,462800
2024-01-12 00:00:00+00:00,161.6374605597186,162.7372898198534,159.43777233641038,160.24562072753906,289800
2024-01-16 00:00:00+00:00,160.23588731834838,161.20919645134882,159.03870639166433,160.09962463378906,353900
2024-01-17 00:00:00+00:00,160.54733408956758,163.56459825924796,160.5278637490194,161.6958465576172,278000
2024-01-18 00:00:00+00:00,161.00477754383527,162.552335333167,159.89520584656688,162.13381958007812,248400
2024-01-19 00:00:00+00:00,163.5062047871487,163.5062047871487,161.90997842077974,163.3407440185547,246000
2024-01-22 00:00:00+00:00,163.40887129783107,164.4600469536404,162.3479678971461,164.29458618164062,456700
2024-01-23 00:00:00+00:00,164.09991528093488,165.48201237931778,164.09991528093488,164.63522338867188,264300
2024-01-24 00:00:00+00:00,165.38468561642765,165.64748323999896,164.14857886268558,165.06349182128906,347400
2024-01-25 00:00:00+00:00,165.9492164118058,166.90305525680301,165.31657138075573,166.75706481933594,311200
2024-01-26 00:00:00+00:00,166.83490065872144,167.39942166565538,165.5306701521069,166.12437438964844,287100
2024-01-29 00:00:00+00:00,165.4625707306097,165.78376456185745,164.01233461707056,164.81045532226562,445200
2024-01-30 00:00:00+00:00,164.8396137067335,166.49423604518984,164.44055345025683,165.5501251220703,429800
2024-01-31 00:00:00+00:00,166.07574616020688,166.20226625154487,163.4186014693221,163.46726989746094,407300
2024-02-01 00:00:00+00:00,162.3577047532524,164.93698303586356,159.34045515387447,164.78125,531500
2024-02-02 00:00:00+00:00,164.90829363228488,165.83688333921435,162.5428128128114,163.0999755859375,456900
2024-02-05 00:00:00+00:00,163.03156133255413,164.9278479189373,162.4255371342065,164.6150665283203,563500
2024-02-06 00:00:00+00:00,164.17522266430925,165.77826656882365,163.85265704197434,165.08425903320312,662700
2024-02-07 00:00:00+00:00,169.90314461845196,175.36717589329655,168.62265164994886,171.39866638183594,855800
2024-02-08 00:00:00+00:00,171.32048426030698,172.83555966944147,169.60991861788548,170.63626098632812,430600
2024-02-09 00:00:00+00:00,169.10162988067643,171.115207595754,167.97754986768027,170.5580596923828,282400
2024-02-12 00:00:00+00:00,170.76332469358104,170.7828781917675,167.8504798916547,168.0166473388672,388100
2024-02-13 00:00:00+00:00,168.63246434889314,169.5512849161473,165.2895319061885,167.36175537109375,488800
2024-02-14 00:00:00+00:00,167.49859991827563,169.3460103436079,167.07828171835888,167.9091339111328,301600
2024-02-15 00:00:00+00:00,168.22191565421838,169.72720683086177,167.7820439932665,168.62266540527344,355200
2024-02-16 00:00:00+00:00,168.9256911775174,170.89039258325963,168.64221766853643,169.80540466308594,321200
2024-02-20 00:00:00+00:00,169.17985540398539,172.44458900414872,169.17985540398539,170.69493103027344,310000
2024-02-21 00:00:00+00:00,171.44752281527758,171.44752281527758,169.49259090215037,170.27456665039062,340400
2024-02-22 00:00:00+00:00,170.67535159043553,173.79347074946543,170.3430167052279,173.4611358642578,359200
2024-02-23 00:00:00+00:00,173.98895878544243,175.16191507516362,173.10924529688867,174.35061645507812,360500
2024-02-26 00:00:00+00:00,174.60477902474162,175.88525726461665,174.13558454505576,174.9077911376953,354100
2024-02-27 00:00:00+00:00,173.93032124513016,178.16275127286008,173.93032124513016,177.6544647216797,405900
2024-02-28 00:00:00+00:00,177.44918101511908,179.01313266868414,176.78451125707033,178.1431884765625,276800
2024-02-29 00:00:00+00:00,178.29959533444273,178.29959533444273,175.72885471211532,177.36122131347656,374900
2024-03-01 00:00:00+00:00,177.36120598217016,177.36120598217016,175.45515023006982,176.39352416992188,227600
2024-03-04 00:00:00+00:00,175.44540241159547,177.31235139909649,173.76415946168544,174.01829528808594,361400
2024-03-05 00:00:00+00:00,173.8618748595398,175.81680688441554,173.07991398154766,174.585205078125,326400
2024-03-06 00:00:00+00:00,175.7581680564237,176.92135504226457,174.0378331778803,175.78749084472656,407900
2024-03-07 00:00:00+00:00,175.7288544803767,176.3642014801765,174.24310183036835,174.8784637451172,208300
2024-03-08 00:00:00+00:00,174.3310587993772,175.37693961400987,173.4317769968664,174.48744201660156,195400
2024-03-11 00:00:00+00:00,174.0182736619462,174.59497503188712,172.48365977236392,174.33106994628906,299400
2024-03-12 00:00:00+00:00,174.634077271992,177.04841945936803,174.08669870423745,177.03863525390625,290100
2024-03-13 00:00:00+00:00,177.61538126123344,177.9183933823346,176.42287136112887,177.4198760986328,302900
2024-03-14 00:00:00+00:00,176.26646193161864,176.74542568545925,174.79049350399387,175.76795959472656,366900
2024-03-15 00:00:00+00:00,174.73184630265814,177.24394150612338,174.73184630265814,177.07777404785156,715100
2024-03-18 00:00:00+00:00,176.76496720170002,177.371006330176,173.98896703754275,174.37017822265625,290100
