"('date', '')","('open', 'CNMD')","('high', 'CNMD')","('low', 'CNMD')","('close', 'CNMD')","('volume', 'CNMD')"
1987-07-23 00:00:00+00:00,1.9107065200805664,1.9723421886788024,1.9107065200805664,1.9107065200805664,514013
1987-07-24 00:00:00+00:00,1.9107065200805664,1.9723421886788024,1.9107065200805664,1.9107065200805664,142763
1987-07-27 00:00:00+00:00,1.8490710820789158,1.8490710820789158,1.7874354124069214,1.7874354124069214,112725
1987-07-28 00:00:00+00:00,1.8490700721740723,1.9107055097988814,1.8490700721740723,1.8490700721740723,82688
1987-07-29 00:00:00+00:00,1.8798894882202148,1.9723429265115195,1.8798894882202148,1.8798894882202148,124538
1987-07-30 00:00:00+00:00,1.8798894882202148,1.9723429265115195,1.8798894882202148,1.8798894882202148,55013
1987-07-31 00:00:00+00:00,1.8798894882202148,1.9415251798757138,1.8798894882202148,1.8798894882202148,17213
1987-08-03 00:00:00+00:00,1.8798894882202148,2.0339786181670187,1.8798894882202148,1.8798894882202148,32738
1987-08-04 00:00:00+00:00,1.8798894882202148,1.9415251798757138,1.8798894882202148,1.8798894882202148,24300
1987-08-05 00:00:00+00:00,1.879888336582764,1.9415239904796762,1.818252682685852,1.818252682685852,23963
1987-08-06 00:00:00+00:00,1.818252682685852,1.9415239904796762,1.818252682685852,1.818252682685852,3038
1987-08-07 00:00:00+00:00,1.818252682685852,1.9415239904796762,1.818252682685852,1.818252682685852,10463
1987-08-10 00:00:00+00:00,1.81825314805101,1.8798888177230044,1.7874354124069214,1.7874354124069214,51638
1987-08-11 00:00:00+00:00,1.7874351002453952,1.8490707591532052,1.7257994413375854,1.7257994413375854,36450
1987-08-12 00:00:00+00:00,1.7874354124069214,1.8798888177230044,1.7874354124069214,1.7874354124069214,55013
1987-08-13 00:00:00+00:00,1.7874354124069214,1.8490710820789158,1.7874354124069214,1.7874354124069214,26325
1987-08-14 00:00:00+00:00,1.7874351002453952,1.8490707591532052,1.7257994413375854,1.7257994413375854,18900
1987-08-17 00:00:00+00:00,1.7257994413375854,1.7874351002453952,1.7257994413375854,1.7257994413375854,40838
1987-08-18 00:00:00+00:00,1.725799241238974,1.787434893000409,1.664163589477539,1.664163589477539,17213
1987-08-19 00:00:00+00:00,1.6641637824297757,1.7257994413375854,1.6641637824297757,1.7257994413375854,17213
1987-08-20 00:00:00+00:00,1.7257994413375854,1.7257994413375854,1.6641637824297757,1.7257994413375854,18563
1987-08-21 00:00:00+00:00,1.7257994413375854,1.7257994413375854,1.6641637824297757,1.7257994413375854,13500
1987-08-24 00:00:00+00:00,1.7257994413375854,1.7257994413375854,1.6641637824297757,1.7257994413375854,11138
1987-08-25 00:00:00+00:00,1.725799241238974,1.787434893000409,1.664163589477539,1.664163589477539,7763
1987-08-26 00:00:00+00:00,1.664163843617099,1.7874351659651102,1.6025281824430933,1.694981575012207,35100
1987-08-27 00:00:00+00:00,1.6949815126917895,1.7257994413375854,1.602528123521966,1.7257994413375854,25313
1987-08-28 00:00:00+00:00,1.6025279760360718,1.6025279760360718,1.6025279760360718,1.6025279760360718,7425
1987-08-31 00:00:00+00:00,1.6025279377161041,1.725799241238974,1.6025279377161041,1.664163589477539,18225
1987-09-01 00:00:00+00:00,1.6641637824297757,1.7257994413375854,1.602528123521966,1.7257994413375854,22950
1987-09-02 00:00:00+00:00,1.7257994413375854,1.7257994413375854,1.602528123521966,1.7257994413375854,21600
