"('date', '')","('open', 'ADAM')","('high', 'ADAM')","('low', 'ADAM')","('close', 'ADAM')","('volume', 'ADAM')"
2024-01-02 00:00:00+00:00,6.811409277901606,6.8194228839941795,6.651140977147829,6.683194637298584,675400
2024-01-03 00:00:00+00:00,6.627100483346593,6.627100483346593,6.4988850870318,6.538952350616455,570000
2024-01-04 00:00:00+00:00,6.522925124531007,6.587032432920846,6.490871470336087,6.562991619110107,524300
2024-01-05 00:00:00+00:00,6.5389520982948435,6.643126673907318,6.498884836256282,6.611073017120361,369100
2024-01-08 00:00:00+00:00,6.627100484272539,6.795381615756522,6.6030596675866935,6.7873687744140625,453100
2024-01-09 00:00:00+00:00,6.707233012986524,6.787367525420893,6.683192964943953,6.755313873291016,346100
2024-01-10 00:00:00+00:00,6.755314521945214,6.827435437217422,6.731273707374864,6.779354572296143,477300
2024-01-11 00:00:00+00:00,6.747301116118305,6.747301116118305,6.5870328353522,6.691207408905029,385000
2024-01-12 00:00:00+00:00,6.7312735876634555,6.899555465566013,6.7312735876634555,6.771340847015381,440500
2024-01-16 00:00:00+00:00,6.707233747839299,6.747301008446302,6.546965469630722,6.627099990844727,492600
2024-01-17 00:00:00+00:00,6.498884864200171,6.587032993907917,6.4267647092840114,6.466831207275391,411400
2024-01-18 00:00:00+00:00,6.498884967899449,6.538952230749623,6.418751206418576,6.530938625335693,505500
2024-01-19 00:00:00+00:00,6.571005337726277,6.659153461456299,6.450804323464586,6.659153461456299,503600
2024-01-22 00:00:00+00:00,6.683194348616041,6.755315271894841,6.611073425337241,6.6511406898498535,497100
2024-01-23 00:00:00+00:00,6.71524829744934,6.71524829744934,6.627100923089648,6.683194637298584,365900
2024-01-24 00:00:00+00:00,6.7392873989595,6.779354659539621,6.587032725818359,6.595045566558838,431800
2024-01-25 00:00:00+00:00,6.675180418896702,6.731274127960205,6.643126761686204,6.731274127960205,389200
2024-01-26 00:00:00+00:00,6.787368068351954,6.819421723045848,6.699219944779188,6.71524715423584,421700
2024-01-29 00:00:00+00:00,6.699220641671608,6.795381615756522,6.667166983643303,6.7873687744140625,487100
2024-01-30 00:00:00+00:00,6.7473012655185824,6.755314870789188,6.546965719070214,6.55497932434082,484800
2024-01-31 00:00:00+00:00,6.538951925910743,6.546965530951087,6.282522678375244,6.282522678375244,572200
2024-02-01 00:00:00+00:00,6.322589504145276,6.402723643327085,6.194374881454383,6.386696815490723,657300
2024-02-02 00:00:00+00:00,6.314576779675855,6.314576779675855,6.178348541259766,6.178348541259766,644400
2024-02-05 00:00:00+00:00,6.098214069769346,6.098214069769346,5.913905353901635,6.042119979858398,839100
2024-02-06 00:00:00+00:00,6.010066940747117,6.098214696202143,5.969999674964897,6.058147430419922,525900
2024-02-07 00:00:00+00:00,6.050133586155163,6.050133586155163,5.825757608579578,5.889864921569824,954200
2024-02-08 00:00:00+00:00,5.873838357101863,5.969999330905583,5.841784699167289,5.913905620574951,561200
2024-02-09 00:00:00+00:00,5.921918576969069,6.050133585035559,5.897878525657039,6.042119979858398,599100
2024-02-12 00:00:00+00:00,6.050133505400109,6.154307696563914,6.042119900328428,6.138280868530273,463800
2024-02-13 00:00:00+00:00,5.94595867021017,5.94595867021017,5.737609532840789,5.753636360168457,716600
2024-02-14 00:00:00+00:00,5.801717028772863,5.80973063374932,5.705556061713689,5.721582889556885,671300
2024-02-15 00:00:00+00:00,5.7696630373865965,6.082186735309728,5.7696630373865965,6.034106254577637,872200
2024-02-16 00:00:00+00:00,5.953972169070785,6.122254054874067,5.889864856785673,6.082187175750732,462600
2024-02-20 00:00:00+00:00,5.986025720001541,6.06616024105919,5.945958841582431,6.01807975769043,433100
2024-02-21 00:00:00+00:00,6.0180797407580755,6.026092963575465,5.881851513875019,5.9219183921813965,579700
