"('date', '')","('open', 'ALNT')","('high', 'ALNT')","('low', 'ALNT')","('close', 'ALNT')","('volume', 'ALNT')"
2024-01-02 00:00:00+00:00,29.805530322227813,29.934557756110497,29.160387473540045,29.329116821289062,47500
2024-01-03 00:00:00+00:00,29.210016501991362,29.210016501991362,28.267116818857975,28.326669692993164,31500
2024-01-04 00:00:00+00:00,28.406071464031694,29.28941826780402,28.018985356809182,28.217491149902344,37200
2024-01-05 00:00:00+00:00,28.20756580527977,28.614500979276432,27.86018161225806,27.959434509277344,37200
2024-01-08 00:00:00+00:00,28.10831130744979,29.031359978904458,27.939581960053864,28.386219024658203,24500
2024-01-09 00:00:00+00:00,27.899881523563263,28.217489256730097,27.741077656979847,28.009057998657227,22100
2024-01-10 00:00:00+00:00,27.899882418799812,28.197639204925125,27.69145115403891,28.13808822631836,36000
2024-01-11 00:00:00+00:00,28.167863628718234,28.247265566980982,27.731153914818893,27.899883270263672,26300
2024-01-12 00:00:00+00:00,28.495395518856743,29.348967734805704,28.128162281593664,28.17778778076172,33000
2024-01-16 00:00:00+00:00,28.04876203304482,28.068612991141837,27.353993644381738,27.909809112548828,42100
2024-01-17 00:00:00+00:00,27.55249891382521,27.860181186096142,27.36391860168234,27.79070472717285,27600
2024-01-18 00:00:00+00:00,27.98921091316855,28.15794026997407,27.443320926754662,27.592199325561523,33700
2024-01-19 00:00:00+00:00,27.83040565257145,27.83040565257145,27.12571182336503,27.711301803588867,27500
2024-01-22 00:00:00+00:00,27.969358704984938,28.475546752775717,27.731152898923067,28.02890968322754,58900
2024-01-23 00:00:00+00:00,28.495396291923566,28.783229495563113,27.691451446423457,27.98921012878418,23900
2024-01-24 00:00:00+00:00,28.257189455375705,28.257189455375705,27.304366249854706,27.334142684936523,29200
2024-01-25 00:00:00+00:00,27.78077962092608,28.753453845081253,27.56242476236825,28.743528366088867,77200
2024-01-26 00:00:00+00:00,28.971808066752786,29.19016290624267,28.465620040893555,28.465620040893555,47600
2024-01-29 00:00:00+00:00,28.624427653331217,29.279494150678733,27.949510197132774,29.249717712402344,23700
2024-01-30 00:00:00+00:00,28.951960843263414,29.031362785414387,28.634353074659522,28.72368049621582,20100
2024-01-31 00:00:00+00:00,28.902332448173674,29.031359881352788,27.651750564575195,27.651750564575195,29700
2024-02-01 00:00:00+00:00,28.68397693261469,29.15046497243823,27.88003207783261,28.78322982788086,45900
2024-02-02 00:00:00+00:00,28.386220463745733,28.763379198350083,27.751003062650422,28.425920486450195,18700
2024-02-05 00:00:00+00:00,27.949505418942035,28.00905639222247,27.304364511311963,27.443317413330078,25700
2024-02-06 00:00:00+00:00,27.373842887929964,28.028909319369212,27.274589996753107,28.018983840942383,27600
2024-02-07 00:00:00+00:00,28.01898735027114,28.29689510175551,27.72123053253849,27.80063247680664,127600
2024-02-08 00:00:00+00:00,27.780780648786124,28.336594241283386,27.55250030278977,28.038837432861328,120300
2024-02-09 00:00:00+00:00,28.326668047074772,28.693901284112613,28.08846035055816,28.386219024658203,38000
2024-02-12 00:00:00+00:00,28.376296844038144,29.37874756647031,28.366371364438816,29.0015869140625,68300
2024-02-13 00:00:00+00:00,27.82048161159292,28.038836470737028,26.758478073654825,26.80810546875,45300
2024-02-14 00:00:00+00:00,27.363918075443024,29.626876098363645,26.827955478990884,27.671600341796875,39600
2024-02-15 00:00:00+00:00,27.830406514603272,29.200090408325195,27.68152622549069,29.200090408325195,72600
2024-02-16 00:00:00+00:00,29.051210578371357,29.35889283404027,28.048759984775046,28.167861938476562,71600
2024-02-20 00:00:00+00:00,27.97928557679338,29.021436266845303,27.58227588025415,28.852706909179688,40900
2024-02-21 00:00:00+00:00,28.654203328369938,28.654203328369938,28.009060434540377,28.128164291381836,31500
2024-02-22 00:00:00+00:00,28.06861042763629,28.33659076510513,27.602122420418553,27.840328216552734,31600
2024-02-23 00:00:00+00:00,27.7013771817054,28.68397686710415,27.324218452265164,28.04876136779785,41500
2024-02-26 00:00:00+00:00,27.68152441608117,28.257188898001292,27.37384216533716,28.207563400268555,49500
2024-02-27 00:00:00+00:00,28.634350012540033,29.170312591471063,28.28696584286897,28.535097122192383,44600
2024-02-28 00:00:00+00:00,28.078536670853815,28.485471820307517,27.58227410877941,27.651750564575195,29800
2024-02-29 00:00:00+00:00,28.286965332495765,28.286965332495765,27.721226328740475,28.207563400268555,47900
2024-03-01 00:00:00+00:00,28.157940413508925,28.902334304429317,27.691452363620215,28.852706909179688,59300
2024-03-04 00:00:00+00:00,28.852706574994304,30.093363045491763,28.813006552345986,29.785680770874023,90700
2024-03-05 00:00:00+00:00,29.775754928588867,30.272017510732013,29.557400073958828,29.775754928588867,248000
2024-03-06 00:00:00+00:00,34.73838114708726,35.90956115722656,33.051087591277835,35.90956115722656,337100
2024-03-07 00:00:00+00:00,35.333892975432455,35.333892975432455,32.48534692359655,33.299217224121094,104400
2024-03-08 00:00:00+00:00,33.89473939866008,34.4505511252873,32.69378094751892,32.85258483886719,108900
2024-03-11 00:00:00+00:00,32.79302705712124,32.981605444949174,31.770723727889756,32.61437225341797,78700
2024-03-12 00:00:00+00:00,32.47542207783287,32.812880759063994,31.87990475356355,32.37616729736328,61600
2024-03-13 00:00:00+00:00,32.13796935552375,32.971690735140626,31.731032252510904,32.0684928894043,64600
2024-03-14 00:00:00+00:00,31.84020807195101,32.038710069529515,31.14543782878606,31.631776809692383,45100
2024-03-15 00:00:00+00:00,31.304247464856907,32.753333429096564,31.304247464856907,32.68385696411133,90600
2024-03-18 00:00:00+00:00,32.72355936820791,32.72355936820791,31.74095768484519,31.90968894958496,62100
2024-03-19 00:00:00+00:00,31.76066551574476,32.634902600497185,31.611648067701235,32.26732635498047,47100
2024-03-20 00:00:00+00:00,32.03883078161107,33.568747951722905,31.88981144813455,33.37998962402344,39000
2024-03-21 00:00:00+00:00,33.42966211242884,33.65815562310701,33.062082135072956,33.33031463623047,61700
2024-03-22 00:00:00+00:00,33.24090323540685,33.79723772347024,32.62496405236004,33.20116424560547,51200
2024-03-25 00:00:00+00:00,33.46940421380181,33.66809541744533,32.99254759888907,33.499210357666016,103700
2024-03-26 00:00:00+00:00,33.7078297831798,34.18468633255148,33.69789314001763,33.727699279785156,73900
2024-03-27 00:00:00+00:00,33.986000081286676,35.684802495176996,33.77737602127618,35.55565643310547,78900
2024-03-28 00:00:00+00:00,35.70467271964438,36.092122282884695,34.770828963217035,35.44637680053711,113000
2024-04-01 00:00:00+00:00,35.61525564988212,35.61525564988212,33.598549134656,34.20455551147461,101600
2024-04-02 00:00:00+00:00,33.67803278709793,33.97606770412048,33.290583226277086,33.389930725097656,36100
