"('date', '')","('open', 'CII')","('high', 'CII')","('low', 'CII')","('close', 'CII')","('volume', 'CII')"
2004-05-26 00:00:00+00:00,3.0975258350372314,3.09907463340312,3.0975258350372314,3.0975258350372314,27100
2004-05-27 00:00:00+00:00,3.0975258350372314,3.09907463340312,3.0975258350372314,3.0975258350372314,20900
2004-05-28 00:00:00+00:00,3.0975258350372314,3.09907463340312,3.0975258350372314,3.0975258350372314,107500
2004-06-01 00:00:00+00:00,3.0975258350372314,3.09907463340312,3.0975258350372314,3.0975258350372314,173400
2004-06-02 00:00:00+00:00,3.0975258350372314,3.0975258350372314,3.0975258350372314,3.0975258350372314,21800
2004-06-03 00:00:00+00:00,3.0975258350372314,3.09907463340312,3.088233340244983,3.0975258350372314,68400
2004-06-04 00:00:00+00:00,3.0975258350372314,3.0975258350372314,3.0975258350372314,3.0975258350372314,14600
2004-06-07 00:00:00+00:00,3.0975245005853984,3.0975245005853984,3.0510617512377998,3.089780807495117,23600
2004-06-08 00:00:00+00:00,3.089781297473397,3.09132980001465,3.058805929394279,3.074293613433838,129700
2004-06-09 00:00:00+00:00,3.066549873730607,3.066549873730607,3.0278308081764176,3.0293796062469482,47500
2004-06-10 00:00:00+00:00,3.0309279933686915,3.0510620701526836,3.023184299468994,3.023184299468994,27400
2004-06-14 00:00:00+00:00,3.021637158867281,3.0231859575772777,3.0076982658804567,3.009247064590454,36000
2004-06-15 00:00:00+00:00,3.0076974741164326,3.0076974741164326,2.9984049797058105,2.9984049797058105,12400
2004-06-16 00:00:00+00:00,2.9968565698447236,2.9968565698447236,2.9736251831054688,2.9736251831054688,21300
2004-06-17 00:00:00+00:00,2.9658801069416536,2.973624096627377,2.91941735043932,2.920966148376465,44600
2004-06-18 00:00:00+00:00,2.934905113963626,2.942648808456255,2.9302587200262433,2.931807518005371,14000
2004-06-21 00:00:00+00:00,2.947295858629547,2.950393159874428,2.934905767440796,2.934905767440796,16800
2004-06-22 00:00:00+00:00,2.9364537285549885,2.9441977187460324,2.9070274520380854,2.908576250076294,16600
2004-06-23 00:00:00+00:00,2.908576582446462,2.908576582446462,2.8745036125183105,2.8745036125183105,12000
2004-06-24 00:00:00+00:00,2.8961862867221595,2.8961862867221595,2.8388819384363995,2.840430736541748,27300
2004-06-25 00:00:00+00:00,2.837331863970547,2.837331863970547,2.721174716949463,2.721174716949463,45300
2004-06-28 00:00:00+00:00,2.733565970042641,2.741309960398121,2.690200805664062,2.6902008056640625,18100
2004-06-29 00:00:00+00:00,2.69639736040039,2.7180799559210227,2.679360866546631,2.679360866546631,11000
2004-06-30 00:00:00+00:00,2.6886521941383505,2.741310150597045,2.6886521941383505,2.7103347778320312,13900
2004-07-01 00:00:00+00:00,2.71188297794357,2.749053239822388,2.71188297794357,2.7490532398223877,3300
2004-07-02 00:00:00+00:00,2.7583472837074456,2.7877738683641713,2.7583472837074456,2.7722861766815186,4700
2004-07-06 00:00:00+00:00,2.7800301702244195,2.801712761338244,2.7660912772503465,2.7722861766815186,12300
