"('date', '')","('open', 'BBIO')","('high', 'BBIO')","('low', 'BBIO')","('close', 'BBIO')","('volume', 'BBIO')"
2024-01-02 00:00:00+00:00,39.77000045776367,40.970001220703125,39.41999816894531,40.45000076293945,1756000
2024-01-03 00:00:00+00:00,39.5,39.97999954223633,37.779998779296875,37.849998474121094,2738100
2024-01-04 00:00:00+00:00,38.02000045776367,38.4900016784668,36.560001373291016,36.91999816894531,3141000
2024-01-05 00:00:00+00:00,36.33000183105469,37.83000183105469,35.970001220703125,37.689998626708984,1556700
2024-01-08 00:00:00+00:00,37.40999984741211,39.130001068115234,36.5,38.7400016784668,1711700
2024-01-09 00:00:00+00:00,37.81999969482422,40.33000183105469,37.81999969482422,39.72999954223633,1607100
2024-01-10 00:00:00+00:00,39.72999954223633,40.599998474121094,39.459999084472656,39.900001525878906,1767400
2024-01-11 00:00:00+00:00,39.34000015258789,39.37200164794922,37.33000183105469,39.220001220703125,1874200
2024-01-12 00:00:00+00:00,39.939998626708984,40.41999816894531,38.05500030517578,38.70000076293945,1426900
2024-01-16 00:00:00+00:00,37.970001220703125,38.029998779296875,36.84000015258789,37.58000183105469,1344200
2024-01-17 00:00:00+00:00,36.56999969482422,37.29999923706055,36.2599983215332,36.90999984741211,1193800
2024-01-18 00:00:00+00:00,37.56999969482422,40.650001525878906,36.31999969482422,37.560001373291016,4264800
2024-01-19 00:00:00+00:00,37.560001373291016,37.68000030517578,36.02000045776367,36.63999938964844,1402300
2024-01-22 00:00:00+00:00,37.22999954223633,38.650001525878906,36.81999969482422,38.040000915527344,3481100
2024-01-23 00:00:00+00:00,38.5099983215332,38.7400016784668,35.869998931884766,37.130001068115234,2003300
2024-01-24 00:00:00+00:00,37.84000015258789,37.84000015258789,36.125,36.2400016784668,1124500
2024-01-25 00:00:00+00:00,36.93000030517578,37.21699905395508,35.63999938964844,36.06999969482422,1599000
2024-01-26 00:00:00+00:00,36.310001373291016,36.54499816894531,35.540000915527344,35.939998626708984,646300
2024-01-29 00:00:00+00:00,36.439998626708984,37.869998931884766,35.560001373291016,37.84000015258789,1272700
2024-01-30 00:00:00+00:00,37.400001525878906,37.79999923706055,35.779998779296875,36.09000015258789,1714700
2024-01-31 00:00:00+00:00,35.540000915527344,36.2599983215332,34.220001220703125,34.290000915527344,2183800
2024-02-01 00:00:00+00:00,34.439998626708984,34.61000061035156,33.209999084472656,33.310001373291016,1536100
