"('date', '')","('open', 'CC')","('high', 'CC')","('low', 'CC')","('close', 'CC')","('volume', 'CC')"
2015-06-19 00:00:00+00:00,14.523969603168847,15.388491603357469,14.178160803093398,14.420918464660645,2636100
2015-06-22 00:00:00+00:00,14.696875783519841,15.077264982019114,13.853102684020996,13.853102684020996,821900
2015-06-23 00:00:00+00:00,13.604116679363788,13.832350408335088,12.263070877150978,12.341914176940918,1500100
2015-06-24 00:00:00+00:00,12.103302230006612,12.103302230006612,11.446265295572722,11.688331604003906,1171400
2015-06-25 00:00:00+00:00,11.619170934839095,11.729829605140008,10.141185261649841,10.36734390258789,2191400
2015-06-26 00:00:00+00:00,10.367345142735196,10.886058216502734,10.23593812092831,10.360428810119629,1242300
2015-06-29 00:00:00+00:00,10.353514683730838,10.962138193686005,10.353514683730838,10.720071792602539,1464600
2015-06-30 00:00:00+00:00,11.024381532133418,11.107375544494857,10.588663132130307,11.065878868103027,28855200
2015-07-01 00:00:00+00:00,11.065877926223386,11.536177949152751,10.09761387150993,11.41860294342041,11615400
2015-07-02 00:00:00+00:00,11.363273606555511,11.41860294342041,10.996715925353401,11.41860294342041,6632000
2015-07-06 00:00:00+00:00,11.065876773869801,11.190368098640686,10.830726786892644,11.093542098999023,3389400
2015-07-07 00:00:00+00:00,10.989799912397078,11.148872245637918,10.235936896499982,10.36734390258789,4827100
2015-07-08 00:00:00+00:00,9.731057752115358,9.751806751453143,8.520727159680002,9.004859924316406,9970700
2015-07-09 00:00:00+00:00,9.018691249871296,9.150098271197589,8.168002128601074,8.168002128601074,10485200
2015-07-10 00:00:00+00:00,8.244078278271095,8.47231193476802,7.708075133984181,8.064257621765137,8528100
2015-07-13 00:00:00+00:00,7.766864437154706,8.064260181978607,7.649290065503489,7.884439468383789,6951500
2015-07-14 00:00:00+00:00,7.773778892986732,8.825037586626182,7.773778892986732,8.755875587463379,6311800
2015-07-15 00:00:00+00:00,8.797372589443164,9.426744251861432,8.645216592729374,8.984108924865723,4837100
2015-07-16 00:00:00+00:00,8.866536242318414,9.108602633972035,8.82503956119816,9.067105293273926,4385400
2015-07-17 00:00:00+00:00,9.01869010925293,9.060187439968509,8.935696107399467,9.01869010925293,2720600
2015-07-20 00:00:00+00:00,8.894199246483636,8.942612911472015,8.569139553615383,8.638300895690918,4101900
2015-07-21 00:00:00+00:00,8.555309008003313,8.679800377975877,8.527644332406952,8.562225341796875,2186100
2015-07-22 00:00:00+00:00,8.40315269515333,8.610638085315435,8.050428257413412,8.327075004577637,3387700
2015-07-23 00:00:00+00:00,8.340908902786422,8.444651283390211,8.112674478217741,8.195669174194336,2225000
2015-07-24 00:00:00+00:00,8.091925978143143,8.133423325332105,7.77378184828763,7.822195529937744,3445400
2015-07-27 00:00:00+00:00,7.773781289000993,7.780697622964549,7.36918498622372,7.43488883972168,3738900
2015-07-28 00:00:00+00:00,7.158240672294036,7.8221934322157365,6.819347629937933,7.815277099609375,3192600
2015-07-29 00:00:00+00:00,7.635455961780375,8.506894031771605,7.5787434888033705,8.430815696716309,2757400
