"('date', '')","('open', 'AMAT')","('high', 'AMAT')","('low', 'AMAT')","('close', 'AMAT')","('volume', 'AMAT')"
2024-01-02 00:00:00+00:00,157.49492131497811,157.6031996741776,151.02777889893648,151.95306396484375,8607300
2024-01-03 00:00:00+00:00,149.33473526878697,150.77186813932988,148.37006797772398,149.07879638671875,6100100
2024-01-04 00:00:00+00:00,147.45465426230933,149.62020688428828,146.42109061867026,146.97232055664062,6196100
2024-01-05 00:00:00+00:00,147.7302680303649,149.14772501355975,145.73205201152163,146.66717529296875,5400100
2024-01-08 00:00:00+00:00,147.48416299786368,150.39781084474333,147.375884630723,149.18707275390625,6515500
2024-01-09 00:00:00+00:00,147.5235328665691,149.31504497078876,146.59824771558863,148.66537475585938,5606700
2024-01-10 00:00:00+00:00,149.3937971488598,149.5217515731606,145.9190662618311,147.4644775390625,5035700
2024-01-11 00:00:00+00:00,147.89760302946468,150.05331758329268,146.15531092131903,149.57098388671875,5995600
2024-01-12 00:00:00+00:00,149.81706599702304,150.0139316776721,148.0157157303011,148.88194274902344,4083700
2024-01-16 00:00:00+00:00,148.93115434495186,151.82512624544037,147.49400642121233,151.35263061523438,6528000
2024-01-17 00:00:00+00:00,150.71282611036372,151.34280531706685,147.84838306836977,150.96875,6630600
2024-01-18 00:00:00+00:00,156.17591552632786,158.2233514444135,154.32534526923584,157.82960510253906,8133700
2024-01-19 00:00:00+00:00,160.02470423163803,165.6452963002707,159.7589273238738,165.3106231689453,9159000
2024-01-22 00:00:00+00:00,165.54684661950833,169.21845789037542,165.01530785385188,165.66497802734375,7176400
2024-01-23 00:00:00+00:00,165.13344572530167,165.36969355182129,162.13121032851572,164.4345703125,5053600
2024-01-24 00:00:00+00:00,168.70661461178085,173.20507115630286,167.99788616266628,171.41355895996094,9729000
2024-01-25 00:00:00+00:00,174.39611259654288,175.6068507328532,169.73031962799632,169.9272003173828,7234400
2024-01-26 00:00:00+00:00,166.42294945251365,166.9151211631748,164.01129605436302,164.2869110107422,6653700
2024-01-29 00:00:00+00:00,163.70615488515844,165.8717074462961,163.4797600998289,165.84217834472656,5370700
2024-01-30 00:00:00+00:00,164.71019887151346,166.5213872980983,163.22384560076557,163.63726806640625,5255300
2024-01-31 00:00:00+00:00,161.43233980941838,164.01131506586245,158.43994207048337,161.72764587402344,6049400
2024-02-01 00:00:00+00:00,162.86945144544552,165.1137530011836,162.24931035087232,164.35580444335938,4082600
2024-02-02 00:00:00+00:00,163.32224914582142,166.53120310517073,162.86945960953705,165.54685974121094,4740800
2024-02-05 00:00:00+00:00,165.96031035966706,169.58268701734633,165.64531324862247,168.41131591796875,5749100
2024-02-06 00:00:00+00:00,168.31288591021692,170.00595778532843,164.8775219852743,166.05873107910156,4550100
2024-02-07 00:00:00+00:00,167.820689098254,170.20279800343087,166.18667566928508,168.22425842285156,5103400
2024-02-08 00:00:00+00:00,167.32854705424754,172.26010228978362,166.7280969540419,171.16748046875,7327900
2024-02-09 00:00:00+00:00,176.23683601076223,183.23551819681657,175.81357555762773,182.9303741455078,9539900
2024-02-12 00:00:00+00:00,182.3693241293591,185.26329641744425,181.7491829190866,182.6350860595703,7085400
2024-02-13 00:00:00+00:00,175.803734954448,179.33752410957356,174.1697213269919,177.48695373535156,9692500
2024-02-14 00:00:00+00:00,179.7804652581664,184.05251170720365,179.7804652581664,183.27488708496094,8437900
2024-02-15 00:00:00+00:00,186.0408945458815,186.50353712544376,183.46191975589522,184.7218780517578,8622900
2024-02-16 00:00:00+00:00,198.85705763464827,203.53268877903065,194.21095559063934,196.44541931152344,15557900
2024-02-20 00:00:00+00:00,192.52773867206793,192.79351561865008,183.20600466531448,186.17872619628906,11216100
2024-02-21 00:00:00+00:00,185.29129574318748,187.70702112382804,183.28969342391306,187.66758728027344,6977500
2024-02-22 00:00:00+00:00,195.50638235480352,198.73064455739305,193.91890304848567,196.93609619140625,10225900
2024-02-23 00:00:00+00:00,196.53184253457692,198.52357516636826,193.8597444351069,194.4020538330078,5108100
2024-02-26 00:00:00+00:00,197.0051236801885,201.1365147541701,196.3444977035994,200.70266723632812,6466600
2024-02-27 00:00:00+00:00,200.88013360381996,201.58020844077225,198.40524997130683,200.02230834960938,5167100
2024-02-28 00:00:00+00:00,195.71344116367993,196.39377650617402,193.74141803155885,194.77671813964844,6207900
