"('date', '')","('open', 'BEP')","('high', 'BEP')","('low', 'BEP')","('close', 'BEP')","('volume', 'BEP')"
2024-01-02 00:00:00+00:00,24.022220867742455,24.763477480070886,23.70192424041065,23.81174087524414,542000
2024-01-03 00:00:00+00:00,23.701927619752393,23.72023068574693,23.345026560241124,23.47314453125,563900
2024-01-04 00:00:00+00:00,23.335873606360195,23.79343975550451,23.335873606360195,23.61041259765625,322900
2024-01-05 00:00:00+00:00,23.427385750203666,24.28761054663396,23.381628090806387,23.949010848999023,256300
2024-01-08 00:00:00+00:00,23.93985829472268,25.010563042225293,23.894102382755726,24.992259979248047,208500
2024-01-09 00:00:00+00:00,24.992261813176754,25.111229985782554,24.681116701636437,25.001413345336914,143200
2024-01-10 00:00:00+00:00,25.07462359258626,25.13868257155523,24.79093308051957,24.836688995361328,280700
2024-01-11 00:00:00+00:00,24.809233202552434,24.809233202552434,23.884949519453105,23.985612869262695,279500
2024-01-12 00:00:00+00:00,24.177794052897294,24.443181497069965,23.38162822942681,23.555503845214844,292400
2024-01-16 00:00:00+00:00,23.637866034155035,23.921556543959507,23.189451439471753,23.537200927734375,522400
2024-01-17 00:00:00+00:00,23.244356468834713,23.326718502709557,22.56715888123404,23.02472496032715,334700
2024-01-18 00:00:00+00:00,23.04303224047358,23.463992272468214,22.93321559337963,23.17115020751953,390200
2024-01-19 00:00:00+00:00,23.11624137645741,23.628714959518195,22.73188575279275,23.50059700012207,399200
2024-01-22 00:00:00+00:00,23.491445541381836,23.89410423064062,23.354176049388883,23.491445541381836,297500
2024-01-23 00:00:00+00:00,23.784285552943967,23.90325371583239,23.399929960993006,23.68362045288086,195400
2024-01-24 00:00:00+00:00,23.89410540465496,24.049677968684563,23.445690777858193,23.56465721130371,317000
2024-01-25 00:00:00+00:00,23.775134494938953,24.04052367476203,23.4182334901194,24.022220611572266,401100
2024-01-26 00:00:00+00:00,24.095431671546237,24.1594906487036,23.665320149578072,23.775135040283203,289200
2024-01-29 00:00:00+00:00,23.701924147104098,24.52554279594629,23.427385179315433,24.379121780395508,238400
2024-01-30 00:00:00+00:00,24.26015745670694,24.35167103570507,23.866650288848398,24.17779541015625,296600
2024-01-31 00:00:00+00:00,24.177795427078795,24.525544932943493,23.7019262123365,23.80259132385254,289800
2024-02-01 00:00:00+00:00,23.912403106689453,24.077127178443465,23.610409556965802,23.912403106689453,253600
2024-02-02 00:00:00+00:00,24.022222694701565,24.022222694701565,22.768490685101842,23.253511428833008,487200
2024-02-05 00:00:00+00:00,22.94236748593804,22.94236748593804,22.054689744454826,22.384136199951172,741600
2024-02-06 00:00:00+00:00,22.439043643175474,22.905761309580964,22.10959546795365,22.759340286254883,362200
2024-02-07 00:00:00+00:00,22.978973359377523,23.088788261484577,22.484801063466595,22.786794662475586,404300
2024-02-08 00:00:00+00:00,22.576314065743777,22.61291845034727,21.90826790107379,21.91741943359375,565600
2024-02-09 00:00:00+00:00,21.899116589985542,22.146202734093833,21.670333511102246,21.889965057373047,459700
2024-02-12 00:00:00+00:00,21.734390720353836,22.30177347769472,21.734390720353836,22.07299041748047,696800
2024-02-13 00:00:00+00:00,21.652029156705915,21.670332220841136,21.066345068188998,21.08464813232422,605400
2024-02-14 00:00:00+00:00,21.29512772235093,21.459851805435402,21.18531108513587,21.313430786132812,302000
