"('date', '')","('open', 'BFC')","('high', 'BFC')","('low', 'BFC')","('close', 'BFC')","('volume', 'BFC')"
2024-01-02 00:00:00+00:00,81.90595743063915,82.77259294989764,81.19946553611331,81.81175994873047,21300
2024-01-03 00:00:00+00:00,81.93421738786199,82.21680981373727,79.52272033691406,79.52272033691406,19500
2024-01-04 00:00:00+00:00,80.19154789549236,80.19154789549236,79.05174168538356,79.55099487304688,18400
2024-01-05 00:00:00+00:00,79.21186723223374,79.56040581844142,77.8083053568476,78.1191635131836,21000
2024-01-08 00:00:00+00:00,78.33583973364313,78.83509295160498,77.71412329759426,78.65611267089844,15200
2024-01-09 00:00:00+00:00,77.7329483402175,77.99671136235969,77.34673649185099,77.46919250488281,12300
2024-01-10 00:00:00+00:00,77.46920202427471,79.08000294812416,76.99820734992778,77.53514099121094,17400
2024-01-11 00:00:00+00:00,76.45185264404476,77.44093706599281,75.44391722526642,77.3090591430664,30400
2024-01-12 00:00:00+00:00,78.18511036286004,78.18511036286004,76.19751240399209,76.54605102539062,15100
2024-01-16 00:00:00+00:00,75.6982649862247,77.92136043437272,74.37947845458984,74.37947845458984,19900
2024-01-17 00:00:00+00:00,74.41714902935607,79.32491204596379,74.41714902935607,77.714111328125,42400
2024-01-18 00:00:00+00:00,78.18511289274748,83.48851013183594,78.18511289274748,83.48851013183594,43100
2024-01-19 00:00:00+00:00,83.29067993520698,84.76018791417943,82.63129039687809,84.59062957763672,18200
2024-01-22 00:00:00+00:00,84.90149199871242,85.01453330060119,82.89505740114022,84.72251892089844,17300
2024-01-23 00:00:00+00:00,85.0145330646467,85.0145330646467,83.290690946369,83.66748809814453,15400
2024-01-24 00:00:00+00:00,83.58271554534717,84.52470486556751,82.80086268473032,83.77111053466797,24300
2024-01-25 00:00:00+00:00,84.60948201036952,84.60948201036952,82.62188393321547,83.8182144165039,17000
2024-01-26 00:00:00+00:00,83.97834698431764,84.02544213692549,83.2530112034387,83.95950317382812,12400
2024-01-29 00:00:00+00:00,83.12114064643245,84.74136352539062,82.18857317514693,84.74136352539062,19600
2024-01-30 00:00:00+00:00,82.23565072170544,84.77901839895141,82.23565072170544,84.38338470458984,11100
2024-01-31 00:00:00+00:00,83.32837409105132,84.75077997154364,79.54158020019531,79.54158020019531,19700
