"('date', '')","('open', 'BLKB')","('high', 'BLKB')","('low', 'BLKB')","('close', 'BLKB')","('volume', 'BLKB')"
2024-01-02 00:00:00+00:00,85.91000366210938,86.36000061035156,84.77999877929688,85.56999969482422,245100
2024-01-03 00:00:00+00:00,85.33000183105469,85.56999969482422,83.86000061035156,83.91000366210938,218800
2024-01-04 00:00:00+00:00,84.16000366210938,84.6500015258789,83.33999633789062,83.44999694824219,190300
2024-01-05 00:00:00+00:00,82.81999969482422,83.66000366210938,80.0199966430664,81.7300033569336,255200
2024-01-08 00:00:00+00:00,82.01000213623047,83.26000213623047,82.01000213623047,82.58999633789062,287900
2024-01-09 00:00:00+00:00,81.62000274658203,82.06999969482422,81.12000274658203,81.27999877929688,147600
2024-01-10 00:00:00+00:00,81.25,83.2300033569336,81.25,82.76000213623047,195700
2024-01-11 00:00:00+00:00,82.69999694824219,83.56999969482422,82.18000030517578,82.55999755859375,296500
2024-01-12 00:00:00+00:00,83.68000030517578,83.68000030517578,81.30000305175781,82.29000091552734,215700
2024-01-16 00:00:00+00:00,81.56999969482422,81.91000366210938,80.66000366210938,80.77999877929688,151400
2024-01-17 00:00:00+00:00,79.80000305175781,81.69999694824219,79.80000305175781,80.87999725341797,238200
2024-01-18 00:00:00+00:00,81.29000091552734,81.5,80.12999725341797,81.5,151800
2024-01-19 00:00:00+00:00,81.9800033569336,82.1500015258789,80.70999908447266,81.80999755859375,181400
2024-01-22 00:00:00+00:00,82.55999755859375,83.04000091552734,82.13999938964844,82.55999755859375,155900
2024-01-23 00:00:00+00:00,85.0,85.37999725341797,83.2300033569336,84.25,262600
2024-01-24 00:00:00+00:00,84.69999694824219,84.7699966430664,82.80999755859375,83.2300033569336,162600
2024-01-25 00:00:00+00:00,84.31999969482422,84.73999786376953,83.54000091552734,84.04000091552734,113100
2024-01-26 00:00:00+00:00,84.4800033569336,84.88999938964844,83.4000015258789,83.55000305175781,84000
2024-01-29 00:00:00+00:00,83.51000213623047,84.20999908447266,83.25,84.1500015258789,73500
