"('date', '')","('open', 'AB')","('high', 'AB')","('low', 'AB')","('close', 'AB')","('volume', 'AB')"
2024-01-02 00:00:00+00:00,26.506127764347717,26.57470758949838,26.06893076586023,26.360395431518555,261100
2024-01-03 00:00:00+00:00,26.06893227023584,26.326106220623725,25.803185636825418,26.034643173217773,238700
2024-01-04 00:00:00+00:00,26.37753851266953,26.90045902101416,26.3003860116713,26.61756706237793,343500
2024-01-05 00:00:00+00:00,26.8833176563591,26.943324799062616,26.334677419344093,26.660432815551758,238900
2024-01-08 00:00:00+00:00,26.746160663794495,27.029052675417976,26.428977918605902,26.78902244567871,464900
2024-01-09 00:00:00+00:00,26.831881915440093,27.217644459445296,26.77187477194418,27.046194076538086,488100
2024-01-10 00:00:00+00:00,27.097629201263903,27.30336867233555,26.917606142156227,27.294795989990234,202800
2024-01-11 00:00:00+00:00,27.431955337840577,28.546377869411568,27.39766460883374,28.15204429626465,503200
2024-01-12 00:00:00+00:00,28.289205613110603,28.529234190048463,28.117755228093237,28.45208168029785,404200
2024-01-16 00:00:00+00:00,28.15204652141758,28.546380125732842,28.083465057983187,28.237770080566406,281900
2024-01-17 00:00:00+00:00,27.77485535747668,28.22062174227166,27.431954616710275,27.886295318603516,334700
2024-01-18 00:00:00+00:00,28.006310126615098,28.254913004866296,27.77485588288482,28.169189453125,209900
2024-01-19 00:00:00+00:00,28.092039467440138,28.81212848512473,27.912018030555032,28.7778377532959,229800
2024-01-22 00:00:00+00:00,28.81212574482121,29.137881125924366,28.6149589607741,28.846416473388672,341900
2024-01-23 00:00:00+00:00,28.674966396932778,29.000721781401275,28.529232434087437,28.709257125854492,267400
2024-01-24 00:00:00+00:00,29.00929285541513,29.49792429749828,28.80355175183827,28.932140350341797,436300
2024-01-25 00:00:00+00:00,29.095018337600706,29.429348061858022,28.76069188348751,29.155025482177734,255600
2024-01-26 00:00:00+00:00,29.369335698994757,29.54936039092847,28.837842480791732,28.932140350341797,290700
2024-01-29 00:00:00+00:00,28.932143352706774,29.017866913842283,28.220625368733934,28.563526153564453,462500
2024-01-30 00:00:00+00:00,28.623530196548366,29.249321281382766,28.546377691834874,29.11216163635254,328300
2024-01-31 00:00:00+00:00,29.009295498785345,29.009295498785345,28.520664012177367,28.760692596435547,251800
2024-02-01 00:00:00+00:00,29.189315829625908,29.360766213367818,28.503517564802337,28.90642547607422,285600
2024-02-02 00:00:00+00:00,28.837843290213716,29.00929366964939,28.400647929289537,28.640676498413086,278200
2024-02-05 00:00:00+00:00,28.50351638948468,29.052154978720903,28.289204236180286,28.734973907470703,329000
2024-02-06 00:00:00+00:00,28.794980279908895,29.180742799585072,28.16918920138703,28.246341705322266,511700
2024-02-07 00:00:00+00:00,29.223605805510026,29.789389768142364,27.654839249489815,28.41779327392578,842200
2024-02-08 00:00:00+00:00,28.417793835031244,28.70068418686105,27.937733417504717,28.203481674194336,426300
2024-02-09 00:00:00+00:00,28.237767417761056,28.709256759050913,28.160614913744883,28.46922492980957,289100
2024-02-12 00:00:00+00:00,28.59781495182416,29.549361458732673,28.59781495182416,29.283613204956055,431100
2024-02-13 00:00:00+00:00,28.47780080335039,29.215035155319303,28.47780080335039,28.666393280029297,496700
