"('date', '')","('open', 'ALL')","('high', 'ALL')","('low', 'ALL')","('close', 'ALL')","('volume', 'ALL')"
2024-01-02 00:00:00+00:00,135.44475594069226,138.900128761525,135.44475594069226,138.80360412597656,2263600
2024-01-03 00:00:00+00:00,139.0641931146303,140.3864950518975,138.79394183880328,139.95216369628906,1701200
2024-01-04 00:00:00+00:00,141.95975798837566,146.18728331752396,141.95975798837566,143.330322265625,3176500
2024-01-05 00:00:00+00:00,144.14106977135833,144.99043931952423,142.46165327259888,144.7587890625,1551200
2024-01-08 00:00:00+00:00,144.72019004625542,145.54059043696822,143.40753469352515,144.1796875,2398600
2024-01-09 00:00:00+00:00,145.0194011142413,146.09075967497094,143.48475674356087,145.72398376464844,1599700
2024-01-10 00:00:00+00:00,145.79154493089237,146.7084699223894,144.69123199557802,145.07730102539062,1335100
2024-01-11 00:00:00+00:00,144.6429679137609,145.35721181051653,143.06970791774012,145.1352081298828,1532400
2024-01-12 00:00:00+00:00,145.74327761580182,145.9363121240798,143.6777774492907,145.77223205566406,1115400
2024-01-16 00:00:00+00:00,146.1583056742934,147.09453853288903,145.20277967357472,146.2258758544922,1187500
2024-01-17 00:00:00+00:00,146.2837781622886,148.52301966544113,145.71432121587245,147.23931884765625,1615300
2024-01-18 00:00:00+00:00,146.49613779332122,147.96322671897516,144.94218553901692,147.59645080566406,1573700
2024-01-19 00:00:00+00:00,149.60403798303406,151.07112686633482,148.76432970847424,149.48822021484375,1989700
2024-01-22 00:00:00+00:00,150.01906976566775,150.87810068587711,149.76812634485017,149.98046875,940600
2024-01-23 00:00:00+00:00,149.98046428563146,151.3317207076439,148.4844209220952,148.74502563476562,1140700
2024-01-24 00:00:00+00:00,150.21209488004013,154.04388940120054,150.15418600205197,151.9397735595703,2374600
2024-01-25 00:00:00+00:00,152.8760160946452,153.81224895530224,151.46683615432357,153.52268981933594,1253300
2024-01-26 00:00:00+00:00,153.3489749579485,153.48410060143752,152.3934341541109,152.85671997070312,1034900
2024-01-29 00:00:00+00:00,151.80466598150693,152.61541982490002,150.3086226360807,150.62713623046875,1277000
2024-01-30 00:00:00+00:00,150.5306119631818,151.38962803783758,149.57507127122537,151.0421600341797,1135500
2024-01-31 00:00:00+00:00,151.38961174152493,151.81428172020318,149.59436303713989,149.84530639648438,1349800
2024-02-01 00:00:00+00:00,148.96700682716974,151.08076940577098,148.0790362636988,150.7526092529297,1005100
2024-02-02 00:00:00+00:00,151.5247793202004,152.69264785829037,151.16764995779346,151.89154052734375,1088300
2024-02-05 00:00:00+00:00,151.0132009882981,151.95908035311993,150.27000269500107,151.3703155517578,1331400
2024-02-06 00:00:00+00:00,151.0035455204091,152.3548165356285,150.58852206334723,151.87222290039062,965300
2024-02-07 00:00:00+00:00,152.21004263842886,153.78330273681152,152.05560912731113,153.07872009277344,1871300
2024-02-08 00:00:00+00:00,157.32553322274683,162.19973213620875,154.3817089500548,156.11904907226562,3791900
2024-02-09 00:00:00+00:00,154.76779034688448,154.9994258745755,153.01114238141673,154.45892333984375,1563900
2024-02-12 00:00:00+00:00,155.1924629361994,155.3855121825617,153.37792078662983,153.77365112304688,1196300
2024-02-13 00:00:00+00:00,155.231089347159,155.231089347159,151.65989895781777,153.05941772460938,1383300
2024-02-14 00:00:00+00:00,153.62885896870202,156.12869051171,152.45132929832968,155.77157592773438,1467600
