"('date', '')","('open', 'AFGD')","('high', 'AFGD')","('low', 'AFGD')","('close', 'AFGD')","('volume', 'AFGD')"
2024-01-02 00:00:00+00:00,20.59937307276432,20.720387874115133,20.57248203452352,20.671085357666016,6800
2024-01-03 00:00:00+00:00,20.581445106402107,20.697978640978633,20.303560208940507,20.491806030273438,6400
2024-01-04 00:00:00+00:00,20.65315789833318,20.65315789833318,20.40216405444691,20.644193649291992,4000
2024-01-05 00:00:00+00:00,20.662121768210262,20.715907265921057,20.46491340587138,20.626266479492188,4700
2024-01-08 00:00:00+00:00,20.7069414701208,20.7069414701208,20.50973141275175,20.572481155395508,4400
2024-01-09 00:00:00+00:00,20.57248042483353,20.6800479888916,20.57248042483353,20.6800479888916,6700
2024-01-10 00:00:00+00:00,20.653157686181817,20.841401784846095,20.572481155395508,20.572481155395508,17800
2024-01-11 00:00:00+00:00,20.464912673086673,20.73383331298828,20.43801992519422,20.73383331298828,4100
2024-01-12 00:00:00+00:00,20.693495747317478,20.88622283935547,20.693495747317478,20.88622283935547,5300
2024-01-16 00:00:00+00:00,20.859329298237093,20.859329298237093,20.715904741331965,20.796581268310547,5500
2024-01-17 00:00:00+00:00,20.599372614219934,20.76968992822858,20.599372614219934,20.715906143188477,6800
2024-01-18 00:00:00+00:00,20.68901435306066,20.82347467676018,20.617302066437198,20.75176239013672,8100
2024-01-19 00:00:00+00:00,20.723972347452477,21.217891693115234,20.617300691536762,21.217891693115234,13000
2024-01-22 00:00:00+00:00,21.217893353029197,21.406137466430664,21.101361527079117,21.406137466430664,6400
2024-01-23 00:00:00+00:00,21.216997110313415,21.216997110313415,21.128252236981716,21.19996452331543,3100
2024-01-24 00:00:00+00:00,21.146179960785783,21.51370562849207,21.13721571160323,21.495777130126953,6600
2024-01-25 00:00:00+00:00,21.684021138279235,21.93501325547318,21.630235647661475,21.8184814453125,10300
2024-01-26 00:00:00+00:00,21.567492308316808,21.80055768907491,21.54060126691591,21.657133102416992,4600
2024-01-29 00:00:00+00:00,21.65713114679625,21.84537696838379,21.558526111214405,21.84537696838379,6100
2024-01-30 00:00:00+00:00,21.845380574913193,21.997769423354544,21.433033575113512,21.648170471191406,12900
2024-01-31 00:00:00+00:00,21.75752956934917,21.773666245598854,20.931045532226562,20.931045532226562,39800
2024-02-01 00:00:00+00:00,21.101361909269237,21.152456252473403,20.859332293578714,20.966899871826172,12100
2024-02-02 00:00:00+00:00,21.029645570175155,21.15514334383713,20.75176069591586,20.82347297668457,7400
2024-02-05 00:00:00+00:00,20.85036717067988,20.89518670811358,20.814510172928316,20.868295669555664,9200
2024-02-06 00:00:00+00:00,20.796585144312264,20.836923415319674,20.608339309692383,20.608339309692383,5500
2024-02-07 00:00:00+00:00,20.69797624427993,20.868293546763113,20.572480184426837,20.796581268310547,17100
2024-02-08 00:00:00+00:00,20.818096545338328,21.101360321044922,20.6630182837772,21.101360321044922,10800
2024-02-09 00:00:00+00:00,21.065503245966372,21.199963563032043,20.94897142711098,21.164108276367188,7500
2024-02-12 00:00:00+00:00,21.244785724277982,21.43302983433272,21.244785724277982,21.38821029663086,8200
2024-02-13 00:00:00+00:00,21.325462388942356,21.519085391814375,21.02068474340997,21.137216567993164,2800
2024-02-14 00:00:00+00:00,21.230036572045375,21.475733940735346,21.16633763994036,21.29373550415039,4900
