"('date', '')","('open', 'AIR')","('high', 'AIR')","('low', 'AIR')","('close', 'AIR')","('volume', 'AIR')"
2024-01-02 00:00:00+00:00,61.97999954223633,62.880001068115234,61.540000915527344,62.20000076293945,281100
2024-01-03 00:00:00+00:00,61.83000183105469,62.130001068115234,60.849998474121094,61.16999816894531,230400
2024-01-04 00:00:00+00:00,61.849998474121094,61.959999084472656,60.689998626708984,60.709999084472656,300000
2024-01-05 00:00:00+00:00,60.5,61.40999984741211,59.93000030517578,60.0,250500
2024-01-08 00:00:00+00:00,59.470001220703125,59.470001220703125,55.0,58.869998931884766,1570100
2024-01-09 00:00:00+00:00,58.18000030517578,58.849998474121094,57.119998931884766,58.619998931884766,336000
2024-01-10 00:00:00+00:00,58.75,59.18000030517578,56.689998626708984,57.290000915527344,319300
2024-01-11 00:00:00+00:00,57.459999084472656,59.529998779296875,57.13999938964844,58.93000030517578,434800
2024-01-12 00:00:00+00:00,58.970001220703125,59.959999084472656,58.970001220703125,59.560001373291016,250900
2024-01-16 00:00:00+00:00,59.25,59.369998931884766,57.209999084472656,57.810001373291016,390700
2024-01-17 00:00:00+00:00,57.470001220703125,58.290000915527344,57.029998779296875,57.13999938964844,235900
2024-01-18 00:00:00+00:00,57.22999954223633,58.33000183105469,56.56999969482422,58.08000183105469,238600
2024-01-19 00:00:00+00:00,58.45000076293945,59.33000183105469,57.47999954223633,58.810001373291016,376700
2024-01-22 00:00:00+00:00,59.189998626708984,59.63999938964844,58.29999923706055,59.0,221100
2024-01-23 00:00:00+00:00,59.630001068115234,59.630001068115234,58.31999969482422,58.54999923706055,224400
2024-01-24 00:00:00+00:00,59.34000015258789,59.34000015258789,57.0099983215332,57.630001068115234,223800
2024-01-25 00:00:00+00:00,57.9900016784668,58.36000061035156,56.72999954223633,57.70000076293945,227400
2024-01-26 00:00:00+00:00,58.470001220703125,58.90999984741211,57.4900016784668,57.810001373291016,179100
2024-01-29 00:00:00+00:00,58.099998474121094,59.61000061035156,57.7599983215332,59.310001373291016,208500
2024-01-30 00:00:00+00:00,59.189998626708984,62.290000915527344,58.95000076293945,61.529998779296875,448100
2024-01-31 00:00:00+00:00,61.91999816894531,62.18000030517578,60.77000045776367,60.81999969482422,354400
2024-02-01 00:00:00+00:00,60.97999954223633,62.47999954223633,60.779998779296875,62.130001068115234,307100
2024-02-02 00:00:00+00:00,61.619998931884766,62.459999084472656,61.619998931884766,62.04999923706055,240900
2024-02-05 00:00:00+00:00,61.65999984741211,61.65999984741211,59.93000030517578,59.95000076293945,299700
2024-02-06 00:00:00+00:00,60.189998626708984,61.310001373291016,59.95000076293945,60.83000183105469,135300
2024-02-07 00:00:00+00:00,60.84000015258789,61.0,60.16999816894531,60.47999954223633,136800
2024-02-08 00:00:00+00:00,60.47999954223633,61.40999984741211,60.13999938964844,61.349998474121094,117800
2024-02-09 00:00:00+00:00,61.560001373291016,63.650001525878906,61.31999969482422,63.25,278100
2024-02-12 00:00:00+00:00,63.40999984741211,64.13999938964844,63.0,63.20000076293945,301900
2024-02-13 00:00:00+00:00,62.310001373291016,63.65999984741211,61.43000030517578,62.75,276700
2024-02-14 00:00:00+00:00,63.16999816894531,67.5199966430664,63.0099983215332,66.94000244140625,631300
2024-02-15 00:00:00+00:00,66.94000244140625,69.8499984741211,66.94000244140625,68.80000305175781,605400
2024-02-16 00:00:00+00:00,68.55999755859375,69.58000183105469,68.0199966430664,68.26000213623047,315200
2024-02-20 00:00:00+00:00,67.70999908447266,68.43000030517578,66.48999786376953,66.61000061035156,567900
2024-02-21 00:00:00+00:00,66.61000061035156,67.58999633789062,65.80000305175781,66.51000213623047,239200
2024-02-22 00:00:00+00:00,66.33000183105469,66.7699966430664,65.69999694824219,66.11000061035156,176400
2024-02-23 00:00:00+00:00,66.0,66.30000305175781,65.58999633789062,65.95999908447266,132700
2024-02-26 00:00:00+00:00,65.69999694824219,66.02999877929688,65.37999725341797,65.62999725341797,185300
2024-02-27 00:00:00+00:00,65.68000030517578,65.68000030517578,64.75,64.98999786376953,197900
2024-02-28 00:00:00+00:00,64.68000030517578,66.79000091552734,64.38999938964844,66.37000274658203,214200
2024-02-29 00:00:00+00:00,66.91999816894531,67.2300033569336,66.26000213623047,66.77999877929688,295000
2024-03-01 00:00:00+00:00,66.83999633789062,67.0199966430664,66.20999908447266,66.62000274658203,139800
2024-03-04 00:00:00+00:00,66.37999725341797,67.19999694824219,65.37000274658203,66.4800033569336,234400
2024-03-05 00:00:00+00:00,66.69999694824219,67.01000213623047,64.75,64.91000366210938,227100
2024-03-06 00:00:00+00:00,65.12000274658203,65.4800033569336,64.94999694824219,65.43000030517578,166300
2024-03-07 00:00:00+00:00,65.9000015258789,66.19000244140625,65.55999755859375,66.02999877929688,140800
