"('date', '')","('open', 'AGCO')","('high', 'AGCO')","('low', 'AGCO')","('close', 'AGCO')","('volume', 'AGCO')"
2024-01-02 00:00:00+00:00,116.07245041679869,119.13884504317838,115.75623447955323,117.01153564453125,663900
2024-01-03 00:00:00+00:00,115.39208977588756,115.79455171870084,113.94514222279547,114.37635040283203,995200
2024-01-04 00:00:00+00:00,114.56799378606684,115.47833270184073,113.84930863138172,114.740478515625,678100
2024-01-05 00:00:00+00:00,114.11761639925618,117.59605722117787,114.11761639925618,116.91570281982422,980200
2024-01-08 00:00:00+00:00,116.23536418304785,118.16143539186976,115.50709441501702,117.99853515625,511100
2024-01-09 00:00:00+00:00,116.91571071312296,116.91571071312296,115.32501729009356,116.07244873046875,545500
2024-01-10 00:00:00+00:00,115.86164811971899,116.0724563183195,114.40510858765109,115.26753234863281,438000
2024-01-11 00:00:00+00:00,115.27710683937718,116.05328450133014,114.02179840891196,114.36676788330078,539700
2024-01-12 00:00:00+00:00,115.18127712706925,115.94787758918652,112.66109035352211,112.68025207519531,458200
2024-01-16 00:00:00+00:00,111.79866580831968,113.44685167170537,110.23672596891494,113.35102844238281,622500
2024-01-17 00:00:00+00:00,111.99990608050012,112.27779858619465,109.42222663677876,110.29422760009766,839200
2024-01-18 00:00:00+00:00,110.84042618436749,111.36746494657528,109.39347851147745,111.00332641601562,475900
2024-01-19 00:00:00+00:00,111.00332090955128,112.76649906314549,110.01632774096345,112.7473373413086,416200
2024-01-22 00:00:00+00:00,112.58443195308688,114.79798737590592,112.23946246669544,113.33186340332031,590800
2024-01-23 00:00:00+00:00,113.86848884174428,114.9704743159489,113.04439586526738,114.75965881347656,417700
2024-01-24 00:00:00+00:00,115.64124056648424,116.08203327988618,113.94514670598453,115.967041015625,525100
2024-01-25 00:00:00+00:00,117.09777350170228,121.16074580353293,117.09777350170228,118.69805145263672,705100
2024-01-26 00:00:00+00:00,118.92804159303304,119.73296560334137,117.75897902590879,118.00812530517578,435700
2024-01-29 00:00:00+00:00,117.93146130019987,118.97595436108968,116.46534451887683,118.4393310546875,500300
2024-01-30 00:00:00+00:00,117.4906607626399,119.60838567436787,117.29901429430524,119.07176971435547,480300
2024-01-31 00:00:00+00:00,118.83219850746619,119.29215291916758,116.94445097028466,117.22234344482422,603100
2024-02-01 00:00:00+00:00,117.84521509416761,118.42973901744462,116.08203687510785,118.12310028076172,458100
2024-02-02 00:00:00+00:00,117.05945280563768,118.24767699572948,115.9478828165384,117.31817626953125,493600
2024-02-05 00:00:00+00:00,116.14910630310533,116.95403750373374,114.77881293858198,115.88079833984375,1101600
2024-02-06 00:00:00+00:00,124.64875544161231,124.82123286096136,116.49407247609172,117.08818817138672,1620100
2024-02-07 00:00:00+00:00,117.33734293161542,117.7302277131845,111.34829914558269,112.98690795898438,1187600
2024-02-08 00:00:00+00:00,112.83358012560237,113.504350076746,111.59744066348556,112.5173568725586,847400
2024-02-09 00:00:00+00:00,111.93281865897927,112.5173498560294,109.8534246292599,110.23672485351562,747000
2024-02-12 00:00:00+00:00,110.53378224871071,112.76649935698771,110.12173577512674,111.79866790771484,778000
2024-02-13 00:00:00+00:00,109.67135864972354,110.0929896400681,107.61113359071645,108.11900329589844,681400
2024-02-14 00:00:00+00:00,109.66576248846275,109.66576248846275,106.43775527015039,108.85875701904297,1406800
2024-02-15 00:00:00+00:00,108.09018263603373,108.10939373513706,105.40978353561508,106.23600006103516,1343000
2024-02-16 00:00:00+00:00,105.67876940908693,106.63948549462407,104.71805332354977,105.02548217773438,967600
2024-02-20 00:00:00+00:00,103.98792486486872,103.99753407968163,101.61495455422734,102.28746032714844,988200
2024-02-21 00:00:00+00:00,102.13373280212888,104.39142164581031,101.8359131375082,103.49795532226562,776600
2024-02-22 00:00:00+00:00,102.74859892278909,103.28660500130385,102.01845985785579,102.89270782470703,765700
2024-02-23 00:00:00+00:00,103.21934301159389,104.81412797068884,102.4795874893164,103.97830963134766,685600
2024-02-26 00:00:00+00:00,103.32502336015185,104.57394993916026,102.42194784680053,103.33462524414062,647000
2024-02-27 00:00:00+00:00,103.5940265381661,103.5940265381661,102.22020211965162,103.34423828125,1130400
2024-02-28 00:00:00+00:00,103.20975051099087,105.68840027869665,102.82546253209577,105.19843292236328,652100
2024-02-29 00:00:00+00:00,106.05346048681206,106.05346048681206,104.4970976077189,105.39056396484375,872300
2024-03-01 00:00:00+00:00,105.65956500523303,106.81242144903023,104.42984218091819,106.1207046508789,552400
2024-03-04 00:00:00+00:00,106.67792053226957,107.04299002496023,104.61237937565114,104.82373809814453,768500
2024-03-05 00:00:00+00:00,104.72767938787979,106.83164296955975,104.57396127121251,105.30410766601562,610200
2024-03-06 00:00:00+00:00,105.4289881736319,106.61067226235095,104.59316981472377,106.5722427368164,675500
2024-03-07 00:00:00+00:00,106.3993241383668,109.60811287855806,106.37050382376486,108.58014678955078,637100
2024-03-08 00:00:00+00:00,109.31990103541932,109.54086166439238,107.44649998321165,108.2823257446289,581600
2024-03-11 00:00:00+00:00,108.36879056533519,110.27100454151288,108.36879056533519,110.17493438720703,612100
2024-03-12 00:00:00+00:00,110.57841983723732,111.1164258286303,108.56091752613928,108.98363494873047,590000
2024-03-13 00:00:00+00:00,109.23343361654948,112.93219700634204,109.23343361654948,112.49987030029297,863300
2024-03-14 00:00:00+00:00,113.16275605005707,113.55664585964179,110.73214536627046,111.43346405029297,693100
2024-03-15 00:00:00+00:00,110.90508650506578,112.64398057613691,110.90508650506578,111.85619354248047,1610200
2024-03-18 00:00:00+00:00,111.4911242809677,112.21166147193556,110.00201115442744,110.85704803466797,776000
2024-03-19 00:00:00+00:00,110.49197470736033,112.35575919322883,110.44393596440325,111.33740234375,579900
2024-03-20 00:00:00+00:00,111.20289443745968,113.835254637923,111.00114492538559,113.37411499023438,626800
2024-03-21 00:00:00+00:00,113.45097406233363,114.4597290177449,112.98983438476729,113.3933334350586,456000
2024-03-22 00:00:00+00:00,113.79682623157119,114.11386432352691,112.6343605574162,113.71036529541016,524100
2024-03-25 00:00:00+00:00,113.92172974624405,114.78637579970307,113.18197416118574,113.4701919555664,505700
